,Ward Precinct ,JOHN R CONNOLLY,MARTY J WALSH,LEE BUCKLEY (WRITE-IN),DAVID JAMES WYATT (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,TWO OR MORE RACES,BIPOC,HISPANIC,ASIAN,OTHER
20,206.0,494.0,514.0,0.0,0.0,1.0,1009.0,1.0,1010.0,1989.0,972.0,1349.0,0.793,0.078,0.0,0.014,0.207,0.044,0.083,0.032
21,207.0,306.0,276.0,0.0,0.0,3.0,585.0,1.0,586.0,1348.0,1510.0,1792.0,0.888,0.052,0.0,0.02,0.112,0.028,0.035,0.004
22,301.0,839.0,516.0,0.0,0.0,2.0,1357.0,7.0,1364.0,3387.0,1539.0,1775.0,0.855,0.046,0.002,0.014,0.145,0.049,0.05,0.033
23,302.0,359.0,187.0,0.0,0.0,2.0,548.0,1.0,549.0,1587.0,1901.0,2094.0,0.945,0.002,0.0,0.011,0.055,0.016,0.035,0.007
24,303.0,298.0,172.0,0.0,0.0,0.0,470.0,2.0,472.0,1549.0,2709.0,2995.0,0.934,0.009,0.0,0.014,0.066,0.046,0.032,0.011
25,304.0,337.0,229.0,0.0,0.0,2.0,568.0,3.0,571.0,1643.0,1748.0,2011.0,0.922,0.014,0.0,0.015,0.078,0.087,0.036,0.012
26,305.0,626.0,293.0,0.0,0.0,4.0,923.0,3.0,926.0,2761.0,3654.0,4556.0,0.689,0.045,0.0,0.031,0.311,0.103,0.196,0.038
27,306.0,845.0,249.0,0.0,0.0,4.0,1098.0,8.0,1106.0,3957.0,5808.0,7111.0,0.764,0.052,0.002,0.023,0.236,0.082,0.123,0.035
28,307.0,1028.0,354.0,0.0,0.0,7.0,1389.0,9.0,1398.0,3800.0,3161.0,4288.0,0.584,0.093,0.007,0.071,0.416,0.194,0.17,0.074
29,308.0,751.0,542.0,0.0,0.0,5.0,1298.0,36.0,1334.0,4290.0,5349.0,8020.0,0.446,0.03,0.0,0.025,0.554,0.056,0.488,0.011
