,Ward_Precinct,TITO JACKSON,MARTIN J WALSH,DONALD OSGOOD SR (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
65,706.0,89.0,267.0,0.0,3.0,359.0,8.0,367.0,1419.0,1038.0,1470.254202933587,0.708,0.166,0.0,0.046,0.069
66,707.0,77.0,232.0,0.0,4.0,313.0,6.0,319.0,1223.0,1529.0,2410.624043378273,0.408,0.26,0.0,0.157,0.107
67,708.0,85.0,253.0,0.0,5.0,343.0,6.0,349.0,1177.0,2012.0,2457.1051801383787,0.737,0.098,0.0,0.082,0.05
68,709.0,72.0,249.0,0.0,2.0,323.0,2.0,325.0,1182.0,1103.0,1358.4216083211854,0.711,0.12,0.001,0.087,0.045
69,710.0,79.0,195.0,4.0,0.0,278.0,1.0,279.0,1361.0,1775.0,2741.2334198055155,0.245,0.562,0.008,0.069,0.085
70,801.0,106.0,227.0,0.0,1.0,334.0,3.0,337.0,1268.0,2533.0,3382.414174204273,0.582,0.134,0.006,0.146,0.077
71,802.0,210.0,332.0,0.0,8.0,550.0,7.0,557.0,2781.0,3449.0,4463.874040284977,0.509,0.183,0.009,0.159,0.081
72,803.0,165.0,89.0,0.0,2.0,256.0,3.0,259.0,1540.0,1801.0,2613.173572288652,0.191,0.542,0.01,0.034,0.162
73,804.0,108.0,87.0,0.0,0.0,195.0,0.0,195.0,695.0,931.0,1420.247749618153,0.177,0.541,0.005,0.024,0.186
74,805.0,141.0,221.0,2.0,1.0,365.0,5.0,370.0,1298.0,1300.0,2065.6964057721325,0.127,0.663,0.005,0.052,0.135
75,806.0,41.0,78.0,0.0,0.0,119.0,1.0,120.0,476.0,1422.0,2151.1169795249334,0.144,0.591,0.013,0.038,0.191
76,807.0,125.0,100.0,0.0,1.0,226.0,2.0,228.0,977.0,650.0,968.0172333764622,0.131,0.633,0.01,0.039,0.152
