,Ward Precinct ,THOMAS M MENINO,MICHAEL F FLAHERTY,WILLIAM FEEGBEH (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
145,1603,227,196,0,2,425,12,437,1356,888.0,1474.5410635936084,0.16,0.625,0.009,0.083,0.085
146,1604,199,183,0,0,382,3,385,1229,871.0,1322.4167876515305,0.359,0.265,0.001,0.269,0.047
147,1605,244,242,0,2,488,2,490,1346,1161.0,1785.7143424537198,0.353,0.211,0.001,0.32,0.064
148,1606,277,217,0,3,497,2,499,1700,1212.0,1787.7270375681965,0.407,0.337,0.002,0.173,0.022
149,1607,289,309,0,2,600,3,603,1201,1539.0,2278.7849968405185,0.384,0.33,0.002,0.193,0.023
150,1608,284,302,0,0,586,1,587,1236,776.0,1096.490114820298,0.552,0.335,0.0,0.076,0.017
151,1609,311,452,0,1,764,17,781,1371,889.0,1150.673389633986,0.954,0.026,0.0,0.0,0.013
152,1610,224,269,0,0,493,3,496,1164,1086.0,1327.0289640326148,0.79,0.12,0.002,0.047,0.017
153,1611,347,290,0,4,641,5,646,1307,1826.0,2554.934458726706,0.59,0.306,0.0,0.069,0.016
154,1612,397,407,0,1,805,3,808,1271,1776.0,2298.9927946182943,0.955,0.026,0.0,0.0,0.013
155,1701,215,63,0,0,278,4,282,1116,1206.0,2038.9409218959172,0.053,0.758,0.008,0.016,0.141
156,1702,146,71,0,0,217,2,219,768,831.0,1508.7242054667988,0.093,0.685,0.002,0.062,0.137
157,1703,325,165,0,2,492,4,496,1578,1783.0,2747.6016410383977,0.102,0.697,0.013,0.03,0.144
158,1704,477,222,0,2,701,2,703,1781,1827.0,3010.9715273431234,0.185,0.7,0.0,0.087,0.009
159,1705,134,37,0,0,171,0,171,744,781.0,1305.3148079028126,0.092,0.728,0.009,0.054,0.084
160,1706,255,169,0,2,426,6,432,1227,966.0,1456.310407112622,0.221,0.531,0.013,0.074,0.138
161,1707,140,43,0,1,184,0,184,632,877.0,1391.0695609971308,0.065,0.86,0.0,0.0,0.045
162,1708,253,89,0,1,343,2,345,1071,1153.0,1993.5381943786688,0.136,0.682,0.006,0.085,0.053
163,1709,241,122,0,0,363,3,366,846,829.0,1430.5246672801509,0.138,0.685,0.006,0.084,0.051
164,1710,281,125,0,1,407,1,408,1459,1372.0,2202.78126125232,0.091,0.828,0.0,0.02,0.035
