,WP,Ward,Precinct,AYANNA S PRESSLEY,MICHELLE WU,ANNISSA ESSAIBI GEORGE,MICHAEL F FLAHERTY,STEPHEN J MURPHY,ANDREA JOY CAMPBELL (WRITE-IN),JOVAN J LACET (WRITE-IN),JEAN-CLAUDE SANON (WRITE-IN),CHARLES CALVIN YANCEY (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,HISPANIC,BIPOC,TWO OR MORE RACES,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
33,404,404,404.0,182,189,115,99,83,0,0,0,1,6,675,237,228,1905,1962.0,2195.0,0.729,0.098,0.271,0.015,0.164,0.0,0.083,0.009
34,405,405,405.0,111,115,86,90,57,0,0,0,0,6,465,195,165,1530,1847.0,2690.0,0.676,0.171,0.325,0.028,0.095,0.001,0.157,0.044
35,406,406,406.0,97,99,58,71,49,0,0,0,0,2,376,180,139,1212,1967.0,2689.0,0.624,0.169,0.376,0.02,0.106,0.006,0.176,0.068
36,407,407,407.0,74,83,53,51,42,0,0,0,0,0,303,105,102,1373,2233.0,2788.0,0.604,0.124,0.397,0.031,0.088,0.005,0.211,0.05
37,408,408,408.0,70,92,45,58,47,0,0,0,0,7,319,185,126,1530,5345.0,6613.0,0.612,0.102,0.388,0.04,0.068,0.002,0.227,0.032
38,409,409,409.0,29,24,14,22,18,0,0,0,0,0,107,65,43,1158,4307.0,5252.0,0.576,0.194,0.423,0.039,0.16,0.002,0.146,0.073
39,410,410,410.0,13,11,10,4,7,0,0,0,0,0,45,7,13,756,5757.0,6967.0,0.612,0.127,0.388,0.029,0.116,0.0,0.193,0.049
40,501,501,501.0,332,397,238,276,161,0,0,0,0,7,1411,577,497,4342,5158.0,6621.0,0.639,0.061,0.361,0.039,0.035,0.003,0.257,0.027
41,502,502,502.0,51,50,42,32,25,0,0,0,0,0,200,68,67,1241,3754.0,5407.0,1.242,0.147,0.376,0.06,0.143,0.007,0.433,0.048
42,503,503,503.0,133,144,109,86,57,0,0,0,0,4,533,199,183,1653,2276.0,2846.0,0.909,0.061,0.092,0.033,0.009,0.0,0.043,0.007
43,504,504,504.0,113,123,94,67,52,0,0,0,0,2,451,169,155,2060,1776.0,2075.0,0.861,0.06,0.139,0.024,0.022,0.0,0.084,0.009
44,505,505,505.0,79,86,59,50,33,0,0,0,0,5,312,92,101,632,945.0,1186.0,0.916,0.062,0.083,0.035,0.011,0.0,0.031,0.007
45,506,506,506.0,94,96,75,69,39,0,0,0,0,3,376,148,131,1756,2196.0,2634.0,0.899,0.062,0.101,0.019,0.025,0.002,0.048,0.007
46,507,507,507.0,114,121,80,66,50,0,0,0,0,4,435,173,152,2108,2163.0,2596.0,0.898,0.062,0.102,0.018,0.026,0.002,0.049,0.007
47,508,508,508.0,83,90,59,51,37,0,0,0,0,1,321,155,119,1878,2268.0,2737.0,0.851,0.104,0.149,0.023,0.011,0.002,0.1,0.014
48,509,509,509.0,91,92,76,57,38,0,0,0,0,4,358,102,115,2704,3535.0,4272.0,0.804,0.1,0.196,0.033,0.017,0.001,0.121,0.023
49,510,510,510.0,81,78,61,70,38,0,0,0,0,5,333,103,109,1886,4508.0,5585.0,0.673,0.111,0.327,0.054,0.037,0.002,0.204,0.032
50,511,511,511.0,116,119,83,76,59,0,0,0,0,6,459,157,154,1090,1748.0,2113.0,0.888,0.061,0.112,0.029,0.017,0.0,0.059,0.008
51,601,601,601.0,207,198,187,210,113,0,0,0,0,9,924,436,340,4012,4928.0,6337.0,0.736,0.123,0.264,0.046,0.09,0.0,0.087,0.041
52,602,602,602.0,67,80,69,120,63,0,0,0,0,0,399,237,159,1207,1738.0,2518.0,0.528,0.257,0.472,0.068,0.192,0.0,0.092,0.12
53,603,603,603.0,62,77,74,142,94,0,0,0,0,4,453,251,176,1648,1334.0,1451.0,0.844,0.053,0.156,0.007,0.003,0.0,0.114,0.033
54,604,604,604.0,87,128,84,175,103,0,0,0,0,6,583,329,228,1681,1986.0,2224.0,0.905,0.039,0.096,0.011,0.014,0.0,0.06,0.011
55,605,605,605.0,74,105,83,176,98,0,0,0,0,4,540,332,218,1549,1898.0,2175.0,0.913,0.044,0.087,0.017,0.011,0.0,0.052,0.007
56,606,606,606.0,95,146,122,278,163,0,0,0,0,5,809,559,342,1523,1637.0,1846.0,0.943,0.053,0.057,0.017,0.004,0.0,0.005,0.031
57,607,607,607.0,84,121,125,239,125,0,0,0,0,20,714,514,307,1477,2086.0,2400.0,0.927,0.035,0.073,0.014,0.012,0.0,0.043,0.004
58,608,608,608.0,85,94,110,264,156,0,0,0,0,3,712,544,314,1415,1367.0,1565.0,0.982,0.02,0.019,0.004,0.007,0.0,0.003,0.004
59,609,609,609.0,62,90,93,274,126,0,0,0,0,1,646,710,339,1379,1907.0,2214.0,0.974,0.014,0.025,0.009,0.011,0.0,0.005,0.001
60,701,701,701.0,85,125,120,267,158,0,0,0,0,1,756,600,339,1257,1845.0,2085.0,0.971,0.026,0.029,0.006,0.008,0.0,0.007,0.009
61,702,702,702.0,78,120,110,253,156,0,0,0,0,11,728,504,308,1665,1769.0,1935.0,0.939,0.035,0.061,0.006,0.015,0.0,0.023,0.018
62,703,703,703.0,95,157,116,308,197,0,0,0,0,3,876,668,386,1924,2670.0,2881.0,0.937,0.026,0.063,0.0,0.021,0.0,0.031,0.011
63,704,704,704.0,89,119,79,211,132,0,0,0,0,6,636,484,280,1722,1635.0,2064.0,0.774,0.159,0.226,0.004,0.116,0.0,0.049,0.057
64,705,705,705.0,60,75,49,135,84,0,0,0,0,1,404,272,169,1339,2587.0,3147.0,0.8,0.121,0.2,0.011,0.067,0.0,0.081,0.041
65,706,706,706.0,65,76,53,109,51,0,0,0,0,6,360,204,141,1244,1038.0,1470.0,0.708,0.223,0.293,0.012,0.166,0.0,0.046,0.069
66,707,707,707.0,94,105,71,140,65,0,0,0,0,1,476,212,172,1165,1529.0,2411.0,0.408,0.368,0.592,0.068,0.26,0.0,0.157,0.107
67,708,708,708.0,69,73,113,108,63,0,0,0,0,9,435,301,184,1074,2012.0,2457.0,0.737,0.12,0.263,0.033,0.098,0.0,0.082,0.05
68,709,709,709.0,72,75,112,79,50,0,0,0,0,3,391,257,162,1101,1103.0,1358.0,0.711,0.116,0.289,0.037,0.12,0.001,0.087,0.045
69,710,710,710.0,80,58,50,63,45,0,0,0,0,2,298,158,114,1355,1775.0,2741.0,0.245,0.216,0.755,0.031,0.562,0.008,0.069,0.085
