,WP,Ward,Precinct,AYANNA S PRESSLEY,MICHELLE WU,ANNISSA ESSAIBI GEORGE,MICHAEL F FLAHERTY,STEPHEN J MURPHY,ANDREA JOY CAMPBELL (WRITE-IN),JOVAN J LACET (WRITE-IN),JEAN-CLAUDE SANON (WRITE-IN),CHARLES CALVIN YANCEY (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,HISPANIC,BIPOC,TWO OR MORE RACES,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
159,1705,1705,1705.0,86,58,32,60,41,0,3,0,0,0,280,172,113,888,996.0,1605.0,0.209,0.205,0.792,0.03,0.657,0.002,0.061,0.042
160,1706,1706,1706.0,233,140,133,113,71,0,0,0,0,2,692,496,297,1325,1169.0,1720.0,0.277,0.162,0.722,0.035,0.463,0.0,0.163,0.062
161,1707,1707,1707.0,76,35,25,35,26,0,0,4,0,0,201,211,103,698,1100.0,1745.0,0.05,0.084,0.95,0.064,0.833,0.0,0.026,0.027
162,1708,1708,1708.0,168,127,92,117,92,0,0,0,0,2,598,174,193,1146,1608.0,2538.0,0.255,0.186,0.745,0.036,0.575,0.0,0.088,0.045
163,1709,1709,1709.0,240,175,159,95,56,0,0,0,0,1,726,462,297,871,1157.0,1824.0,0.254,0.19,0.746,0.037,0.574,0.0,0.088,0.047
164,1710,1710,1710.0,180,87,57,92,72,0,0,0,0,8,496,472,242,1638,1770.0,2794.0,0.099,0.126,0.902,0.062,0.758,0.0,0.042,0.039
165,1711,1711,1711.0,80,56,43,35,28,0,0,0,0,0,242,174,104,616,632.0,987.0,0.229,0.242,0.771,0.055,0.562,0.001,0.082,0.071
166,1712,1712,1712.0,172,106,68,104,86,0,0,0,0,0,536,440,244,899,955.0,1456.0,0.161,0.124,0.838,0.049,0.671,0.01,0.059,0.049
167,1713,1713,1713.0,158,126,137,147,90,0,0,0,0,4,662,310,243,1249,1968.0,2611.0,0.54,0.087,0.46,0.031,0.31,0.006,0.088,0.025
168,1714,1714,1714.0,278,197,153,185,126,0,12,0,0,15,966,586,388,1356,1241.0,1772.0,0.265,0.108,0.735,0.026,0.531,0.027,0.086,0.064
169,1801,1801,1801.0,325,193,141,216,150,0,15,18,1,2,1061,627,422,2016,2882.0,4434.0,0.122,0.129,0.878,0.026,0.764,0.007,0.042,0.039
170,1802,1802,1802.0,150,104,67,103,77,0,0,0,0,6,507,329,209,1453,1706.0,3033.0,0.072,0.146,0.928,0.026,0.857,0.0,0.017,0.028
171,1803,1803,1803.0,205,131,93,123,102,0,0,0,0,3,657,319,244,1676,1902.0,3440.0,0.062,0.151,0.938,0.04,0.876,0.0,0.004,0.018
172,1804,1804,1804.0,186,110,68,97,92,0,20,0,11,0,584,484,267,1679,1901.0,3048.0,0.066,0.138,0.934,0.039,0.856,0.0,0.016,0.021
173,1805,1805,1805.0,181,115,51,111,115,0,3,0,4,1,581,619,300,1699,1395.0,2194.0,0.119,0.218,0.881,0.039,0.737,0.006,0.004,0.095
174,1806,1806,1806.0,220,151,98,135,112,0,0,0,0,2,718,470,297,1854,1577.0,2480.0,0.119,0.218,0.881,0.039,0.737,0.006,0.004,0.095
175,1807,1807,1807.0,184,167,80,133,112,0,0,0,0,1,677,467,286,1446,2229.0,3334.0,0.374,0.317,0.626,0.046,0.456,0.006,0.013,0.105
176,1808,1808,1808.0,254,174,141,164,153,0,2,0,0,3,891,417,327,2565,3475.0,5449.0,0.156,0.247,0.843,0.044,0.682,0.005,0.005,0.108
177,1809,1809,1809.0,170,185,120,129,109,0,0,0,0,1,714,346,265,1447,1844.0,2504.0,0.545,0.246,0.455,0.061,0.313,0.001,0.015,0.065
178,1810,1810,1810.0,241,290,186,161,126,0,0,0,0,5,1009,495,376,2063,2299.0,3201.0,0.633,0.284,0.367,0.058,0.188,0.009,0.029,0.083
179,1811,1811,1811.0,108,108,79,81,70,0,0,0,0,0,446,286,183,1387,1597.0,2514.0,0.331,0.308,0.669,0.045,0.529,0.0,0.021,0.075
180,1812,1812,1812.0,142,164,99,143,151,0,2,0,0,4,705,463,292,1502,1845.0,2559.0,0.483,0.308,0.517,0.066,0.386,0.007,0.0,0.057
181,1813,1813,1813.0,72,57,36,55,57,0,0,0,0,3,280,200,120,919,1060.0,1616.0,0.233,0.297,0.767,0.059,0.551,0.0,0.005,0.152
182,1814,1814,1814.0,54,47,41,40,52,0,0,0,0,3,237,207,111,1002,1131.0,1526.0,0.496,0.37,0.504,0.044,0.367,0.0,0.004,0.089
183,1815,1815,1815.0,144,122,107,95,104,0,0,0,0,5,577,423,250,1374,1736.0,2646.0,0.231,0.297,0.769,0.059,0.551,0.0,0.006,0.153
184,1816,1816,1816.0,195,235,170,225,286,0,0,0,0,6,1117,655,443,1574,2473.0,3550.0,0.422,0.277,0.578,0.055,0.359,0.0,0.042,0.122
185,1817,1817,1817.0,121,124,68,145,174,0,15,0,0,0,647,441,272,1505,1760.0,2525.0,0.43,0.273,0.57,0.055,0.349,0.0,0.045,0.121
186,1818,1818,1818.0,166,161,85,162,184,0,1,0,0,7,766,626,348,1922,2404.0,3573.0,0.329,0.275,0.671,0.057,0.458,0.0,0.025,0.13
187,1819,1819,1819.0,196,195,135,169,183,0,0,0,0,8,886,510,349,2404,2922.0,4386.0,0.401,0.192,0.599,0.036,0.468,0.0,0.032,0.064
188,1820,1820,1820.0,212,330,174,326,333,0,1,0,0,2,1378,718,524,2015,2466.0,3669.0,0.435,0.195,0.565,0.05,0.374,0.0,0.055,0.086
189,1821,1821,1821.0,232,134,87,122,117,0,0,0,0,10,702,462,291,1933,1998.0,3285.0,0.05,0.144,0.951,0.054,0.884,0.0,0.002,0.01
190,1822,1822,1822.0,173,223,142,180,190,0,0,0,0,3,911,477,347,1594,2208.0,2860.0,0.592,0.397,0.408,0.039,0.299,0.0,0.004,0.066
191,1823,1823,1823.0,92,85,39,77,70,0,1,0,0,2,366,338,176,1152,1080.0,1767.0,0.366,0.198,0.634,0.038,0.495,0.0,0.049,0.051
192,1901,1901,1901.0,175,153,148,80,39,0,0,0,0,6,601,215,204,1324,1336.0,1647.0,0.722,0.188,0.277,0.045,0.078,0.0,0.04,0.115
193,1902,1902,1902.0,253,256,233,142,127,0,0,0,0,2,1013,455,367,1508,1949.0,2486.0,0.858,0.045,0.141,0.027,0.047,0.001,0.062,0.003
194,1903,1903,1903.0,158,140,137,66,34,0,0,0,0,5,540,168,177,1044,1461.0,1806.0,0.808,0.118,0.192,0.044,0.061,0.001,0.046,0.039
195,1904,1904,1904.0,218,202,181,96,74,0,0,0,0,2,773,259,258,1536,1757.0,2220.0,0.716,0.227,0.284,0.047,0.079,0.002,0.053,0.103
196,1905,1905,1905.0,231,204,175,99,60,0,0,0,0,4,773,299,268,1315,1300.0,1631.0,0.831,0.101,0.17,0.049,0.051,0.001,0.049,0.018
197,1906,1906,1906.0,300,281,266,109,71,0,0,0,0,4,1031,357,347,1712,1941.0,2381.0,0.833,0.107,0.166,0.048,0.055,0.002,0.045,0.017
198,1907,1907,1907.0,217,198,185,111,62,1,0,0,0,0,774,274,262,1721,3057.0,4465.0,0.561,0.199,0.439,0.029,0.311,0.002,0.033,0.065
199,1908,1908,1908.0,173,156,143,76,45,0,0,0,0,2,595,177,193,821,828.0,1154.0,0.817,0.074,0.183,0.055,0.036,0.0,0.067,0.025
200,1909,1909,1909.0,121,110,91,61,34,0,0,0,0,3,420,140,140,818,878.0,1183.0,0.797,0.094,0.203,0.041,0.073,0.0,0.049,0.038
201,1910,1910,1910.0,250,251,184,145,113,0,0,0,0,8,951,429,345,1643,2173.0,3046.0,0.556,0.299,0.444,0.044,0.283,0.007,0.027,0.083
202,1911,1911,1911.0,85,79,48,61,37,0,0,0,0,0,310,242,138,1409,1288.0,1855.0,0.57,0.218,0.43,0.026,0.301,0.002,0.034,0.066
203,1912,1912,1912.0,249,217,187,148,90,0,0,0,0,1,892,476,342,1103,969.0,1375.0,0.525,0.239,0.474,0.031,0.336,0.008,0.027,0.073
204,1913,1913,1913.0,109,115,75,62,71,0,0,0,0,0,432,208,160,1140,1294.0,1864.0,0.481,0.33,0.519,0.025,0.363,0.009,0.031,0.092
205,2001,2001,2001.0,147,174,138,119,104,0,0,0,0,2,684,256,235,1484,1646.0,2007.0,0.885,0.099,0.115,0.024,0.033,0.0,0.035,0.021
206,2002,2002,2002.0,234,276,204,164,114,0,0,0,0,4,996,368,341,1689,1911.0,2651.0,0.715,0.245,0.285,0.045,0.107,0.012,0.035,0.086
207,2003,2003,2003.0,119,111,103,129,108,0,0,0,0,3,573,307,220,1802,2626.0,4149.0,0.417,0.187,0.583,0.032,0.437,0.0,0.06,0.054
208,2004,2004,2004.0,197,241,192,111,83,0,0,0,0,6,830,310,285,1135,1535.0,1869.0,0.887,0.098,0.113,0.024,0.034,0.0,0.034,0.022
209,2005,2005,2005.0,143,174,152,192,155,0,0,0,0,10,826,410,309,1597,2714.0,3736.0,0.766,0.108,0.235,0.02,0.071,0.0,0.107,0.036
210,2006,2006,2006.0,215,237,224,227,159,0,0,0,0,4,1066,454,380,1647,1941.0,2584.0,0.824,0.105,0.176,0.06,0.018,0.0,0.084,0.013
211,2007,2007,2007.0,125,132,119,111,107,0,0,0,0,3,597,251,212,1017,1215.0,1527.0,0.882,0.079,0.119,0.026,0.032,0.001,0.039,0.021
212,2008,2008,2008.0,144,158,123,113,80,0,0,0,0,1,619,241,215,1161,1295.0,1669.0,0.849,0.096,0.151,0.036,0.029,0.0,0.015,0.071
213,2009,2009,2009.0,164,185,130,127,104,0,0,0,0,10,720,280,250,1297,1738.0,2343.0,0.777,0.169,0.223,0.042,0.067,0.006,0.022,0.087
214,2010,2010,2010.0,171,198,214,217,145,0,0,0,0,1,946,390,334,1873,1825.0,2458.0,0.805,0.085,0.194,0.002,0.085,0.0,0.069,0.038
215,2011,2011,2011.0,107,109,107,103,80,0,0,0,0,3,509,227,184,795,728.0,972.0,0.87,0.064,0.13,0.002,0.049,0.0,0.054,0.026
216,2012,2012,2012.0,135,141,144,118,86,0,0,0,0,7,631,305,234,999,1246.0,1663.0,0.876,0.045,0.124,0.033,0.026,0.002,0.045,0.018
217,2013,2013,2013.0,85,92,107,107,97,0,0,0,0,5,493,283,194,980,693.0,921.0,0.86,0.048,0.139,0.037,0.029,0.002,0.053,0.019
218,2014,2014,2014.0,125,148,161,133,100,0,0,0,0,10,677,323,250,931,1023.0,1367.0,0.87,0.064,0.13,0.001,0.049,0.0,0.054,0.026
219,2015,2015,2015.0,110,130,105,141,138,0,0,0,0,2,626,306,233,1905,1629.0,2395.0,0.579,0.152,0.421,0.023,0.261,0.0,0.087,0.05
220,2016,2016,2016.0,140,162,140,211,184,0,0,0,0,8,845,455,325,1828,1403.0,1952.0,0.809,0.102,0.191,0.028,0.024,0.0,0.116,0.023
221,2017,2017,2017.0,183,200,165,197,154,0,0,0,0,10,909,371,320,1859,3681.0,4808.0,0.801,0.057,0.199,0.052,0.041,0.0,0.084,0.022
222,2018,2018,2018.0,128,158,141,118,92,0,0,0,0,1,638,290,232,984,1024.0,1368.0,0.876,0.045,0.124,0.033,0.027,0.002,0.045,0.018
223,2019,2019,2019.0,110,125,136,118,94,0,0,0,0,2,585,303,222,990,730.0,972.0,0.847,0.069,0.152,0.046,0.025,0.001,0.065,0.016
224,2020,2020,2020.0,114,129,148,144,113,0,0,0,0,3,651,289,235,1702,1380.0,1807.0,0.811,0.055,0.189,0.05,0.039,0.0,0.079,0.021
225,2101,2101,2101.0,49,60,43,38,27,0,0,0,0,1,218,78,74,1656,3059.0,4017.0,0.668,0.105,0.332,0.048,0.037,0.006,0.218,0.021
226,2102,2102,2102.0,13,11,10,7,4,0,0,0,0,0,45,11,14,1002,3272.0,4288.0,0.646,0.131,0.354,0.042,0.043,0.002,0.24,0.026
227,2103,2103,2103.0,21,21,22,10,13,0,0,0,0,0,87,29,29,1267,1725.0,2434.0,0.577,0.143,0.423,0.031,0.047,0.002,0.276,0.066
228,2104,2104,2104.0,13,14,13,5,6,0,0,0,0,0,51,25,19,985,1177.0,1619.0,0.579,0.161,0.421,0.021,0.058,0.006,0.207,0.13
229,2105,2105,2105.0,42,41,31,24,16,0,0,0,0,5,159,45,51,1396,1881.0,3179.0,0.489,0.115,0.511,0.037,0.081,0.0,0.321,0.071
230,2106,2106,2106.0,94,101,90,80,59,0,0,0,0,8,432,140,143,1068,1566.0,2174.0,0.622,0.13,0.378,0.023,0.053,0.003,0.199,0.1
231,2107,2107,2107.0,40,41,34,30,20,0,0,0,0,0,165,55,55,1459,1551.0,2372.0,0.55,0.134,0.45,0.03,0.078,0.005,0.252,0.086
232,2108,2108,2108.0,43,44,39,26,19,0,0,0,0,0,171,41,53,1645,2059.0,2707.0,0.654,0.105,0.346,0.033,0.084,0.009,0.192,0.028
233,2109,2109,2109.0,53,59,43,38,29,0,0,0,0,0,222,70,73,1791,2959.0,4159.0,0.603,0.164,0.397,0.019,0.064,0.01,0.195,0.109
234,2110,2110,2110.0,42,48,30,49,49,0,0,0,0,0,218,94,78,1304,1404.0,1824.0,0.717,0.1,0.283,0.025,0.033,0.011,0.182,0.032
235,2111,2111,2111.0,42,49,35,29,27,0,0,0,0,1,183,69,63,1664,2094.0,2673.0,0.752,0.093,0.248,0.027,0.035,0.0,0.168,0.017
236,2112,2112,2112.0,82,94,30,100,84,0,0,0,0,5,395,201,149,1512,1871.0,2377.0,0.741,0.083,0.259,0.027,0.03,0.012,0.178,0.012
237,2113,2113,2113.0,228,258,85,236,210,0,0,0,0,1,1018,246,316,1953,2639.0,3331.0,0.754,0.082,0.246,0.035,0.032,0.002,0.158,0.019
238,2114,2114,2114.0,23,26,24,18,9,0,0,0,0,2,102,22,31,938,964.0,1206.0,0.749,0.086,0.25,0.027,0.029,0.011,0.171,0.014
239,2115,2115,2115.0,33,29,28,21,9,0,0,0,0,0,120,40,40,1132,861.0,1031.0,0.769,0.059,0.23,0.047,0.026,0.007,0.129,0.023
240,2116,2116,2116.0,90,95,62,64,58,0,0,0,0,2,371,113,121,1515,4774.0,5412.0,0.807,0.101,0.193,0.021,0.025,0.002,0.116,0.029
241,2201,2201,2201.0,92,103,83,90,82,0,0,0,0,1,451,149,150,1766,6618.0,8766.0,0.605,0.132,0.395,0.04,0.073,0.002,0.219,0.061
242,2202,2202,2202.0,85,95,90,74,69,0,0,0,0,9,422,202,156,2091,2187.0,3007.0,0.588,0.149,0.412,0.021,0.064,0.004,0.205,0.118
243,2203,2203,2203.0,79,91,75,93,74,0,0,0,0,1,413,187,150,1628,2444.0,3239.0,0.722,0.159,0.278,0.031,0.045,0.0,0.135,0.067
244,2204,2204,2204.0,67,83,65,72,64,0,0,0,0,6,357,143,125,1085,1342.0,1747.0,0.698,0.119,0.302,0.015,0.089,0.0,0.132,0.057
245,2205,2205,2205.0,39,42,33,34,31,0,0,0,0,3,182,98,70,1082,1631.0,2265.0,0.601,0.123,0.4,0.021,0.076,0.0,0.212,0.09
246,2206,2206,2206.0,27,43,32,37,25,0,0,0,0,5,169,63,58,983,1078.0,1335.0,0.718,0.098,0.282,0.024,0.039,0.0,0.147,0.073
247,2207,2207,2207.0,95,109,81,82,73,0,0,0,0,4,444,184,157,1461,1760.0,2217.0,0.75,0.09,0.25,0.042,0.059,0.0,0.096,0.053
248,2208,2208,2208.0,67,76,60,52,59,0,0,0,0,5,319,141,115,1263,2427.0,3215.0,0.728,0.105,0.272,0.03,0.049,0.0,0.143,0.043
249,2209,2209,2209.0,61,65,56,39,29,0,0,0,0,0,250,122,93,1236,1185.0,1521.0,0.766,0.101,0.233,0.047,0.017,0.0,0.128,0.041
250,2210,2210,2210.0,102,103,99,101,81,0,0,0,0,5,491,189,170,1500,1904.0,2604.0,0.726,0.163,0.274,0.038,0.056,0.0,0.113,0.063
251,2211,2211,2211.0,61,62,76,63,57,0,0,0,0,0,319,141,115,1057,2046.0,2549.0,0.754,0.099,0.246,0.043,0.058,0.0,0.087,0.058
252,2212,2212,2212.0,67,67,71,80,81,0,0,0,0,2,368,184,138,1166,2052.0,2985.0,0.678,0.229,0.322,0.037,0.063,0.0,0.132,0.09
253,2213,2213,,46,60,51,53,57,0,0,0,0,2,269,151,105,845,1182.0,1415.0,0.72,0.135,0.28,0.022,0.094,0.0,0.087,0.077
