,Ward_Precinct,MICHELLE WU,PAT PAYASO,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,DOMINGOS DAROSA,ALTHEA GARRISON,ANNISSA E GEORGE,WILLIAM A KING,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,HISPANIC,BIPOC,TWO OR MORE RACES,OTHER
79,903.0,337,47,218,378,63,147,202,54,8,1454,1266,680,3040.0,3504.0,4905.0,0.378,0.348,0.0,0.066,0.301,0.622,0.02,0.189
80,904.0,193,32,159,210,53,82,92,57,2,880,816,424,2123.0,3000.0,4161.0,0.327,0.353,0.006,0.12,0.301,0.673,0.032,0.162
81,905.0,312,50,174,422,79,179,163,55,4,1438,1234,668,2035.0,3193.0,4111.0,0.388,0.368,0.012,0.135,0.172,0.612,0.028,0.068
82,1001.0,132,12,124,136,33,51,82,30,2,602,434,259,964.0,877.0,1165.0,0.468,0.239,0.002,0.125,0.311,0.532,0.033,0.132
83,1002.0,111,17,72,98,15,27,63,16,3,422,318,185,944.0,1684.0,2235.0,0.548,0.16,0.005,0.171,0.221,0.452,0.027,0.089
84,1003.0,102,7,90,87,16,28,74,16,0,420,244,166,968.0,1669.0,2232.0,0.565,0.105,0.006,0.251,0.138,0.435,0.018,0.054
85,1004.0,199,29,164,142,57,54,100,58,4,807,781,397,1738.0,1258.0,1725.0,0.354,0.224,0.0,0.309,0.216,0.646,0.013,0.1
86,1005.0,160,20,110,163,33,54,122,17,1,680,284,241,1175.0,2274.0,2950.0,0.531,0.201,0.001,0.179,0.143,0.468,0.017,0.07
87,1006.0,172,22,84,142,53,48,99,28,2,650,526,294,1321.0,1734.0,2640.0,0.383,0.334,0.0,0.076,0.362,0.617,0.047,0.161
88,1007.0,172,31,149,183,70,59,98,38,3,803,821,406,1842.0,1762.0,2565.0,0.434,0.249,0.002,0.062,0.422,0.566,0.052,0.201
89,1008.0,293,31,207,253,57,85,190,48,2,1166,790,489,1814.0,2213.0,2934.0,0.604,0.159,0.008,0.134,0.159,0.396,0.017,0.078
90,1009.0,429,29,209,370,80,92,312,22,1,1544,636,545,2038.0,1818.0,2519.0,0.583,0.147,0.011,0.095,0.282,0.416,0.032,0.131
91,1101.0,177,46,61,199,33,82,95,16,2,711,377,272,905.0,1418.0,1892.0,0.35,0.439,0.0,0.052,0.259,0.65,0.053,0.106
92,1102.0,202,37,120,323,56,104,118,36,5,1001,951,488,1542.0,1760.0,2460.0,0.183,0.525,0.011,0.021,0.318,0.817,0.065,0.193
93,1103.0,130,16,84,221,51,80,77,31,1,691,593,321,1229.0,1305.0,1828.0,0.173,0.54,0.005,0.02,0.281,0.826,0.06,0.198
94,1104.0,349,31,169,337,85,107,225,47,7,1357,879,559,2003.0,2269.0,3204.0,0.331,0.348,0.0,0.027,0.408,0.669,0.078,0.216
95,1105.0,266,21,147,258,87,81,181,43,4,1088,748,459,1566.0,1338.0,1882.0,0.394,0.292,0.0,0.03,0.386,0.606,0.071,0.213
96,1106.0,342,29,144,301,63,90,223,27,4,1223,561,446,1201.0,1443.0,2012.0,0.52,0.18,0.0,0.035,0.343,0.48,0.056,0.208
97,1107.0,395,41,174,377,74,120,266,28,6,1481,635,529,1631.0,1864.0,2492.0,0.578,0.179,0.002,0.044,0.294,0.422,0.051,0.147
98,1108.0,451,39,211,420,73,125,321,49,5,1694,634,582,1734.0,2388.0,3292.0,0.59,0.244,0.002,0.043,0.227,0.41,0.038,0.083
99,1109.0,325,20,140,292,46,77,258,26,4,1188,448,409,987.0,955.0,1263.0,0.763,0.103,0.001,0.043,0.126,0.238,0.039,0.052
100,1110.0,355,22,163,327,60,87,279,29,4,1326,454,445,1368.0,1042.0,1405.0,0.691,0.149,0.001,0.044,0.174,0.31,0.038,0.077
