,Ward_Precinct,Unnamed: 0,Unnamed: 0.1,MICHELLE WU,PAT PAYASO,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,DOMINGOS DAROSA,ALTHEA GARRISON,ANNISSA E GEORGE,WILLIAM A KING,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,Turnout,Unnamed: 0.1.1,Precinct,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities  (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,Hispanic & Black Percentage,Black plurality (Y/N),Pressley percentage,Wu Percentage,Flaherty Percentage,Annissa Percentage,Latino plurality (Y/N),White plurality (Y/N),Asian plurality (Y/N),Year
10,111,10,10,285,46,278,172,43,42,192,40,1,1099,1165,566,1425,0.397192982,11,111,2722,2141,79,13,87,2,337,63,2722,1610,57,923,0,87,1,19,25,2.902277737,0.477590007,3.19617928,0.073475386,12.3806025,2.314474651,33.90889052,78.65540044,36.81116826,N,15.65059145,25.93266606,25.29572338,17.47042766,N,Y,N,2017
11,112,11,11,269,35,310,184,49,50,195,35,3,1130,1038,542,1365,0.397069597,12,112,1833,1516,33,10,49,0,175,50,1833,1231,26,476,8,49,0,24,19,1.800327332,0.545553737,2.673213312,0,9.547190398,2.727768685,25.96835788,82.70594654,27.76868522,N,16.28318584,23.80530973,27.43362832,17.25663717,N,Y,N,2017
12,113,12,12,315,35,317,205,53,69,193,51,5,1243,1305,637,1916,0.332463466,13,113,2624,1792,226,10,99,0,392,105,2624,1192,178,1099,5,95,0,28,27,8.612804878,0.381097561,3.772865854,0,14.93902439,4.00152439,41.88262195,68.29268293,50.49542683,N,16.4923572,25.34191472,25.50281577,15.52695093,N,Y,N,2017
13,114,13,13,153,17,196,106,23,27,111,17,1,651,669,330,960,0.34375,14,114,820,717,21,1,37,1,29,14,820,613,16,145,0,36,1,1,8,2.56097561,0.12195122,4.512195122,0.12195122,3.536585366,1.707317073,17.68292683,87.43902439,20.24390244,N,16.28264209,23.50230415,30.10752688,17.05069124,N,Y,N,2017
14,115,14,14,0,0,0,0,0,0,0,0,0,0,0,0,18,0,15,115,530,208,217,2,7,1,78,17,530,165,204,130,2,7,1,13,8,40.94339623,0.377358491,1.320754717,0.188679245,14.71698113,3.20754717,24.52830189,39.24528302,65.47169811,Y,,,,,N,N,N,2017
15,201,15,15,475,34,505,365,36,108,260,59,6,1848,1328,794,2209,0.35943866,16,201,1690,1606,11,0,51,1,15,6,1690,1586,9,36,0,51,1,1,6,0.650887574,0,3.017751479,0.059171598,0.887573964,0.355029586,2.130177515,95.0295858,2.781065089,N,19.75108225,25.7034632,27.32683983,14.06926407,N,Y,N,2017
16,202,16,16,508,60,497,377,64,113,294,75,13,2001,1499,875,2985,0.293132328,17,202,3716,2422,367,11,602,7,220,87,3716,2182,309,540,5,601,7,22,50,9.87621098,0.296017223,16.20021529,0.188374596,5.920344456,2.341227126,14.53175457,65.17761033,24.40796555,N,18.84057971,25.38730635,24.83758121,14.69265367,N,Y,N,2017
17,203,17,17,411,35,308,300,44,90,226,31,5,1450,890,585,1470,0.397959184,18,203,1652,1594,7,3,24,0,6,18,1652,1576,7,27,3,23,0,1,15,0.423728814,0.181598063,1.452784504,0,0.363196126,1.089588378,1.634382567,96.48910412,2.05811138,N,20.68965517,28.34482759,21.24137931,15.5862069,N,Y,N,2017
18,204,18,18,307,29,310,224,28,69,183,32,6,1188,1004,548,1498,0.365821095,19,204,1457,1040,132,5,146,0,90,44,1457,966,100,230,0,145,0,3,13,9.059711736,0.343170899,10.02059025,0,6.177076184,3.019903912,15.78586136,71.37954701,24.8455731,N,18.85521886,25.84175084,26.09427609,15.4040404,N,Y,N,2017
19,205,19,19,375,31,381,272,34,82,229,47,5,1456,900,589,1580,0.37278481,20,205,1602,1561,6,0,22,1,3,9,1602,1548,6,18,0,21,0,1,8,0.374531835,0,1.373283396,0.062421973,0.187265918,0.561797753,1.123595506,97.44069913,1.498127341,N,18.68131868,25.75549451,26.16758242,15.72802198,N,Y,N,2017
