,WP,Ward,Precinct,MARTIN J KEOGH,"JACK F KELLY, III",ANNISSA ESSAIBI GEORGE,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,MICHELLE WU,STEPHEN J MURPHY,JEFFREY MICHAEL ROSS,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,HISPANIC,BIPOC,TWO OR MORE RACES,NATIVE_AMERICAN,ASIAN,OTHER
160,1706,1706,1706.0,51,41,148,129,292,192,113,94,0,1060,824,471,1265,1137.0,1765.0,0.244,0.529,0.101,0.756,0.033,0.001,0.152,0.041
161,1707,1707,1707.0,15,21,36,61,136,58,68,28,6,429,443,218,668,860.0,1452.0,0.089,0.855,0.104,0.911,0.016,0.0,0.029,0.011
162,1708,1708,1708.0,47,30,99,128,258,140,111,68,3,884,744,407,1100,1639.0,2676.0,0.179,0.646,0.156,0.821,0.046,0.006,0.103,0.019
163,1709,1709,1709.0,54,48,123,117,309,222,97,113,4,1087,693,445,900,1173.0,1902.0,0.175,0.648,0.154,0.825,0.046,0.007,0.102,0.022
164,1710,1710,1710.0,52,35,91,158,342,136,152,77,4,1047,1037,521,1577,1458.0,2345.0,0.094,0.808,0.105,0.906,0.021,0.009,0.042,0.026
165,1711,1711,1711.0,25,22,55,44,153,85,42,39,1,466,342,202,569,593.0,852.0,0.103,0.688,0.112,0.897,0.04,0.03,0.072,0.067
166,1712,1712,1712.0,75,47,118,169,284,180,164,84,5,1126,562,422,895,806.0,1227.0,0.152,0.74,0.09,0.848,0.017,0.007,0.064,0.02
167,1713,1713,1713.0,167,140,258,335,376,309,247,140,6,1978,974,738,1531,1900.0,2676.0,0.43,0.393,0.014,0.57,0.037,0.0,0.14,0.001
168,1714,1714,1714.0,98,41,135,187,281,204,167,78,14,1205,695,475,1077,1073.0,1504.0,0.259,0.628,0.065,0.741,0.008,0.0,0.103,0.003
169,1801,1801,1801.0,107,68,136,260,461,254,238,137,20,1681,1143,706,1970,2319.0,3398.0,0.151,0.77,0.213,0.849,0.018,0.002,0.029,0.03
170,1802,1802,1802.0,50,34,87,184,369,182,163,77,6,1152,1096,562,1417,1583.0,2622.0,0.088,0.857,0.175,0.912,0.023,0.001,0.011,0.019
171,1803,1803,1803.0,72,40,115,191,433,231,167,128,6,1383,1173,639,1645,2058.0,3360.0,0.061,0.898,0.113,0.939,0.016,0.0,0.009,0.015
172,1804,1804,1804.0,55,45,107,153,376,205,142,80,23,1186,1190,594,1605,1709.0,2557.0,0.079,0.872,0.187,0.921,0.014,0.001,0.002,0.031
173,1805,1805,1805.0,84,47,112,176,409,230,191,117,13,1379,1485,716,1665,1371.0,2027.0,0.146,0.747,0.164,0.854,0.026,0.003,0.002,0.076
174,1806,1806,1806.0,136,90,178,301,527,339,285,146,6,2008,1208,804,1828,1549.0,2292.0,0.146,0.747,0.164,0.854,0.026,0.003,0.002,0.076
175,1807,1807,1807.0,115,60,99,199,248,235,197,86,7,1246,1066,578,1406,2142.0,3264.0,0.418,0.381,0.305,0.581,0.022,0.013,0.009,0.157
176,1808,1808,1808.0,223,107,168,314,491,375,379,146,7,2210,1758,992,2545,3339.0,5009.0,0.189,0.674,0.205,0.811,0.028,0.003,0.002,0.104
177,1809,1809,1809.0,190,101,130,239,324,301,263,114,9,1671,1101,693,1444,1682.0,2407.0,0.456,0.367,0.299,0.544,0.052,0.002,0.022,0.102
178,1810,1810,1810.0,263,148,219,336,431,502,353,166,7,2425,1459,971,2015,2136.0,3047.0,0.635,0.223,0.264,0.365,0.047,0.003,0.014,0.078
179,1811,1811,1811.0,118,68,107,166,211,227,154,95,3,1149,883,508,1328,1264.0,2089.0,0.33,0.503,0.241,0.67,0.054,0.0,0.006,0.107
180,1812,1812,1812.0,221,67,152,258,278,303,323,134,0,1736,1084,705,1466,1748.0,2560.0,0.36,0.487,0.283,0.64,0.011,0.024,0.003,0.115
181,1813,1813,1813.0,63,14,56,122,146,117,135,57,5,715,625,335,905,898.0,1428.0,0.217,0.567,0.284,0.783,0.036,0.002,0.002,0.175
182,1814,1814,1814.0,89,48,41,111,131,130,155,60,4,769,679,362,946,1019.0,1451.0,0.4,0.408,0.305,0.6,0.022,0.0,0.018,0.152
183,1815,1815,1815.0,140,50,115,180,283,221,216,105,5,1315,1017,583,1378,1467.0,2334.0,0.218,0.566,0.284,0.782,0.036,0.002,0.002,0.176
184,1816,1816,1816.0,308,141,181,502,321,362,553,143,6,2517,1191,927,1556,2230.0,3300.0,0.438,0.325,0.241,0.562,0.064,0.0,0.035,0.138
185,1817,1817,1817.0,216,91,103,262,226,253,372,96,4,1623,1297,730,1499,1602.0,2356.0,0.455,0.309,0.242,0.545,0.063,0.003,0.038,0.133
186,1818,1818,1818.0,179,114,135,302,320,279,362,129,9,1829,1503,833,1894,2131.0,3229.0,0.345,0.438,0.265,0.655,0.044,0.009,0.022,0.143
187,1819,1819,1819.0,245,98,233,353,369,393,401,131,9,2232,1524,939,2263,2564.0,3638.0,0.411,0.433,0.181,0.589,0.046,0.002,0.044,0.065
188,1820,1820,1820.0,432,240,220,482,321,369,515,159,4,2742,1542,1071,1989,2356.0,3278.0,0.534,0.274,0.234,0.466,0.039,0.034,0.057,0.061
189,1821,1821,1821.0,91,62,162,193,466,265,240,104,8,1591,1237,707,1858,2082.0,3133.0,0.046,0.921,0.118,0.954,0.008,0.0,0.0,0.024
190,1822,1822,1822.0,314,110,204,303,332,337,422,117,4,2143,1277,855,1608,2024.0,2788.0,0.46,0.355,0.313,0.54,0.018,0.0,0.023,0.145
191,1823,1823,1823.0,76,38,46,120,132,100,108,55,7,682,894,394,1078,951.0,1568.0,0.408,0.479,0.218,0.592,0.009,0.0,0.073,0.031
192,1901,1901,1901.0,103,65,140,143,369,389,111,162,0,1482,798,570,1362,1459.0,1695.0,0.861,0.048,0.112,0.139,0.03,0.002,0.035,0.024
193,1902,1902,1902.0,191,114,218,342,465,570,391,286,6,2583,1237,955,1549,1933.0,2415.0,0.805,0.048,0.051,0.195,0.049,0.0,0.071,0.026
194,1903,1903,1903.0,91,57,124,159,339,401,144,217,5,1537,703,560,1080,1490.0,1826.0,0.795,0.083,0.116,0.204,0.028,0.001,0.043,0.05
195,1904,1904,1904.0,121,60,179,174,483,498,161,211,6,1893,1127,755,1546,1686.0,2155.0,0.708,0.116,0.209,0.292,0.026,0.0,0.042,0.108
196,1905,1905,1905.0,86,83,145,212,395,449,168,194,2,1734,906,660,1344,1265.0,1613.0,0.774,0.096,0.123,0.226,0.032,0.0,0.043,0.056
197,1906,1906,1906.0,164,90,277,214,579,616,189,277,7,2413,1191,901,1722,1937.0,2418.0,0.762,0.107,0.134,0.237,0.022,0.0,0.041,0.067
198,1907,1907,1907.0,151,91,205,218,456,509,205,267,14,2116,1012,782,1738,2941.0,4384.0,0.518,0.263,0.278,0.482,0.038,0.004,0.068,0.109
199,1908,1908,1908.0,52,41,145,118,311,336,110,157,1,1271,585,464,851,713.0,1013.0,0.832,0.041,0.069,0.168,0.075,0.0,0.052,0.001
200,1909,1909,1909.0,61,48,138,101,268,291,95,149,10,1161,511,418,840,828.0,1130.0,0.784,0.072,0.16,0.216,0.054,0.0,0.047,0.042
201,1910,1910,1910.0,195,103,171,283,392,406,264,163,10,1987,1217,801,1626,2084.0,2989.0,0.558,0.294,0.298,0.442,0.048,0.013,0.025,0.062
202,1911,1911,1911.0,80,39,57,122,153,173,105,80,6,815,893,427,1349,1234.0,1795.0,0.555,0.257,0.274,0.445,0.04,0.007,0.062,0.08
203,1912,1912,1912.0,129,68,142,218,286,333,187,163,3,1529,739,567,1073,882.0,1354.0,0.484,0.307,0.278,0.516,0.021,0.014,0.045,0.128
204,1913,1913,1913.0,120,45,97,154,214,238,146,106,5,1125,731,464,1114,1298.0,1875.0,0.532,0.333,0.308,0.468,0.044,0.024,0.032,0.035
205,2001,2001,2001.0,316,100,172,269,308,453,275,170,3,2066,1054,780,1465,1481.0,1816.0,0.859,0.073,0.079,0.142,0.027,0.0,0.026,0.015
206,2002,2002,2002.0,287,101,236,266,379,454,260,163,1,2147,1105,813,1708,1799.0,2514.0,0.772,0.131,0.175,0.228,0.035,0.003,0.009,0.049
207,2003,2003,2003.0,328,101,188,297,238,249,271,117,7,1796,1364,790,1751,2384.0,3756.0,0.464,0.397,0.207,0.536,0.014,0.0,0.078,0.046
208,2004,2004,2004.0,210,75,196,202,365,507,197,166,8,1926,866,698,1245,1378.0,1688.0,0.858,0.074,0.079,0.142,0.027,0.0,0.026,0.015
209,2005,2005,2005.0,489,157,203,421,242,282,428,132,10,2364,1268,908,1626,2779.0,3791.0,0.835,0.033,0.087,0.165,0.012,0.0,0.085,0.034
210,2006,2006,2006.0,404,206,293,458,389,437,404,226,0,2817,1223,1010,1668,1935.0,2539.0,0.893,0.047,0.047,0.108,0.013,0.0,0.034,0.014
211,2007,2007,2007.0,255,102,212,247,202,245,256,104,7,1630,742,593,993,1137.0,1436.0,0.872,0.052,0.068,0.127,0.022,0.0,0.035,0.018
212,2008,2008,2008.0,184,77,175,230,251,305,221,125,4,1572,796,592,1124,1195.0,1725.0,0.765,0.117,0.126,0.234,0.031,0.0,0.017,0.07
213,2009,2009,2009.0,216,81,167,218,263,306,263,111,10,1635,917,638,1256,1627.0,2372.0,0.755,0.13,0.156,0.245,0.033,0.001,0.012,0.068
214,2010,2010,2010.0,618,167,333,484,322,401,435,151,2,2913,1315,1057,1849,1871.0,2535.0,0.83,0.036,0.088,0.17,0.024,0.0,0.049,0.061
215,2011,2011,2011.0,181,73,112,191,203,249,186,110,0,1305,631,484,774,749.0,1020.0,0.883,0.023,0.058,0.117,0.02,0.0,0.03,0.045
216,2012,2012,2012.0,359,121,187,307,229,297,286,104,20,1910,842,688,1022,1249.0,1657.0,0.897,0.019,0.051,0.103,0.012,0.0,0.054,0.018
217,2013,2013,2013.0,327,93,166,266,202,243,244,121,8,1670,790,615,948,686.0,911.0,0.888,0.018,0.048,0.111,0.012,0.0,0.064,0.018
218,2014,2014,2014.0,421,90,208,286,203,302,253,113,1,1877,723,650,958,1054.0,1436.0,0.883,0.023,0.058,0.117,0.019,0.0,0.03,0.045
219,2015,2015,2015.0,419,143,219,403,248,311,401,136,8,2288,1420,927,1875,1585.0,2294.0,0.645,0.203,0.155,0.355,0.017,0.0,0.086,0.049
220,2016,2016,2016.0,507,209,253,500,304,350,481,156,6,2766,1430,1049,1805,1456.0,2012.0,0.896,0.02,0.058,0.104,0.0,0.0,0.084,0.0
221,2017,2017,2017.0,500,196,271,527,357,466,516,222,13,3068,1564,1158,1881,3435.0,4604.0,0.853,0.012,0.037,0.146,0.014,0.0,0.102,0.02
222,2018,2018,2018.0,234,91,147,239,200,290,245,106,2,1554,714,567,969,1027.0,1363.0,0.897,0.019,0.051,0.103,0.012,0.0,0.054,0.018
223,2019,2019,2019.0,259,140,196,277,196,287,287,116,4,1762,802,641,973,725.0,959.0,0.89,0.029,0.048,0.108,0.013,0.0,0.051,0.017
224,2020,2020,2020.0,338,167,244,368,271,413,308,181,7,2297,1023,830,1682,1301.0,1740.0,0.86,0.013,0.039,0.141,0.013,0.0,0.095,0.019
225,2101,2101,2101.0,30,23,50,97,144,148,93,101,7,693,475,292,1758,2691.0,3551.0,0.662,0.028,0.098,0.338,0.022,0.001,0.249,0.037
226,2102,2102,2102.0,6,7,10,12,25,31,13,19,0,123,109,58,1357,3326.0,4210.0,0.641,0.05,0.11,0.359,0.048,0.001,0.228,0.032
227,2103,2103,2103.0,23,16,40,36,56,66,37,32,1,307,245,138,1308,1954.0,2584.0,0.597,0.102,0.152,0.403,0.032,0.001,0.213,0.055
228,2104,2104,2104.0,14,21,31,35,52,71,27,33,5,289,211,125,1038,1251.0,1713.0,0.604,0.067,0.245,0.396,0.069,0.002,0.144,0.114
229,2105,2105,2105.0,36,36,45,74,101,125,51,46,8,522,290,203,1464,2258.0,2965.0,0.634,0.076,0.108,0.366,0.033,0.0,0.193,0.064
230,2106,2106,2106.0,66,62,90,162,137,170,115,60,3,865,371,309,1101,1440.0,1891.0,0.665,0.063,0.12,0.335,0.026,0.003,0.187,0.055
231,2107,2107,2107.0,54,51,73,106,127,161,90,67,2,731,325,264,1466,1558.0,2090.0,0.634,0.08,0.122,0.367,0.039,0.004,0.186,0.055
232,2108,2108,2108.0,29,35,54,64,116,118,62,59,9,546,418,241,1692,1772.0,2359.0,0.643,0.06,0.101,0.357,0.039,0.01,0.224,0.018
233,2109,2109,2109.0,47,40,51,130,152,148,115,60,2,745,535,320,1850,2591.0,3552.0,0.623,0.104,0.14,0.377,0.039,0.007,0.181,0.045
234,2110,2110,2110.0,52,57,49,125,107,145,103,74,1,713,467,295,1335,1313.0,1543.0,0.766,0.057,0.089,0.234,0.037,0.013,0.111,0.017
235,2111,2111,2111.0,48,51,69,135,128,190,108,67,3,799,545,336,1684,1857.0,2471.0,0.722,0.026,0.071,0.278,0.031,0.0,0.213,0.007
236,2112,2112,2112.0,37,47,62,203,208,230,179,65,4,1035,661,424,1602,1767.0,1992.0,0.799,0.048,0.078,0.201,0.038,0.016,0.09,0.009
237,2113,2113,2113.0,75,67,94,405,414,469,373,98,3,1998,950,737,2067,2433.0,3140.0,0.747,0.023,0.068,0.253,0.041,0.002,0.178,0.008
238,2114,2114,2114.0,27,27,45,64,71,92,48,46,3,423,249,168,927,937.0,1054.0,0.802,0.045,0.078,0.198,0.034,0.014,0.097,0.009
239,2115,2115,2115.0,22,27,52,77,116,114,79,57,2,546,322,217,1196,918.0,1069.0,0.82,0.019,0.057,0.18,0.055,0.007,0.09,0.01
240,2116,2116,2116.0,59,67,124,185,253,241,155,128,5,1217,651,467,1637,5495.0,6154.0,0.817,0.025,0.075,0.182,0.019,0.002,0.128,0.009
241,2201,2201,2201.0,63,75,84,187,155,234,185,99,8,1090,722,453,1880,6518.0,8534.0,0.671,0.062,0.164,0.329,0.046,0.0,0.159,0.062
242,2202,2202,2202.0,79,98,102,193,183,259,187,107,8,1216,892,527,2008,2003.0,2741.0,0.612,0.062,0.236,0.388,0.058,0.001,0.142,0.125
243,2203,2203,2203.0,74,87,82,202,166,221,213,86,0,1131,757,472,1615,2173.0,2772.0,0.691,0.051,0.123,0.309,0.017,0.001,0.193,0.047
244,2204,2204,2204.0,65,66,90,172,162,201,165,91,9,1021,583,401,1100,1151.0,1491.0,0.772,0.038,0.06,0.228,0.01,0.0,0.138,0.042
245,2205,2205,2205.0,27,35,34,112,91,121,123,35,9,587,489,269,948,1054.0,1431.0,0.639,0.049,0.19,0.361,0.017,0.0,0.145,0.15
246,2206,2206,2206.0,38,37,45,112,89,94,107,45,5,572,416,247,972,912.0,1157.0,0.706,0.026,0.099,0.295,0.014,0.003,0.209,0.042
247,2207,2207,2207.0,70,72,110,182,178,211,187,90,2,1102,726,457,1422,1467.0,1806.0,0.814,0.04,0.082,0.186,0.024,0.0,0.085,0.036
248,2208,2208,2208.0,59,57,84,170,163,205,152,96,3,989,643,408,1279,2076.0,2732.0,0.736,0.038,0.088,0.264,0.028,0.0,0.182,0.016
249,2209,2209,2209.0,47,48,64,121,140,183,121,73,1,798,566,341,1283,980.0,1308.0,0.715,0.027,0.127,0.285,0.038,0.0,0.218,0.003
250,2210,2210,2210.0,88,111,117,232,223,280,245,116,8,1420,756,544,1532,1692.0,2121.0,0.732,0.066,0.122,0.267,0.021,0.0,0.133,0.048
251,2211,2211,2211.0,70,67,86,165,118,152,157,67,1,883,561,361,1065,1697.0,2085.0,0.813,0.039,0.093,0.186,0.023,0.0,0.084,0.041
252,2212,2212,2212.0,63,77,63,181,117,136,179,68,11,895,585,370,1144,1779.0,2253.0,0.651,0.089,0.186,0.349,0.011,0.0,0.151,0.098
253,2213,2213,,58,64,70,135,118,129,161,46,0,781,479,315,852,967.0,1248.0,0.791,0.019,0.083,0.208,0.0,0.0,0.133,0.057
