,WP,Ward,Precinct,MARTIN J KEOGH,"JACK F KELLY, III",ANNISSA ESSAIBI GEORGE,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,MICHELLE WU,STEPHEN J MURPHY,JEFFREY MICHAEL ROSS,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,HISPANIC,BIPOC,TWO OR MORE RACES,NATIVE_AMERICAN,ASIAN,OTHER
74,805,805,805.0,42,31,102,136,199,164,87,70,8,839,993,458,1320,1112.0,1868.0,0.165,0.539,0.246,0.835,0.041,0.006,0.007,0.241
75,806,806,806.0,27,23,37,61,59,77,39,26,5,354,274,157,444,1372.0,2022.0,0.176,0.575,0.237,0.824,0.027,0.014,0.012,0.196
76,807,807,807.0,31,17,47,88,146,119,75,46,8,577,579,289,943,590.0,896.0,0.155,0.584,0.252,0.844,0.036,0.012,0.013,0.201
77,901,901,901.0,74,69,80,195,262,324,140,185,8,1337,1271,652,1813,2196.0,2806.0,0.653,0.038,0.163,0.347,0.073,0.01,0.163,0.064
78,902,902,902.0,59,68,91,193,333,436,187,281,5,1653,1171,706,2041,2177.0,2798.0,0.553,0.248,0.178,0.447,0.038,0.001,0.107,0.053
79,903,903,903.0,99,71,128,209,399,433,204,253,17,1813,1591,851,2962,3290.0,4714.0,0.402,0.325,0.339,0.598,0.046,0.001,0.059,0.167
80,904,904,904.0,28,28,52,109,209,153,79,91,8,757,903,415,2174,2874.0,4190.0,0.348,0.377,0.283,0.652,0.043,0.0,0.095,0.137
81,905,905,905.0,66,44,110,176,486,326,180,184,18,1590,1270,715,1992,3157.0,4305.0,0.388,0.392,0.16,0.612,0.029,0.001,0.11,0.08
82,1001,1001,1001.0,45,35,44,121,121,104,84,122,2,678,586,316,846,777.0,1053.0,0.461,0.272,0.252,0.539,0.044,0.002,0.131,0.091
83,1002,1002,1002.0,57,47,59,130,150,136,88,124,9,800,360,290,1061,1655.0,2182.0,0.584,0.181,0.157,0.416,0.028,0.004,0.15,0.053
84,1003,1003,1003.0,30,35,39,108,89,102,91,70,3,567,365,233,1005,1741.0,2288.0,0.646,0.11,0.085,0.354,0.019,0.005,0.188,0.032
85,1004,1004,1004.0,106,72,78,178,185,218,131,199,13,1180,1148,582,1667,1111.0,1580.0,0.44,0.19,0.173,0.56,0.04,0.0,0.238,0.092
86,1005,1005,1005.0,49,41,65,145,208,163,100,112,5,888,516,351,1229,2207.0,2988.0,0.542,0.195,0.152,0.458,0.029,0.004,0.148,0.082
87,1006,1006,1006.0,60,38,54,103,161,168,63,96,0,743,633,344,1199,1534.0,2507.0,0.335,0.309,0.413,0.665,0.041,0.001,0.059,0.255
88,1007,1007,1007.0,63,36,56,131,176,185,103,93,7,850,1014,466,1751,1474.0,2306.0,0.383,0.272,0.44,0.618,0.038,0.0,0.04,0.267
89,1008,1008,1008.0,97,67,106,194,261,295,146,189,4,1359,853,553,1703,2083.0,2943.0,0.577,0.142,0.2,0.423,0.03,0.007,0.133,0.111
90,1009,1009,1009.0,118,69,167,230,413,462,163,265,4,1891,1069,740,1950,1600.0,2344.0,0.546,0.149,0.296,0.455,0.03,0.006,0.098,0.173
91,1101,1101,1101.0,18,14,69,80,233,164,67,100,12,757,523,320,838,1414.0,1952.0,0.279,0.448,0.257,0.721,0.045,0.001,0.048,0.181
92,1102,1102,1102.0,55,33,85,139,356,210,119,123,10,1130,994,531,1401,1536.0,2249.0,0.166,0.517,0.341,0.833,0.052,0.001,0.03,0.234
93,1103,1103,1103.0,34,22,74,90,250,149,84,68,9,780,724,376,1128,1063.0,1534.0,0.161,0.539,0.336,0.839,0.037,0.0,0.029,0.234
94,1104,1104,1104.0,84,43,116,195,333,307,156,146,21,1401,1203,651,1849,2269.0,3403.0,0.288,0.35,0.399,0.711,0.057,0.001,0.038,0.265
95,1105,1105,1105.0,60,48,87,138,280,264,113,100,1,1091,1001,523,1424,1324.0,1946.0,0.354,0.307,0.38,0.645,0.048,0.001,0.046,0.244
96,1106,1106,1106.0,72,35,120,117,258,306,113,131,7,1159,757,479,1127,1395.0,1965.0,0.496,0.213,0.339,0.503,0.027,0.0,0.064,0.198
97,1107,1107,1107.0,73,63,170,217,436,417,153,205,9,1743,993,684,1584,1756.0,2357.0,0.615,0.148,0.344,0.385,0.04,0.006,0.034,0.157
