,NEIGHBORHOOD,YEAR,BALLOTS_CAST,REGISTERED_VOTERS,TOTAL,Ballots Cast / Total,Ballots Cast / Registered Voters,Registered Voter %
38,Charlestown,2013,5529.452643206489,12600.112044603826,13678.012124060633,0.4042584984611743,0.4388415455063,0.9211946831396134
39,West End,2013,1213.643054570685,3667.463726992281,5767.541881290049,0.21042639647017608,0.3309216245653244,0.6358798605155451
40,Beacon Hill,2013,2372.824518519756,6183.46508238025,7110.8776949057365,0.33368940098908717,0.38373702881918204,0.8695783203823223
41,Downtown,2013,2503.753084084734,7868.0430584188425,11556.869883184885,0.2166462986424781,0.31821802009658634,0.6808109062356716
42,Fenway,2013,2271.6250070551796,12132.15583480928,35428.18747891087,0.06411914265745028,0.1872400122439484,0.34244359359425647
43,Brighton,2013,7370.157739843263,26594.677764394903,42204.900025848074,0.17462801085488805,0.27712904834329183,0.6301324668014187
44,West Roxbury,2013,11970.627421193443,21210.530214623526,24111.631767558087,0.4964669142508961,0.5643719086730012,0.8796804139636059
45,Hyde Park,2013,9562.540626544684,21019.263352621478,24582.101723138494,0.38900419232842537,0.4549417582396894,0.8550637203179657
46,Mattapan,2013,5318.403774321776,13721.813196637335,16911.758477656123,0.3144796433409613,0.38758753658190764,0.811377079135008
47,Dorchester,2013,26446.959882533632,68180.35444488574,85454.02647499317,0.3094875803221857,0.3878970723731319,0.7978600571248412
48,South Boston Waterfront,2013,1266.5614107462043,3683.4833782172313,4302.794409299427,0.29435787310889056,0.3438488193638075,0.8560677150310255
49,South Boston,2013,9868.145033606226,23532.701743894875,27501.191678135827,0.3588260883055356,0.41933753042896293,0.8556975282858013
50,Allston,2013,2045.7829313204845,11410.490859346282,25647.84362235987,0.07976432488604869,0.17928965164936728,0.4448908464725113
51,Harbor Islands,2013,9.932707103064516,147.00406512535483,526.4334764624193,0.018867924528301886,0.06756756756756757,0.2792452830188679
52,Roslindale,2015,3250.797499678435,17980.981101753547,20596.399640313153,0.15783328914028633,0.18079088572988988,0.8730157413803299
53,Jamaica Plain,2015,4388.772027159761,27959.99543481811,32120.96197478263,0.13663264601493808,0.1569661210206958,0.8704594668356698
54,Mission Hill,2015,647.7750703142754,7037.705777314699,13294.722160045934,0.04872422774362343,0.09204349980107293,0.5293608766390634
55,Longwood,2015,47.73181585153996,978.8150039262049,5429.77420396132,0.00879075520612201,0.04876490006801998,0.18026808614106002
56,Bay Village,2015,109.93756303534515,960.4605607635184,1430.515533500155,0.07685170867481059,0.11446338093044679,0.6714086902736973
57,Leather District,2015,35.623485437581785,306.48250535302975,523.7054127957277,0.06802199207262498,0.1162333406161241,0.585219281421813
58,Chinatown,2015,183.70452880849513,1583.394013226453,2663.672923672895,0.06896662393338741,0.11601946658505029,0.5944401052975892
59,North End,2015,593.4787328072678,5855.928537513608,7654.132537030702,0.07753703374432268,0.10134664878599343,0.7650675643755342
60,Roxbury,2015,3833.591065400698,29802.342132047605,35422.19764695159,0.10822566977943038,0.12863388549849208,0.8413465033729316
61,South End,2015,1880.4972314865588,16843.66306185936,20901.026060389733,0.08997152704624177,0.11164419666792909,0.8058773293326673
62,Back Bay,2015,1019.4253641214576,13053.296779547043,19039.48403217263,0.05354269907728845,0.07809715670594232,0.6855908887809029
63,East Boston,2015,1884.2939934545634,16907.36144235865,31350.1731829642,0.06010473953230012,0.11144814049658691,0.5393067956494152
64,Charlestown,2015,1574.5270064060146,12543.52082707519,13678.012124060633,0.11511373086417326,0.12552512393549012,0.9170572970183446
65,West End,2015,410.14885321487435,3518.0617459784476,5767.541881290049,0.07111328563480405,0.11658375629243063,0.6099759340094378
66,Beacon Hill,2015,622.2389368789563,5832.566202193687,7110.8776949057365,0.08750522278350126,0.10668356179908015,0.8202315455899576
67,Downtown,2015,777.9132761541895,7828.401688052259,11556.869883184885,0.06731176209624411,0.09937063875266444,0.6773807931715572
68,Fenway,2015,662.1474810705906,11222.171552404721,35428.18747891087,0.01868984919041493,0.05900350729611718,0.31675827500587994
69,Brighton,2015,2239.4795702843503,26200.937786009665,42204.900025848074,0.053062074993965105,0.0854732601014056,0.6208032188196891
70,West Roxbury,2015,3921.0772039317367,21408.437339928932,24111.631767558087,0.16262181015917385,0.18315569425604575,0.8878883663416646
71,Hyde Park,2015,3866.0029214842803,21437.819980374057,24582.101723138494,0.15726901487212186,0.18033563697351396,0.8720906056700267
72,Mattapan,2015,2619.337787298391,14276.344942915259,16911.758477656123,0.15488263924529608,0.1834739772520176,0.8441667944689026
73,Dorchester,2015,11170.592511015146,69591.80106410055,85454.02647499317,0.1307204934841081,0.16051592774163131,0.8143770859582087
74,South Boston Waterfront,2015,402.5213542597364,4172.541836995662,4302.794409299427,0.0935488233855157,0.09646909964827631,0.9697283765121905
