,NEIGHBORHOOD,YEAR,VOTES_CAST,BLANKS,BALLOTS_CAST,REGISTERED_VOTERS
30,Bay Village,2013,771.5537623084183,663.6070203340753,358.7901956606234,976.8295339317589
31,Leather District,2013,164.99298518458932,192.3132522119077,89.32655934912425,287.26457241959747
32,Chinatown,2013,903.1077668710402,1005.6944966917509,477.2005658906978,1499.365705454055
33,North End,2013,4873.2015620452385,3921.4495583655153,2198.662780102689,6128.990545336632
34,Roxbury,2013,19990.374015226025,17908.96257041582,9474.83414641046,29205.70527176816
35,South End,2013,14688.84211474604,10205.632435669804,6223.618637603962,17092.840047209444
36,Back Bay,2013,10068.155402848792,7165.941522337248,4308.524231296509,13542.465658511406
37,East Boston,2013,15115.447107411814,15961.80054451647,7769.311912982071,16447.085008952723
38,Charlestown,2013,12716.828382115204,9400.982190710753,5529.452643206489,12600.112044603826
39,West End,2013,2920.0517419031144,1934.520476379626,1213.643054570685,3667.463726992281
40,Beacon Hill,2013,5474.800130065416,4016.4979440136094,2372.824518519756,6183.46508238025
41,Downtown,2013,5460.68605219183,4554.326284147108,2503.753084084734,7868.0430584188425
42,Fenway,2013,5285.196440913739,3801.303587306979,2271.6250070551796,12132.15583480928
43,Brighton,2013,18189.79044990067,11290.84050947238,7370.157739843263,26594.677764394903
44,West Roxbury,2013,31627.717312612534,16254.792372161235,11970.627421193443,21210.530214623526
45,Hyde Park,2013,22501.517763142052,15748.64474303668,9562.540626544684,21019.263352621478
46,Mattapan,2013,11655.769670815622,9617.845426471484,5318.403774321776,13721.813196637335
47,Dorchester,2013,61050.34743484272,44737.49209529178,26446.959882533632,68180.35444488574
48,South Boston Waterfront,2013,2920.0951595305523,2146.1504834542648,1266.5614107462043,3683.4833782172313
49,South Boston,2013,22286.47669834639,17186.103436078516,9868.145033606226,23532.701743894875
50,Allston,2013,5040.33659688856,3142.795128393378,2045.7829313204845,11410.490859346282
51,Harbor Islands,2013,10.925977813370967,28.804850598887093,9.932707103064516,147.00406512535483
52,Roslindale,2015,8893.035561211866,4110.154437501877,3250.797499678435,17980.981101753547
53,Jamaica Plain,2015,12638.630138084285,4916.4579705547585,4388.772027159761,27959.99543481811
54,Mission Hill,2015,1759.2894811723793,831.8108000847225,647.7750703142754,7037.705777314699
55,Longwood,2015,137.27962348359546,53.64763992256441,47.73181585153996,978.8150039262049
56,Bay Village,2015,312.1165018971268,127.63375024425382,109.93756303534515,960.4605607635184
57,Leather District,2015,98.2324307085197,44.261511041807445,35.623485437581785,306.48250535302975
58,Chinatown,2015,508.3539039359798,226.46421129800066,183.70452880849513,1583.394013226453
59,North End,2015,1593.710226691741,780.2047045373298,593.4787328072678,5855.928537513608
60,Roxbury,2015,9050.90611589998,6283.458145702818,3833.591065400698,29802.342132047605
61,South End,2015,5270.201491129852,2251.7874348163828,1880.4972314865588,16843.66306185936
62,Back Bay,2015,2876.442632324344,1201.2588241614865,1019.4253641214576,13053.296779547043
63,East Boston,2015,4625.626838631052,2911.5491351872006,1884.2939934545634,16907.36144235865
64,Charlestown,2015,4157.031964179817,2141.0760614442424,1574.5270064060146,12543.52082707519
65,West End,2015,1110.8336741547587,529.7617387047386,410.14885321487435,3518.0617459784476
66,Beacon Hill,2015,1840.4729048575098,648.4828426583157,622.2389368789563,5832.566202193687
67,Downtown,2015,2220.6754794850845,890.9776251316731,777.9132761541895,7828.401688052259
68,Fenway,2015,1896.429962592508,752.1599616898543,662.1474810705906,11222.171552404721
69,Brighton,2015,6424.4055866116305,2533.512694525771,2239.4795702843503,26200.937786009665
70,West Roxbury,2015,10551.733701420044,5132.575114306905,3921.0772039317367,21408.437339928932
71,Hyde Park,2015,9373.828782903896,6090.1829030332265,3866.0029214842803,21437.819980374057
72,Mattapan,2015,6268.319731661518,4209.031417532047,2619.337787298391,14276.344942915259
73,Dorchester,2015,27164.70376677028,17517.666277290293,11170.592511015146,69591.80106410055
74,South Boston Waterfront,2015,1072.9683624126342,537.1170546263115,402.5213542597364,4172.541836995662
75,South Boston,2015,9289.48382698852,6444.17725819501,3933.415271295883,23602.08518738647
76,Allston,2015,1728.6143358606153,609.465488357934,584.5199560546374,10963.225288170252
77,Harbor Islands,2015,0.9932707103064515,2.9798121309193544,0.9932707103064515,94.36071747911289
78,Roslindale,2017,16670.244888027803,8336.595047904179,6251.709983982995,18449.47185157057
79,Jamaica Plain,2017,27619.448251389073,11949.671279557355,9892.279882736606,29021.85294329863
80,Mission Hill,2017,3560.331588330452,2507.8191669747043,1517.037688826289,7124.679168933838
81,Longwood,2017,313.75431036643784,189.80920947181602,125.89087995956346,1011.1686555696003
82,Bay Village,2017,691.6997175282179,428.46893279570133,280.0421625809798,999.3921726231175
83,Leather District,2017,203.42885105145388,146.37770520028906,87.45163906293574,382.2828540660797
84,Chinatown,2017,1061.7785355689834,750.211109436423,452.99741125135165,1935.4396360928354
85,North End,2017,4243.320905402707,3594.605693925524,1959.4816498320579,6227.171853203869
86,Roxbury,2017,16759.51305351808,15471.657492169596,8057.792636421917,30281.84003560287
87,South End,2017,12935.351738847783,7714.885356161411,5162.559273752298,17651.813782002053
88,Back Bay,2017,7373.351730647758,4069.20487476967,2860.639151354357,13333.466382090497
89,East Boston,2017,11990.385006617702,11218.042042052026,5802.106762167433,18376.910388966022
90,Charlestown,2017,11165.188860745162,8021.012280824487,4796.550285392412,13254.799542387735
91,West End,2017,2368.665675353513,1268.295227813783,909.2402257918241,4053.164193136526
92,Beacon Hill,2017,3797.611080869321,1669.2524455891412,1366.7158816146152,6155.744088045474
93,Downtown,2017,4976.898471150382,3074.394616640603,2012.8232719477464,8760.226326867669
94,Fenway,2017,4971.104886831741,2464.4954216204983,1858.9000771130602,11828.40780747734
95,Brighton,2017,16682.871587772122,7983.322048930748,6166.548409175718,27841.879461014985
96,West Roxbury,2017,20512.278158680172,10602.782031925459,7778.765047651409,21733.36028246399
97,Hyde Park,2017,16518.698913356304,11301.196275895632,6954.973797312985,22117.780233112917
98,Mattapan,2017,9524.317365390581,7235.21822864525,4189.883898508957,14654.40017334321
99,Dorchester,2017,46755.38836623378,32820.82365719625,19894.053005857506,70921.77337991368
100,South Boston Waterfront,2017,2676.6111230843403,1546.6124850186952,1055.805902025759,5191.3885226942875
101,South Boston,2017,16214.305243466224,12993.962232191623,7302.066868914461,26275.844914325804
102,Allston,2017,5567.754791190047,2493.1736396717197,2015.2321077154418,11802.013162204586
103,Harbor Islands,2017,0.0,0.0,0.0,17.878872785516126
