,WARD_PRECI,Total,18-44,44+
142,1509,2259.0,0.614,0.293
143,1601,1613.0,0.656,0.284
144,1602,4031.0,0.636,0.296
145,1603,1958.0,0.601,0.33
146,1604,1361.0,0.638,0.303
147,1605,1826.0,0.638,0.298
148,1606,1868.0,0.647,0.304
149,1607,2365.0,0.637,0.311
150,1608,1178.0,0.689,0.278
151,1609,1154.0,0.62,0.295
152,1610,1439.0,0.607,0.325
153,1611,2726.0,0.684,0.28
154,1612,2304.0,0.619,0.294
155,1701,2233.0,0.635,0.291
156,1702,1569.0,0.628,0.337
157,1703,3128.0,0.633,0.285
158,1704,3287.0,0.656,0.271
159,1705,1684.0,0.596,0.321
160,1706,1765.0,0.642,0.298
161,1707,1453.0,0.672,0.24
162,1708,2676.0,0.594,0.333
163,1709,1901.0,0.598,0.33
164,1710,2345.0,0.669,0.246
165,1711,852.0,0.658,0.265
166,1712,1227.0,0.658,0.264
167,1713,2675.0,0.68,0.282
168,1714,1504.0,0.638,0.297
169,1801,3398.0,0.652,0.233
170,1802,2622.0,0.64,0.245
171,1803,3360.0,0.633,0.281
172,1804,2557.0,0.648,0.252
173,1805,2027.0,0.66,0.279
174,1806,2291.0,0.66,0.279
175,1807,3264.0,0.651,0.322
176,1808,5009.0,0.657,0.286
177,1809,2406.0,0.653,0.27
178,1810,3046.0,0.643,0.279
179,1811,2089.0,0.654,0.244
180,1812,2560.0,0.659,0.332
181,1813,1428.0,0.658,0.277
182,1814,1450.0,0.639,0.256
183,1815,2334.0,0.658,0.275
184,1816,3300.0,0.621,0.283
185,1817,2356.0,0.62,0.283
186,1818,3229.0,0.646,0.278
187,1819,3637.0,0.684,0.263
188,1820,3278.0,0.654,0.263
189,1821,3132.0,0.642,0.29
190,1822,2789.0,0.632,0.25
191,1823,1569.0,0.691,0.301
192,1901,1694.0,0.703,0.251
193,1902,2415.0,0.672,0.282
194,1903,1825.0,0.715,0.26
195,1904,2155.0,0.703,0.275
196,1905,1613.0,0.704,0.267
197,1906,2418.0,0.736,0.258
198,1907,4384.0,0.682,0.3
199,1908,1013.0,0.553,0.31
200,1909,1130.0,0.669,0.299
201,1910,2988.0,0.646,0.284
202,1911,1794.0,0.671,0.293
203,1912,1354.0,0.682,0.306
204,1913,1874.0,0.644,0.294
205,2001,1816.0,0.622,0.259
206,2002,2514.0,0.63,0.296
207,2003,3757.0,0.686,0.281
208,2004,1688.0,0.62,0.259
209,2005,3791.0,0.648,0.298
210,2006,2539.0,0.67,0.235
211,2007,1436.0,0.625,0.278
212,2008,1724.0,0.621,0.35
213,2009,2371.0,0.626,0.338
214,2010,2534.0,0.619,0.293
215,2011,1021.0,0.601,0.328
216,2012,1657.0,0.64,0.302
217,2013,911.0,0.642,0.297
218,2014,1436.0,0.602,0.328
219,2015,2294.0,0.669,0.276
220,2016,2011.0,0.646,0.342
221,2017,4605.0,0.661,0.278
222,2018,1363.0,0.64,0.302
223,2019,958.0,0.653,0.275
224,2020,1740.0,0.658,0.282
225,2101,3550.0,0.86,0.236
226,2102,4209.0,0.944,0.296
227,2103,2584.0,0.814,0.195
228,2104,1713.0,0.789,0.198
229,2105,2965.0,0.771,0.196
230,2106,1891.0,0.777,0.186
231,2107,2090.0,0.782,0.193
232,2108,2359.0,0.791,0.186
233,2109,3552.0,0.807,0.189
234,2110,1543.0,0.817,0.156
235,2111,2470.0,0.825,0.168
236,2112,1993.0,0.816,0.149
237,2113,3139.0,0.821,0.174
238,2114,1054.0,0.829,0.153
239,2115,1069.0,0.841,0.185
240,2116,6154.0,0.892,0.177
241,2201,8534.0,0.87,0.239
242,2202,2741.0,0.769,0.207
243,2203,2772.0,0.771,0.2
244,2204,1491.0,0.74,0.206
245,2205,1431.0,0.708,0.233
246,2206,1157.0,0.764,0.18
247,2207,1806.0,0.775,0.185
248,2208,2732.0,0.765,0.198
249,2209,1307.0,0.751,0.205
250,2210,2121.0,0.769,0.209
251,2211,2085.0,0.763,0.191
252,2212,2253.0,0.739,0.244
253,2213,1248.0,0.679,0.231
