,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
151,1815,1320.0,679.0,21.0,57.0,77.0,13.0,96.0,113.0,88.0,33.0,30.0,7.0,640.0,6.0,36.0,15.0,55.0,115.0,83.0,105.0,40.0,38.0,14.0
152,1819,1575.0,754.0,3.0,93.0,71.0,22.0,169.0,92.0,95.0,33.0,28.0,19.0,820.0,46.0,53.0,51.0,48.0,96.0,149.0,107.0,39.0,23.0,28.0
153,1911,461.0,195.0,10.0,10.0,29.0,15.0,19.0,18.0,18.0,13.0,12.0,0.0,265.0,5.0,20.0,14.0,56.0,10.0,40.0,52.0,15.0,10.0,1.0
154,1913,625.0,224.0,6.0,15.0,9.0,20.0,31.0,41.0,12.0,20.0,13.0,0.0,400.0,20.0,39.0,53.0,0.0,35.0,61.0,37.0,39.0,14.0,0.0
155,1912,416.0,167.0,4.0,34.0,15.0,12.0,14.0,13.0,18.0,12.0,4.0,0.0,249.0,8.0,15.0,6.0,38.0,18.0,48.0,37.0,10.0,11.0,2.0
156,2004,124.0,67.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,2.0,2.0,58.0,0.0,1.0,0.0,17.0,9.0,0.0,0.0,6.0,8.0,8.0
157,2009,309.0,153.0,9.0,18.0,32.0,12.0,22.0,6.0,21.0,0.0,3.0,0.0,155.0,10.0,8.0,19.0,6.0,32.0,7.0,11.0,10.0,0.0,9.0
158,2007,75.0,42.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,1.0,1.0,1.0,34.0,0.0,1.0,0.0,9.0,5.0,0.0,0.0,3.0,4.0,4.0
159,2019,27.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0
160,2006,118.0,52.0,0.0,0.0,9.0,0.0,0.0,1.0,15.0,13.0,5.0,8.0,67.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,11.0,13.0,25.0
