,WARD_PRECINCT_CODE,Year,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,Voter Turnout
383,1410.0,2013.0,819,837,414,1264.0,0.65
384,1411.0,2013.0,566,550,279,970.0,0.58
385,1412.0,2013.0,444,556,250,722.0,0.61
386,1413.0,2013.0,644,668,328,988.0,0.65
387,1414.0,2013.0,698,934,408,1138.0,0.61
388,1501.0,2013.0,788,892,420,1525.0,0.52
389,1502.0,2013.0,598,670,317,1013.0,0.59
390,1503.0,2013.0,436,380,204,651.0,0.67
391,1504.0,2013.0,1247,1169,604,1853.0,0.67
392,1505.0,2013.0,661,763,356,1208.0,0.55
393,1506.0,2013.0,750,574,331,766.0,0.98
394,1507.0,2013.0,709,587,324,1009.0,0.7
395,1508.0,2013.0,746,546,323,984.0,0.76
396,1509.0,2013.0,988,652,410,1080.0,0.91
397,1601.0,2013.0,935,581,379,1096.0,0.85
398,1602.0,2013.0,931,653,396,796.0,1.17
399,1603.0,2013.0,1193,847,510,1366.0,0.87
400,1604.0,2013.0,1194,814,502,1259.0,0.95
401,1605.0,2013.0,1595,1001,649,1389.0,1.15
402,1606.0,2013.0,1635,1161,699,1779.0,0.92
403,1607.0,2013.0,1969,1063,758,1226.0,1.61
404,1608.0,2013.0,1981,1099,770,1347.0,1.47
405,1609.0,2013.0,2594,1246,960,1432.0,1.81
406,1610.0,2013.0,1807,961,692,1280.0,1.41
407,1611.0,2013.0,2239,1021,815,1388.0,1.61
408,1612.0,2013.0,2526,1138,916,1241.0,2.04
409,1701.0,2013.0,711,701,353,1159.0,0.61
410,1702.0,2013.0,564,540,276,793.0,0.71
411,1703.0,2013.0,1507,1093,650,1743.0,0.86
412,1704.0,2013.0,1914,1390,826,1803.0,1.06
413,1705.0,2013.0,417,495,228,874.0,0.48
414,1706.0,2013.0,1060,824,471,1265.0,0.84
415,1707.0,2013.0,429,443,218,668.0,0.64
416,1708.0,2013.0,884,744,407,1100.0,0.8
417,1709.0,2013.0,1087,693,445,900.0,1.21
418,1710.0,2013.0,1047,1037,521,1577.0,0.66
419,1711.0,2013.0,466,342,202,569.0,0.82
420,1712.0,2013.0,1126,562,422,895.0,1.26
421,1713.0,2013.0,1978,974,738,1531.0,1.29
422,1714.0,2013.0,1205,695,475,1077.0,1.12
423,1801.0,2013.0,1681,1143,706,1970.0,0.85
424,1802.0,2013.0,1152,1096,562,1417.0,0.81
425,1803.0,2013.0,1383,1173,639,1645.0,0.84
426,1804.0,2013.0,1186,1190,594,1605.0,0.74
427,1805.0,2013.0,1379,1485,716,1665.0,0.83
428,1806.0,2013.0,2008,1208,804,1828.0,1.1
429,1807.0,2013.0,1246,1066,578,1406.0,0.89
430,1808.0,2013.0,2210,1758,992,2545.0,0.87
431,1809.0,2013.0,1671,1101,693,1444.0,1.16
432,1810.0,2013.0,2425,1459,971,2015.0,1.2
433,1811.0,2013.0,1149,883,508,1328.0,0.87
434,1812.0,2013.0,1736,1084,705,1466.0,1.18
435,1813.0,2013.0,715,625,335,905.0,0.79
436,1814.0,2013.0,769,679,362,946.0,0.81
437,1815.0,2013.0,1315,1017,583,1378.0,0.95
438,1816.0,2013.0,2517,1191,927,1556.0,1.62
439,1817.0,2013.0,1623,1297,730,1499.0,1.08
440,1818.0,2013.0,1829,1503,833,1894.0,0.97
441,1819.0,2013.0,2232,1524,939,2263.0,0.99
442,1820.0,2013.0,2742,1542,1071,1989.0,1.38
443,1821.0,2013.0,1591,1237,707,1858.0,0.86
444,1822.0,2013.0,2143,1277,855,1608.0,1.33
445,1823.0,2013.0,682,894,394,1078.0,0.63
446,1901.0,2013.0,1482,798,570,1362.0,1.09
447,1902.0,2013.0,2583,1237,955,1549.0,1.67
448,1903.0,2013.0,1537,703,560,1080.0,1.42
449,1904.0,2013.0,1893,1127,755,1546.0,1.22
450,1905.0,2013.0,1734,906,660,1344.0,1.29
451,1906.0,2013.0,2413,1191,901,1722.0,1.4
452,1907.0,2013.0,2116,1012,782,1738.0,1.22
453,1908.0,2013.0,1271,585,464,851.0,1.49
454,1909.0,2013.0,1161,511,418,840.0,1.38
455,1910.0,2013.0,1987,1217,801,1626.0,1.22
456,1911.0,2013.0,815,893,427,1349.0,0.6
457,1912.0,2013.0,1529,739,567,1073.0,1.42
458,1913.0,2013.0,1125,731,464,1114.0,1.01
459,2001.0,2013.0,2066,1054,780,1465.0,1.41
460,2002.0,2013.0,2147,1105,813,1708.0,1.26
461,2003.0,2013.0,1796,1364,790,1751.0,1.03
462,2004.0,2013.0,1926,866,698,1245.0,1.55
463,2005.0,2013.0,2364,1268,908,1626.0,1.45
