,WARD_PRECI,Total,18-44,44+
66,707,2410.0,0.678,0.271
67,708,2457.0,0.674,0.235
68,709,1359.0,0.653,0.242
69,710,2740.0,0.632,0.286
70,801,3382.0,0.616,0.276
71,802,4465.0,0.617,0.292
72,803,2612.0,0.658,0.25
73,804,1420.0,0.65,0.227
74,805,2066.0,0.65,0.268
75,806,2151.0,0.642,0.277
76,807,967.0,0.658,0.266
77,901,2778.0,0.644,0.319
78,902,2763.0,0.704,0.306
79,903,4904.0,0.711,0.31
80,904,4161.0,0.781,0.258
81,905,4112.0,0.797,0.248
82,1001,1165.0,0.834,0.196
83,1002,2235.0,0.843,0.152
84,1003,2232.0,0.824,0.122
85,1004,1725.0,0.751,0.186
86,1005,2948.0,0.775,0.161
87,1006,2640.0,0.692,0.25
88,1007,2565.0,0.668,0.268
89,1008,2935.0,0.734,0.203
90,1009,2519.0,0.682,0.261
91,1101,1892.0,0.724,0.217
92,1102,2460.0,0.715,0.24
93,1103,1828.0,0.709,0.265
94,1104,3204.0,0.683,0.231
95,1105,1882.0,0.668,0.264
96,1106,2011.0,0.64,0.33
97,1107,2492.0,0.637,0.325
98,1108,3292.0,0.634,0.325
99,1109,1262.0,0.657,0.324
100,1110,1406.0,0.644,0.333
101,1201,2933.0,0.704,0.251
102,1202,3538.0,0.659,0.273
103,1203,1268.0,0.753,0.249
104,1204,1933.0,0.609,0.264
105,1205,1048.0,0.726,0.252
106,1206,1746.0,0.633,0.278
107,1207,4861.0,0.675,0.242
108,1208,1578.0,0.657,0.259
109,1209,2182.0,0.678,0.253
110,1301,2605.0,0.676,0.273
111,1302,1170.0,0.677,0.268
112,1303,2491.0,0.796,0.214
113,1304,2396.0,0.643,0.283
114,1305,1928.0,0.605,0.296
115,1306,2046.0,0.606,0.297
116,1307,1298.0,0.666,0.27
117,1308,1906.0,0.663,0.288
118,1309,2268.0,0.65,0.293
119,1310,2533.0,0.709,0.266
120,1401,4808.0,0.649,0.325
121,1402,4859.0,0.666,0.317
122,1403,2220.0,0.635,0.277
123,1404,2873.0,0.654,0.309
124,1405,1978.0,0.64,0.333
125,1406,1896.0,0.622,0.265
126,1407,2402.0,0.693,0.363
127,1408,1807.0,0.667,0.312
128,1409,2286.0,0.696,0.356
129,1410,3588.0,0.727,0.255
130,1411,2482.0,0.728,0.256
131,1412,1258.0,0.711,0.266
132,1413,1861.0,0.664,0.292
133,1414,2478.0,0.67,0.318
134,1501,3041.0,0.675,0.28
135,1502,1593.0,0.69,0.268
136,1503,1184.0,0.671,0.258
137,1504,3301.0,0.677,0.301
138,1505,2212.0,0.683,0.327
139,1506,1342.0,0.647,0.303
140,1507,1506.0,0.668,0.355
141,1508,1674.0,0.679,0.313
142,1509,2155.0,0.656,0.325
143,1601,1642.0,0.638,0.296
144,1602,4103.0,0.65,0.321
145,1603,1827.0,0.673,0.284
146,1604,1557.0,0.648,0.305
147,1605,1990.0,0.648,0.316
148,1606,2168.0,0.649,0.292
149,1607,2863.0,0.649,0.291
150,1608,1093.0,0.652,0.285
151,1609,1164.0,0.592,0.308
152,1610,1366.0,0.659,0.24
153,1611,2550.0,0.647,0.287
154,1612,2325.0,0.592,0.308
155,1701,2307.0,0.664,0.313
156,1702,1575.0,0.686,0.309
157,1703,3129.0,0.652,0.299
158,1704,3821.0,0.656,0.303
159,1705,1605.0,0.678,0.294
160,1706,1720.0,0.646,0.272
161,1707,1744.0,0.704,0.217
162,1708,2538.0,0.681,0.292
163,1709,1824.0,0.68,0.293
164,1710,2794.0,0.694,0.24
165,1711,987.0,0.666,0.303
166,1712,1456.0,0.664,0.264
167,1713,2611.0,0.643,0.29
168,1714,1772.0,0.609,0.302
169,1801,4433.0,0.684,0.264
170,1802,3032.0,0.666,0.305
171,1803,3440.0,0.624,0.309
172,1804,3049.0,0.67,0.257
173,1805,2194.0,0.63,0.251
174,1806,2479.0,0.63,0.251
175,1807,3335.0,0.65,0.293
176,1808,5450.0,0.642,0.26
177,1809,2504.0,0.641,0.271
178,1810,3200.0,0.632,0.308
179,1811,2514.0,0.685,0.272
180,1812,2559.0,0.671,0.32
181,1813,1616.0,0.689,0.261
182,1814,1526.0,0.606,0.215
183,1815,2645.0,0.688,0.259
184,1816,3550.0,0.644,0.249
185,1817,2525.0,0.64,0.252
186,1818,3574.0,0.665,0.264
187,1819,4386.0,0.671,0.269
188,1820,3669.0,0.634,0.291
189,1821,3285.0,0.628,0.261
190,1822,2860.0,0.575,0.199
191,1823,1766.0,0.627,0.269
192,1901,1646.0,0.662,0.242
193,1902,2486.0,0.699,0.297
194,1903,1806.0,0.675,0.276
195,1904,2220.0,0.669,0.27
196,1905,1631.0,0.66,0.291
197,1906,2380.0,0.675,0.287
198,1907,4464.0,0.636,0.323
199,1908,1154.0,0.596,0.308
200,1909,1183.0,0.641,0.32
201,1910,3045.0,0.636,0.302
202,1911,1855.0,0.635,0.316
203,1912,1374.0,0.653,0.295
204,1913,1864.0,0.636,0.31
205,2001,2007.0,0.641,0.253
206,2002,2650.0,0.628,0.32
207,2003,4149.0,0.633,0.272
208,2004,1869.0,0.641,0.253
209,2005,3737.0,0.675,0.266
210,2006,2584.0,0.638,0.251
211,2007,1527.0,0.636,0.261
212,2008,1669.0,0.642,0.306
213,2009,2342.0,0.635,0.322
214,2010,2458.0,0.642,0.314
215,2011,972.0,0.634,0.326
216,2012,1663.0,0.626,0.267
217,2013,921.0,0.624,0.271
218,2014,1367.0,0.634,0.326
219,2015,2394.0,0.656,0.269
220,2016,1952.0,0.692,0.247
221,2017,4808.0,0.622,0.287
222,2018,1367.0,0.626,0.267
223,2019,972.0,0.63,0.262
224,2020,1807.0,0.623,0.284
225,2101,4016.0,0.843,0.237
226,2102,4287.0,0.937,0.272
227,2103,2434.0,0.826,0.166
228,2104,1619.0,0.776,0.232
229,2105,3178.0,0.788,0.163
230,2106,2174.0,0.724,0.214
231,2107,2372.0,0.781,0.18
232,2108,2707.0,0.831,0.13
233,2109,4158.0,0.774,0.205
234,2110,1823.0,0.765,0.213
235,2111,2673.0,0.807,0.166
236,2112,2376.0,0.764,0.212
237,2113,3331.0,0.794,0.187
238,2114,1206.0,0.779,0.206
239,2115,1031.0,0.798,0.213
240,2116,5412.0,0.875,0.163
241,2201,8766.0,0.85,0.245
242,2202,3007.0,0.761,0.243
243,2203,3240.0,0.727,0.214
244,2204,1746.0,0.7,0.308
245,2205,2265.0,0.736,0.257
246,2206,1336.0,0.699,0.21
247,2207,2216.0,0.748,0.255
248,2208,3215.0,0.693,0.314
249,2209,1521.0,0.689,0.289
250,2210,2604.0,0.724,0.268
251,2211,2548.0,0.751,0.242
252,2212,2984.0,0.724,0.246
253,2213,1415.0,0.708,0.25
