,Ward/Precint,% Of Total Ballots Cast 2009,Avg. Ballots Cast Per Precinct 2009,Precinct Ballots Cast 2009,% Of Total Ballots Cast 2019,Avg. Ballots Cast Per Precinct 2019,Precinct Ballots Cast 2019,% Change in Income
130,1411,0.002,437.756,181,0.002,263.713,121,0.28
131,1412,0.002,437.756,179,0.001,263.713,74,0.27
132,1413,0.002,437.756,259,0.002,263.713,113,0.33
133,1414,0.003,437.756,319,0.002,263.713,155,0.15
134,1501,0.003,437.756,339,0.002,263.713,129,0.2
135,1502,0.002,437.756,240,0.001,263.713,79,0.0
136,1503,0.001,437.756,164,0.001,263.713,53,-0.07
137,1504,0.004,437.756,407,0.003,263.713,191,0.2
138,1505,0.002,437.756,268,0.002,263.713,149,0.07
139,1506,0.002,437.756,250,0.002,263.713,152,0.32
140,1507,0.002,437.756,238,0.002,263.713,122,-0.07
141,1508,0.002,437.756,234,0.002,263.713,129,0.33
142,1509,0.003,437.756,288,0.002,263.713,153,0.18
143,1601,0.003,437.756,325,0.002,263.713,154,0.33
144,1602,0.003,437.756,283,0.002,263.713,161,0.37
145,1603,0.004,437.756,437,0.003,263.713,215,0.42
146,1604,0.003,437.756,385,0.003,263.713,200,0.36
147,1605,0.004,437.756,490,0.004,263.713,268,0.35
148,1606,0.004,437.756,499,0.004,263.713,294,0.4
149,1607,0.005,437.756,603,0.005,263.713,350,0.39
150,1608,0.005,437.756,587,0.006,263.713,416,0.37
151,1609,0.007,437.756,781,0.007,263.713,466,0.43
152,1610,0.004,437.756,496,0.004,263.713,257,0.42
153,1611,0.006,437.756,646,0.006,263.713,391,0.43
154,1612,0.007,437.756,808,0.008,263.713,534,0.43
155,1701,0.003,437.756,282,0.002,263.713,113,0.38
156,1702,0.002,437.756,219,0.002,263.713,109,0.42
157,1703,0.004,437.756,496,0.005,263.713,315,0.39
158,1704,0.006,437.756,703,0.005,263.713,352,0.37
159,1705,0.002,437.756,171,0.001,263.713,97,0.29
160,1706,0.004,437.756,432,0.003,263.713,222,0.45
161,1707,0.002,437.756,184,0.001,263.713,94,0.24
162,1708,0.003,437.756,345,0.002,263.713,152,0.29
163,1709,0.003,437.756,366,0.004,263.713,256,0.29
164,1710,0.004,437.756,408,0.003,263.713,168,0.23
165,1711,0.001,437.756,149,0.002,263.713,102,0.36
166,1712,0.003,437.756,333,0.002,263.713,150,0.34
167,1713,0.005,437.756,570,0.004,263.713,299,0.51
168,1714,0.003,437.756,362,0.004,263.713,290,0.48
169,1801,0.005,437.756,574,0.005,263.713,346,0.37
170,1802,0.004,437.756,432,0.003,263.713,197,0.28
171,1803,0.005,437.756,519,0.004,263.713,264,0.21
172,1804,0.004,437.756,479,0.004,263.713,259,0.27
173,1805,0.005,437.756,565,0.005,263.713,314,0.1
174,1806,0.005,437.756,601,0.005,263.713,354,0.11
175,1807,0.004,437.756,454,0.004,263.713,277,0.26
176,1808,0.008,437.756,838,0.006,263.713,385,0.29
177,1809,0.005,437.756,590,0.005,263.713,346,0.45
178,1810,0.007,437.756,760,0.009,263.713,598,0.47
179,1811,0.003,437.756,371,0.004,263.713,236,0.41
180,1812,0.005,437.756,602,0.005,263.713,321,0.49
181,1813,0.002,437.756,272,0.003,263.713,174,0.31
182,1814,0.003,437.756,287,0.002,263.713,155,0.2
183,1815,0.004,437.756,450,0.004,263.713,267,0.19
184,1816,0.007,437.756,819,0.01,263.713,647,0.15
185,1817,0.005,437.756,582,0.005,263.713,363,0.25
186,1818,0.006,437.756,693,0.006,263.713,405,0.38
187,1819,0.007,437.756,807,0.007,263.713,469,0.53
188,1820,0.009,437.756,952,0.009,263.713,598,0.53
189,1821,0.005,437.756,579,0.004,263.713,278,0.34
190,1822,0.007,437.756,766,0.007,263.713,471,0.39
191,1823,0.003,437.756,327,0.003,263.713,225,0.76
192,1901,0.004,437.756,454,0.005,263.713,368,0.34
193,1902,0.007,437.756,823,0.006,263.713,402,0.14
194,1903,0.004,437.756,418,0.004,263.713,263,0.07
195,1904,0.005,437.756,543,0.007,263.713,451,0.38
196,1905,0.005,437.756,542,0.006,263.713,389,0.02
197,1906,0.006,437.756,661,0.007,263.713,483,0.2
198,1907,0.005,437.756,603,0.006,263.713,407,0.23
199,1908,0.003,437.756,381,0.004,263.713,263,0.12
200,1909,0.003,437.756,345,0.003,263.713,209,0.07
201,1910,0.006,437.756,636,0.007,263.713,451,0.35
202,1911,0.003,437.756,294,0.004,263.713,263,0.4
203,1912,0.004,437.756,478,0.005,263.713,327,0.09
204,1913,0.003,437.756,380,0.004,263.713,241,0.29
205,2001,0.006,437.756,676,0.006,263.713,404,0.28
206,2002,0.006,437.756,646,0.006,263.713,426,0.42
207,2003,0.006,437.756,669,0.004,263.713,262,0.28
208,2004,0.005,437.756,560,0.007,263.713,451,0.39
209,2005,0.007,437.756,757,0.006,263.713,384,0.17
210,2006,0.008,437.756,841,0.007,263.713,500,0.11
211,2007,0.004,437.756,486,0.005,263.713,306,0.26
212,2008,0.004,437.756,471,0.005,263.713,331,0.34
213,2009,0.005,437.756,553,0.006,263.713,379,0.42
214,2010,0.008,437.756,864,0.007,263.713,461,0.19
215,2011,0.004,437.756,413,0.004,263.713,263,0.23
216,2012,0.005,437.756,589,0.005,263.713,325,0.31
217,2013,0.004,437.756,482,0.004,263.713,253,0.23
218,2014,0.005,437.756,556,0.005,263.713,319,0.15
219,2015,0.007,437.756,777,0.005,263.713,325,0.08
220,2016,0.008,437.756,878,0.006,263.713,396,-0.06
221,2017,0.008,437.756,929,0.007,263.713,437,0.25
222,2018,0.004,437.756,485,0.004,263.713,238,0.31
223,2019,0.005,437.756,534,0.004,263.713,269,0.23
224,2020,0.006,437.756,672,0.005,263.713,364,0.25
225,2101,0.002,437.756,205,0.003,263.713,179,0.25
226,2102,0.0,437.756,26,0.0,263.713,27,0.81
227,2103,0.001,437.756,128,0.001,263.713,85,0.71
228,2104,0.001,437.756,94,0.002,263.713,121,0.62
