,WARD_PRECI,Total,Non-Hispanic/Latino,Hispanic/Latino
231,0111,1869.0,1055.0,814.0
232,1004,1580.0,1307.0,273.0
233,0802,4515.0,3627.0,887.0
234,2011,1021.0,962.0,59.0
235,2008,1724.0,1506.0,218.0
236,0410,6650.0,5850.0,801.0
237,0407,2825.0,2507.0,318.0
238,1008,2943.0,2353.0,589.0
239,0301,1775.0,1688.0,87.0
240,0507,2587.0,2406.0,181.0
241,0508,2846.0,2593.0,252.0
242,0506,2611.0,2432.0,179.0
243,0509,4156.0,3769.0,386.0
244,1812,2560.0,1835.0,725.0
245,1823,1569.0,1227.0,342.0
246,2003,3757.0,2978.0,778.0
247,1816,3300.0,2505.0,796.0
248,1817,2356.0,1784.0,571.0
249,1818,3229.0,2375.0,855.0
250,0502A,1428.0,1178.0,251.0
251,0115,71.0,57.0,14.0
252,0104,2075.0,691.0,1384.0
253,2002,2514.0,2074.0,439.0
