,WARD_PRECI,Total,18-44,44+
190,1822,2569.0,0.607,0.31
191,1823,1459.0,0.661,0.346
192,1901,1658.0,0.759,0.259
193,1902,2227.0,0.682,0.244
194,1903,1615.0,0.671,0.299
195,1904,1924.0,0.687,0.278
196,1905,1349.0,0.633,0.311
197,1906,1999.0,0.645,0.311
198,1907,3862.0,0.655,0.316
199,1908,894.0,0.577,0.308
200,1909,943.0,0.633,0.28
201,1910,2824.0,0.686,0.292
202,1911,1654.0,0.677,0.309
203,1912,1250.0,0.653,0.331
204,1913,1760.0,0.698,0.294
205,2001,1897.0,0.652,0.263
206,2002,2205.0,0.672,0.274
207,2003,3486.0,0.659,0.335
208,2004,1769.0,0.652,0.263
209,2005,3525.0,0.624,0.325
210,2006,2288.0,0.662,0.25
211,2007,1461.0,0.639,0.269
212,2008,1719.0,0.655,0.304
213,2009,2216.0,0.663,0.297
214,2010,2477.0,0.602,0.284
215,2011,1021.0,0.586,0.282
216,2012,1600.0,0.622,0.276
217,2013,857.0,0.629,0.272
218,2014,1437.0,0.586,0.281
219,2015,2127.0,0.643,0.328
220,2016,1880.0,0.614,0.353
221,2017,3855.0,0.669,0.252
222,2018,1317.0,0.622,0.276
223,2019,888.0,0.642,0.264
224,2020,1489.0,0.662,0.256
225,2101,3158.0,0.873,0.241
226,2102,4234.0,0.946,0.355
227,2103,3172.0,0.855,0.143
228,2104,1946.0,0.808,0.2
229,2105,3248.0,0.782,0.201
230,2106,1968.0,0.773,0.208
231,2107,2315.0,0.766,0.213
232,2108,2749.0,0.774,0.201
233,2109,4089.0,0.776,0.203
234,2110,1707.0,0.834,0.155
235,2111,2515.0,0.833,0.17
236,2112,2213.0,0.844,0.145
237,2113,3117.0,0.833,0.163
238,2114,1111.0,0.849,0.148
239,2115,925.0,0.853,0.147
240,2116,4617.0,0.879,0.172
241,2201,7387.0,0.861,0.297
242,2202,3007.0,0.78,0.218
243,2203,2836.0,0.767,0.223
244,2204,1527.0,0.749,0.196
245,2205,1402.0,0.681,0.277
246,2206,1139.0,0.779,0.202
247,2207,1840.0,0.734,0.207
248,2208,3052.0,0.76,0.177
249,2209,1524.0,0.761,0.171
250,2210,2259.0,0.733,0.228
251,2211,2101.0,0.729,0.214
252,2212,2351.0,0.706,0.281
253,2213,1200.0,0.733,0.216
