,Ward/Precinct,CC Ballots 2009,CC Ballots 2019,M Ballots 2009,M Ballots 2017,Registered Voters 2009,Registered Voters 2017,Registered Voters 2019,CC Voter Turnout 2009,CC Voter Turnout 2019,M Voter Turnout 2009,M Voter Turnout 2017,CC % Net Change,M % Net Change,CC Net Change,M Net Change,Median Income 2009,Median Income 2017/19,% Change in Median Income,Neighborhood
11,0112,532,245,532,542.0,1315,1365.0,1410,0.4,0.17,0.4,0.4,-0.23,0.0,-287,10.0,56534,81197,0.44,East Boston
12,0113,583,274,583,637.0,1627,1916.0,1977,0.36,0.14,0.36,0.33,-0.21999999999999997,-0.02999999999999997,-309,54.0,48026,61660,0.28,East Boston
13,0114,318,137,318,330.0,943,960.0,967,0.34,0.14,0.34,0.34,-0.2,0.0,-181,12.0,48026,61660,0.28,East Boston
14,0115,1,0,1,0.0,223,18.0,3,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1.0,0,0,,Harbor Islands
15,0201,712,390,712,794.0,1948,2209.0,2209,0.37,0.18,0.37,0.36,-0.19,-0.010000000000000009,-322,82.0,86053,112741,0.31,Charlestown
16,0202,646,360,646,875.0,2339,2985.0,3160,0.28,0.11,0.28,0.29,-0.17000000000000004,0.009999999999999953,-286,229.0,67023,87660,0.31,Charlestown
17,0203,540,274,540,585.0,1579,1470.0,1564,0.34,0.18,0.34,0.4,-0.16000000000000003,0.06,-266,45.0,90820,119741,0.32,Charlestown
18,0204,396,237,396,548.0,1398,1498.0,1638,0.28,0.14,0.28,0.37,-0.14,0.08999999999999997,-159,152.0,79024,100823,0.28,Charlestown
19,0205,558,242,558,589.0,1628,1580.0,1638,0.34,0.15,0.34,0.37,-0.19000000000000003,0.02999999999999997,-316,31.0,101418,134370,0.32,Charlestown
20,0206,747,370,747,860.0,1903,2022.0,2052,0.39,0.18,0.39,0.43,-0.21000000000000002,0.03999999999999998,-377,113.0,101418,134370,0.32,Charlestown
21,0207,475,284,475,571.0,1286,1567.0,1742,0.37,0.16,0.37,0.36,-0.21,-0.010000000000000009,-191,96.0,75409,105905,0.4,Charlestown
22,0301,1113,378,1113,1107.0,3487,3033.0,3047,0.32,0.12,0.32,0.36,-0.2,0.03999999999999998,-735,-6.0,93939,120311,0.28,Downtown
23,0302,398,142,398,463.0,1546,1625.0,1624,0.26,0.09,0.26,0.28,-0.17,0.020000000000000018,-256,65.0,72401,104441,0.44,West End
24,0303,400,195,400,503.0,1528,1807.0,1805,0.26,0.11,0.26,0.28,-0.15000000000000002,0.020000000000000018,-205,103.0,78636,111813,0.42,Downtown
25,0304,518,218,518,561.0,1616,1786.0,2108,0.32,0.1,0.32,0.31,-0.22,-0.010000000000000009,-300,43.0,77082,109571,0.42,Downtown
26,0305,752,550,752,659.0,2646,3073.0,3280,0.28,0.17,0.28,0.21,-0.11000000000000001,-0.07000000000000003,-202,-93.0,76367,103671,0.36,North End
27,0306,755,439,755,733.0,3479,4266.0,4579,0.22,0.1,0.22,0.17,-0.12,-0.04999999999999999,-316,-22.0,84295,109913,0.3,Beacon Hill
28,0307,986,499,986,1224.0,3726,3810.0,3803,0.26,0.13,0.26,0.32,-0.13,0.06,-487,238.0,65792,86173,0.31,South End
29,0308,941,870,941,1306.0,3805,5709.0,6341,0.25,0.14,0.25,0.23,-0.10999999999999999,-0.01999999999999999,-71,365.0,36730,71872,0.96,Beacon Hill
30,0401,593,334,593,670.0,1966,1784.0,1859,0.3,0.18,0.3,0.38,-0.12,0.08000000000000002,-259,77.0,84186,118360,0.41,South End
31,0402,643,385,643,698.0,2655,3015.0,3001,0.24,0.13,0.24,0.23,-0.10999999999999999,-0.009999999999999981,-258,55.0,80854,112658,0.39,South End
