,Ward/Precinct,CC Ballots 2009,CC Ballots 2019,M Ballots 2009,M Ballots 2017,Registered Voters 2009,Registered Voters 2017,Registered Voters 2019,CC Voter Turnout 2009,CC Voter Turnout 2019,M Voter Turnout 2009,M Voter Turnout 2017,CC % Net Change,M % Net Change,CC Net Change,M Net Change,Median Income 2009,Median Income 2017/19,% Change in Median Income,Neighborhood
166,1712,333,150,333,324.0,894,929.0,958,0.37,0.16,0.37,0.35,-0.21,-0.020000000000000018,-183,-9.0,47717,64126,0.34,Dorchester
167,1713,570,299,570,518.0,1373,1251.0,1280,0.42,0.23,0.42,0.41,-0.18999999999999997,-0.010000000000000009,-271,-52.0,58469,88108,0.51,Mattapan
168,1714,362,290,362,483.0,978,1300.0,1331,0.37,0.22,0.37,0.37,-0.15,0.0,-72,121.0,51022,75388,0.48,Dorchester
169,1801,574,346,574,611.0,1899,2168.0,2220,0.3,0.16,0.3,0.28,-0.13999999999999999,-0.019999999999999962,-228,37.0,45979,62769,0.37,Dorchester
170,1802,432,197,432,382.0,1312,1456.0,1524,0.33,0.13,0.33,0.26,-0.2,-0.07,-235,-50.0,39141,50235,0.28,Dorchester
171,1803,519,264,519,486.0,1550,1721.0,1717,0.33,0.15,0.33,0.28,-0.18000000000000002,-0.04999999999999999,-255,-33.0,42339,51424,0.21,Roslindale
172,1804,479,259,479,445.0,1518,1753.0,1751,0.32,0.15,0.32,0.25,-0.17,-0.07,-220,-34.0,51836,65898,0.27,Hyde Park
173,1805,565,314,565,545.0,1563,1728.0,1759,0.36,0.18,0.36,0.32,-0.18,-0.03999999999999998,-251,-20.0,57545,63464,0.1,Mattapan
174,1806,601,354,601,599.0,1697,1935.0,1979,0.35,0.18,0.35,0.31,-0.16999999999999998,-0.03999999999999998,-247,-2.0,56577,62995,0.11,Mattapan
175,1807,454,277,454,451.0,1300,1494.0,1524,0.35,0.18,0.35,0.3,-0.16999999999999998,-0.04999999999999999,-177,-3.0,51436,64615,0.26,Jamaica Plain
176,1808,838,385,838,692.0,2398,2617.0,2705,0.35,0.14,0.35,0.26,-0.20999999999999996,-0.08999999999999997,-453,-146.0,52759,68250,0.29,Roslindale
177,1809,590,346,590,499.0,1333,1472.0,1529,0.44,0.23,0.44,0.34,-0.21,-0.09999999999999998,-244,-91.0,61514,89091,0.45,Hyde Park
178,1810,760,598,760,751.0,1966,2081.0,2160,0.39,0.28,0.39,0.36,-0.10999999999999999,-0.030000000000000027,-162,-9.0,55313,81419,0.47,Roslindale
179,1811,371,236,371,350.0,1306,1418.0,1452,0.28,0.16,0.28,0.25,-0.12000000000000002,-0.030000000000000027,-135,-21.0,64322,90589,0.41,West Roxbury
180,1812,602,321,602,480.0,1431,1530.0,1594,0.42,0.2,0.42,0.31,-0.21999999999999997,-0.10999999999999999,-281,-122.0,61457,91770,0.49,West Roxbury
181,1813,272,174,272,250.0,854,916.0,956,0.32,0.18,0.32,0.27,-0.14,-0.04999999999999999,-98,-22.0,60558,79539,0.31,Hyde Park
182,1814,287,155,287,262.0,907,1040.0,1102,0.32,0.14,0.32,0.25,-0.18,-0.07,-132,-25.0,60496,72870,0.2,Roslindale
183,1815,450,267,450,413.0,1310,1460.0,1534,0.34,0.17,0.34,0.28,-0.17,-0.06,-183,-37.0,62097,73965,0.19,Hyde Park
184,1816,819,647,819,675.0,1525,1636.0,1643,0.54,0.39,0.54,0.41,-0.15000000000000002,-0.13000000000000006,-172,-144.0,60770,69653,0.15,Hyde Park
185,1817,582,363,582,510.0,1367,1565.0,1621,0.43,0.22,0.43,0.33,-0.21,-0.09999999999999998,-219,-72.0,63450,79156,0.25,Hyde Park
186,1818,693,405,693,620.0,1751,1977.0,2015,0.4,0.2,0.4,0.31,-0.2,-0.09000000000000002,-288,-73.0,58341,80374,0.38,Hyde Park
187,1819,807,469,807,729.0,2075,2526.0,2700,0.39,0.17,0.39,0.29,-0.22,-0.10000000000000003,-338,-78.0,48519,74205,0.53,West Roxbury
188,1820,952,598,952,766.0,1835,2037.0,2123,0.52,0.28,0.52,0.38,-0.24,-0.14,-354,-186.0,58668,89906,0.53,Hyde Park
189,1821,579,278,579,545.0,1830,1983.0,2034,0.32,0.14,0.32,0.27,-0.18,-0.04999999999999999,-301,-34.0,39891,53553,0.34,Hyde Park
190,1822,766,471,766,631.0,1552,1661.0,1733,0.49,0.27,0.49,0.38,-0.21999999999999997,-0.10999999999999999,-295,-135.0,61274,85034,0.39,Roslindale
191,1823,327,225,327,338.0,1018,1386.0,1494,0.32,0.15,0.32,0.24,-0.17,-0.08000000000000002,-102,11.0,43304,76008,0.76,Hyde Park
192,1901,454,368,454,488.0,1309,1344.0,1398,0.35,0.26,0.35,0.36,-0.08999999999999997,0.010000000000000009,-86,34.0,73067,97945,0.34,Jamaica Plain
193,1902,823,402,823,650.0,1631,1529.0,1524,0.5,0.26,0.5,0.43,-0.24,-0.07,-421,-173.0,105297,120540,0.14,West Roxbury
194,1903,418,263,418,436.0,1091,1071.0,1122,0.38,0.23,0.38,0.41,-0.15,0.02999999999999997,-155,18.0,117155,125502,0.07,Jamaica Plain
195,1904,543,451,543,634.0,1580,1537.0,1614,0.34,0.28,0.34,0.41,-0.06,0.06999999999999995,-92,91.0,70200,97049,0.38,Jamaica Plain
196,1905,542,389,542,525.0,1382,1306.0,1395,0.39,0.28,0.39,0.4,-0.10999999999999999,0.010000000000000009,-153,-17.0,129720,131678,0.02,Jamaica Plain
197,1906,661,483,661,742.0,1694,1736.0,1752,0.39,0.28,0.39,0.43,-0.10999999999999999,0.03999999999999998,-178,81.0,90240,108603,0.2,Jamaica Plain
198,1907,603,407,603,577.0,1658,1735.0,1823,0.36,0.22,0.36,0.33,-0.13999999999999999,-0.02999999999999997,-196,-26.0,74128,91393,0.23,Mattapan
199,1908,381,263,381,333.0,847,843.0,870,0.45,0.3,0.45,0.4,-0.15000000000000002,-0.04999999999999999,-118,-48.0,108322,121445,0.12,Jamaica Plain
200,1909,345,209,345,310.0,817,830.0,816,0.42,0.26,0.42,0.37,-0.15999999999999998,-0.04999999999999999,-136,-35.0,123272,131452,0.07,Jamaica Plain
201,1910,636,451,636,600.0,1544,1698.0,1710,0.41,0.26,0.41,0.35,-0.14999999999999997,-0.06,-185,-36.0,54973,74459,0.35,Roslindale
202,1911,294,263,294,389.0,1154,1624.0,1652,0.25,0.16,0.25,0.24,-0.09,-0.010000000000000009,-31,95.0,61366,85977,0.4,Jamaica Plain
203,1912,478,327,478,466.0,979,1186.0,1190,0.49,0.27,0.49,0.39,-0.21999999999999997,-0.09999999999999998,-151,-12.0,61786,67342,0.09,Roslindale
204,1913,380,241,380,329.0,1085,1102.0,1147,0.35,0.21,0.35,0.3,-0.13999999999999999,-0.04999999999999999,-139,-51.0,60718,78620,0.29,Jamaica Plain
205,2001,676,404,676,553.0,1644,1524.0,1557,0.41,0.26,0.41,0.36,-0.14999999999999997,-0.04999999999999999,-272,-123.0,83172,106617,0.28,Jamaica Plain
206,2002,646,426,646,566.0,1577,1626.0,1651,0.41,0.26,0.41,0.35,-0.14999999999999997,-0.06,-220,-80.0,64038,91077,0.42,Roslindale
207,2003,669,262,669,500.0,1623,1674.0,1732,0.41,0.15,0.41,0.3,-0.26,-0.10999999999999999,-407,-169.0,64391,82101,0.28,Hyde Park
208,2004,560,451,560,546.0,1210,1208.0,1239,0.46,0.36,0.46,0.45,-0.10000000000000003,-0.010000000000000009,-109,-14.0,76414,106222,0.39,Jamaica Plain
209,2005,757,384,757,587.0,1585,1576.0,1614,0.48,0.24,0.48,0.37,-0.24,-0.10999999999999999,-373,-170.0,83799,98071,0.17,West Roxbury
210,2006,841,500,841,667.0,1656,1663.0,1685,0.51,0.3,0.51,0.4,-0.21000000000000002,-0.10999999999999999,-341,-174.0,109200,121629,0.11,Jamaica Plain
211,2007,486,306,486,423.0,996,1001.0,1038,0.49,0.29,0.49,0.42,-0.2,-0.07,-180,-63.0,89038,112071,0.26,West Roxbury
212,2008,471,331,471,420.0,1101,1200.0,1225,0.43,0.27,0.43,0.35,-0.15999999999999998,-0.08000000000000002,-140,-51.0,80364,108026,0.34,West Roxbury
213,2009,553,379,553,466.0,1247,1332.0,1344,0.44,0.28,0.44,0.35,-0.15999999999999998,-0.09000000000000002,-174,-87.0,52944,75216,0.42,West Roxbury
214,2010,864,461,864,709.0,1828,1914.0,1943,0.47,0.24,0.47,0.37,-0.22999999999999998,-0.09999999999999998,-403,-155.0,80367,95885,0.19,Roslindale
215,2011,413,263,413,337.0,787,775.0,832,0.52,0.32,0.52,0.43,-0.2,-0.09000000000000002,-150,-76.0,89002,109888,0.23,Roslindale
216,2012,589,325,589,427.0,1022,1057.0,1063,0.58,0.31,0.58,0.4,-0.26999999999999996,-0.17999999999999994,-264,-162.0,88756,115839,0.31,West Roxbury
217,2013,482,253,482,375.0,950,966.0,1006,0.51,0.25,0.51,0.39,-0.26,-0.12,-229,-107.0,85643,105139,0.23,West Roxbury
218,2014,556,319,556,426.0,964,933.0,970,0.58,0.33,0.58,0.46,-0.24999999999999994,-0.11999999999999994,-237,-130.0,88743,101616,0.15,West Roxbury
219,2015,777,325,777,603.0,1714,1846.0,1855,0.45,0.18,0.45,0.33,-0.27,-0.12,-452,-174.0,60666,65367,0.08,West Roxbury
220,2016,878,396,878,617.0,1725,1848.0,1894,0.51,0.21,0.51,0.33,-0.30000000000000004,-0.18,-482,-261.0,76364,71418,-0.06,West Roxbury
221,2017,929,437,929,703.0,1809,1966.0,2004,0.51,0.22,0.51,0.36,-0.29000000000000004,-0.15000000000000002,-492,-226.0,89396,112138,0.25,West Roxbury
222,2018,485,238,485,375.0,945,998.0,1003,0.51,0.24,0.51,0.38,-0.27,-0.13,-247,-110.0,88756,115839,0.31,West Roxbury
223,2019,534,269,534,407.0,996,996.0,1006,0.54,0.27,0.54,0.41,-0.27,-0.13000000000000006,-265,-127.0,89574,110429,0.23,West Roxbury
224,2020,672,364,672,555.0,1640,1777.0,1835,0.41,0.2,0.41,0.31,-0.20999999999999996,-0.09999999999999998,-308,-117.0,89396,112138,0.25,West Roxbury
225,2101,205,179,205,239.0,1915,1774.0,1832,0.11,0.1,0.11,0.13,-0.009999999999999995,0.020000000000000004,-26,34.0,33346,41606,0.25,Fenway
226,2102,26,27,26,49.0,1207,1143.0,715,0.02,0.04,0.02,0.04,0.02,0.02,1,23.0,26912,48606,0.81,Allston
227,2103,128,85,128,135.0,1588,1356.0,1360,0.08,0.06,0.08,0.1,-0.020000000000000004,0.020000000000000004,-43,7.0,32522,55629,0.71,Allston
228,2104,94,121,94,134.0,1191,1044.0,1064,0.08,0.11,0.08,0.13,0.03,0.05,27,40.0,32108,52119,0.62,Allston
229,2105,148,164,148,243.0,1421,1585.0,1678,0.1,0.1,0.1,0.15,0.0,0.04999999999999999,16,95.0,38752,58035,0.5,Allston
230,2106,284,208,284,284.0,1167,1101.0,1085,0.24,0.19,0.24,0.26,-0.04999999999999999,0.020000000000000018,-76,0.0,43327,68759,0.59,Brighton
231,2107,185,174,185,253.0,1425,1491.0,1593,0.13,0.11,0.13,0.17,-0.020000000000000004,0.04000000000000001,-11,68.0,40925,57241,0.4,Brighton
232,2108,155,192,155,261.0,1664,1759.0,1800,0.09,0.11,0.09,0.15,0.020000000000000004,0.06,37,106.0,43191,64363,0.49,Allston
233,2109,233,194,233,264.0,1746,1772.0,1843,0.13,0.11,0.13,0.15,-0.020000000000000004,0.01999999999999999,-39,31.0,40237,66070,0.64,Allston
234,2110,290,225,290,319.0,1278,1487.0,1510,0.23,0.15,0.23,0.21,-0.08000000000000002,-0.020000000000000018,-65,29.0,36638,60712,0.66,Brighton
235,2111,286,228,286,298.0,1691,1715.0,1757,0.17,0.13,0.17,0.17,-0.04000000000000001,0.0,-58,12.0,36182,62478,0.73,Brighton
236,2112,412,288,412,366.0,1697,1650.0,1679,0.24,0.17,0.24,0.22,-0.06999999999999998,-0.01999999999999999,-124,-46.0,41488,68195,0.64,Brighton
237,2113,734,525,734,537.0,2103,2040.0,2075,0.35,0.25,0.35,0.26,-0.09999999999999998,-0.08999999999999997,-209,-197.0,45730,76024,0.66,Brighton
238,2114,122,109,122,157.0,916,996.0,1033,0.13,0.11,0.13,0.16,-0.020000000000000004,0.03,-13,35.0,43060,67282,0.56,Brighton
239,2115,178,166,178,213.0,1278,1235.0,1296,0.14,0.13,0.14,0.17,-0.010000000000000009,0.03,-12,35.0,43949,73729,0.68,Brighton
240,2116,409,247,409,327.0,1682,1553.0,1588,0.24,0.16,0.24,0.21,-0.07999999999999999,-0.03,-162,-82.0,50398,77920,0.55,Brighton
241,2201,451,375,451,429.0,2139,1923.0,2013,0.21,0.19,0.21,0.22,-0.01999999999999999,0.010000000000000009,-76,-22.0,39628,68858,0.74,Brighton
242,2202,411,407,411,513.0,2001,2322.0,2583,0.21,0.16,0.21,0.22,-0.04999999999999999,0.010000000000000009,-4,102.0,39628,68858,0.74,Brighton
243,2203,442,412,442,429.0,1674,1891.0,1970,0.26,0.21,0.26,0.23,-0.05000000000000002,-0.03,-30,-13.0,45078,74973,0.66,Allston
244,2204,384,350,384,347.0,1156,1232.0,1313,0.33,0.27,0.33,0.28,-0.06,-0.04999999999999999,-34,-37.0,83717,114402,0.37,Brighton
245,2205,226,180,226,213.0,953,1132.0,1243,0.24,0.14,0.24,0.19,-0.09999999999999998,-0.04999999999999999,-46,-13.0,48405,79751,0.65,Allston
246,2206,227,182,227,248.0,984,1088.0,1172,0.23,0.16,0.23,0.23,-0.07,0.0,-45,21.0,47131,74761,0.59,Allston
247,2207,355,364,355,427.0,1477,1605.0,1641,0.24,0.22,0.24,0.27,-0.01999999999999999,0.030000000000000027,9,72.0,77409,107462,0.39,Brighton
248,2208,377,242,377,295.0,1394,1282.0,1247,0.27,0.19,0.27,0.23,-0.08000000000000002,-0.04000000000000001,-135,-82.0,59954,87159,0.45,Brighton
249,2209,304,278,304,284.0,1392,1328.0,1362,0.22,0.2,0.22,0.21,-0.01999999999999999,-0.010000000000000009,-26,-20.0,47578,78010,0.64,Brighton
250,2210,470,344,470,391.0,1664,1455.0,1583,0.28,0.22,0.28,0.27,-0.060000000000000026,-0.010000000000000009,-126,-79.0,62998,92347,0.47,Brighton
251,2211,316,249,316,265.0,1079,1041.0,1068,0.29,0.23,0.29,0.25,-0.05999999999999997,-0.03999999999999998,-67,-51.0,65317,97798,0.5,Brighton
252,2212,372,282,372,284.0,1100,1200.0,1257,0.34,0.22,0.34,0.24,-0.12000000000000002,-0.10000000000000003,-90,-88.0,56667,87962,0.55,Brighton
253,2213,279,222,279,262.0,911,930.0,948,0.31,0.23,0.31,0.28,-0.07999999999999999,-0.02999999999999997,-57,-17.0,77409,107462,0.39,Brighton
