,Ward/Precinct,CC Ballots 2009,CC Ballots 2019,M Ballots 2009,M Ballots 2017,CVAP 2009,CVAP 2017,CVAP 2019,CC Voter Turnout 2009,CC Voter Turnout 2019,M Voter Turnout 2009,M Voter Turnout 2017,CC % Net Change,M % Net Change,CC Net Change,M Net Change,Neighborhood
181,1813,272,174,272,250.0,885.0,1060.0,1060.0,0.31,0.16,0.31,0.24,-0.15,-0.07,-98,-22.0,Hyde Park
182,1814,287,155,287,262.0,879.0,1131.0,1131.0,0.33,0.14,0.33,0.23,-0.19,-0.1,-132,-25.0,Roslindale
183,1815,450,267,450,413.0,1449.0,1736.0,1736.0,0.31,0.15,0.31,0.24,-0.16,-0.07,-183,-37.0,Hyde Park
184,1816,819,647,819,675.0,2190.0,2473.0,2473.0,0.37,0.26,0.37,0.27,-0.10999999999999999,-0.09999999999999998,-172,-144.0,Hyde Park
185,1817,582,363,582,510.0,1577.0,1760.0,1760.0,0.37,0.21,0.37,0.29,-0.16,-0.08000000000000002,-219,-72.0,Hyde Park
186,1818,693,405,693,620.0,2077.0,2404.0,2404.0,0.33,0.17,0.33,0.26,-0.16,-0.07,-288,-73.0,Hyde Park
187,1819,807,469,807,729.0,2119.0,2922.0,2922.0,0.38,0.16,0.38,0.25,-0.22,-0.13,-338,-78.0,West Roxbury
188,1820,952,598,952,766.0,2192.0,2466.0,2466.0,0.43,0.24,0.43,0.31,-0.19,-0.12,-354,-186.0,Hyde Park
189,1821,579,278,579,545.0,1989.0,1998.0,1998.0,0.29,0.14,0.29,0.27,-0.14999999999999997,-0.019999999999999962,-301,-34.0,Hyde Park
190,1822,766,471,766,631.0,1676.0,2208.0,2208.0,0.46,0.21,0.46,0.29,-0.25,-0.17000000000000004,-295,-135.0,Roslindale
191,1823,327,225,327,338.0,866.0,1080.0,1080.0,0.38,0.21,0.38,0.31,-0.17,-0.07,-102,11.0,Hyde Park
192,1901,454,368,454,488.0,1333.0,1336.0,1336.0,0.34,0.28,0.34,0.37,-0.06,0.02999999999999997,-86,34.0,Jamaica Plain
193,1902,823,402,823,650.0,1645.0,1949.0,1949.0,0.5,0.21,0.5,0.33,-0.29000000000000004,-0.16999999999999998,-421,-173.0,West Roxbury
194,1903,418,263,418,436.0,1301.0,1461.0,1461.0,0.32,0.18,0.32,0.3,-0.14,-0.020000000000000018,-155,18.0,Jamaica Plain
195,1904,543,451,543,634.0,1439.0,1757.0,1757.0,0.38,0.26,0.38,0.36,-0.12,-0.020000000000000018,-92,91.0,Jamaica Plain
196,1905,542,389,542,525.0,1091.0,1300.0,1300.0,0.5,0.3,0.5,0.4,-0.2,-0.09999999999999998,-153,-17.0,Jamaica Plain
197,1906,661,483,661,742.0,1626.0,1941.0,1941.0,0.41,0.25,0.41,0.38,-0.15999999999999998,-0.02999999999999997,-178,81.0,Jamaica Plain
198,1907,603,407,603,577.0,2376.0,3057.0,3057.0,0.25,0.13,0.25,0.19,-0.12,-0.06,-196,-26.0,Mattapan
199,1908,381,263,381,333.0,704.0,828.0,828.0,0.54,0.32,0.54,0.4,-0.22000000000000003,-0.14,-118,-48.0,Jamaica Plain
200,1909,345,209,345,310.0,730.0,878.0,878.0,0.47,0.24,0.47,0.35,-0.22999999999999998,-0.12,-136,-35.0,Jamaica Plain
201,1910,636,451,636,600.0,1755.0,2173.0,2173.0,0.36,0.21,0.36,0.28,-0.15,-0.07999999999999996,-185,-36.0,Roslindale
202,1911,294,263,294,389.0,996.0,1288.0,1288.0,0.3,0.2,0.3,0.3,-0.09999999999999998,0.0,-31,95.0,Jamaica Plain
203,1912,478,327,478,466.0,807.0,969.0,969.0,0.59,0.34,0.59,0.48,-0.24999999999999994,-0.10999999999999999,-151,-12.0,Roslindale
204,1913,380,241,380,329.0,969.0,1294.0,1294.0,0.39,0.19,0.39,0.25,-0.2,-0.14,-139,-51.0,Jamaica Plain
205,2001,676,404,676,553.0,1398.0,1646.0,1646.0,0.48,0.25,0.48,0.34,-0.22999999999999998,-0.13999999999999996,-272,-123.0,Jamaica Plain
206,2002,646,426,646,566.0,1484.0,1911.0,1911.0,0.44,0.22,0.44,0.3,-0.22,-0.14,-220,-80.0,Roslindale
207,2003,669,262,669,500.0,2163.0,2626.0,2626.0,0.31,0.1,0.31,0.19,-0.21,-0.12,-407,-169.0,Hyde Park
208,2004,560,451,560,546.0,1301.0,1535.0,1535.0,0.43,0.29,0.43,0.36,-0.14,-0.07,-109,-14.0,Jamaica Plain
209,2005,757,384,757,587.0,2725.0,2714.0,2714.0,0.28,0.14,0.28,0.22,-0.14,-0.060000000000000026,-373,-170.0,West Roxbury
210,2006,841,500,841,667.0,1819.0,1941.0,1941.0,0.46,0.26,0.46,0.34,-0.2,-0.12,-341,-174.0,Jamaica Plain
211,2007,486,306,486,423.0,1072.0,1215.0,1215.0,0.45,0.25,0.45,0.35,-0.2,-0.10000000000000003,-180,-63.0,West Roxbury
212,2008,471,331,471,420.0,1173.0,1295.0,1295.0,0.4,0.26,0.4,0.32,-0.14,-0.08000000000000002,-140,-51.0,West Roxbury
213,2009,553,379,553,466.0,1484.0,1738.0,1738.0,0.37,0.22,0.37,0.27,-0.15,-0.09999999999999998,-174,-87.0,West Roxbury
214,2010,864,461,864,709.0,1778.0,1825.0,1825.0,0.49,0.25,0.49,0.39,-0.24,-0.09999999999999998,-403,-155.0,Roslindale
215,2011,413,263,413,337.0,727.0,728.0,728.0,0.57,0.36,0.57,0.46,-0.20999999999999996,-0.10999999999999993,-150,-76.0,Roslindale
216,2012,589,325,589,427.0,1171.0,1246.0,1246.0,0.5,0.26,0.5,0.34,-0.24,-0.15999999999999998,-264,-162.0,West Roxbury
217,2013,482,253,482,375.0,624.0,693.0,693.0,0.77,0.37,0.77,0.54,-0.4,-0.22999999999999998,-229,-107.0,West Roxbury
218,2014,556,319,556,426.0,1024.0,1023.0,1023.0,0.54,0.31,0.54,0.42,-0.23000000000000004,-0.12000000000000005,-237,-130.0,West Roxbury
219,2015,777,325,777,603.0,1492.0,1629.0,1629.0,0.52,0.2,0.52,0.37,-0.32,-0.15000000000000002,-452,-174.0,West Roxbury
220,2016,878,396,878,617.0,1512.0,1403.0,1403.0,0.58,0.28,0.58,0.44,-0.29999999999999993,-0.13999999999999996,-482,-261.0,West Roxbury
221,2017,929,437,929,703.0,2762.0,3681.0,3681.0,0.34,0.12,0.34,0.19,-0.22000000000000003,-0.15000000000000002,-492,-226.0,West Roxbury
222,2018,485,238,485,375.0,963.0,1024.0,1024.0,0.5,0.23,0.5,0.37,-0.27,-0.13,-247,-110.0,West Roxbury
223,2019,534,269,534,407.0,670.0,730.0,730.0,0.8,0.37,0.8,0.56,-0.43000000000000005,-0.24,-265,-127.0,West Roxbury
224,2020,672,364,672,555.0,1070.0,1380.0,1380.0,0.63,0.26,0.63,0.4,-0.37,-0.22999999999999998,-308,-117.0,West Roxbury
225,2101,205,179,205,239.0,2599.0,3059.0,3059.0,0.08,0.06,0.08,0.08,-0.020000000000000004,0.0,-26,34.0,Fenway
226,2102,26,27,26,49.0,3616.0,3272.0,3272.0,0.01,0.01,0.01,0.01,0.0,0.0,1,23.0,Allston
227,2103,128,85,128,135.0,2482.0,1725.0,1725.0,0.05,0.05,0.05,0.08,0.0,0.03,-43,7.0,Allston
228,2104,94,121,94,134.0,1351.0,1177.0,1177.0,0.07,0.1,0.07,0.11,0.03,0.039999999999999994,27,40.0,Allston
229,2105,148,164,148,243.0,2417.0,1881.0,1881.0,0.06,0.09,0.06,0.13,0.03,0.07,16,95.0,Allston
230,2106,284,208,284,284.0,1481.0,1566.0,1566.0,0.19,0.13,0.19,0.18,-0.06,-0.010000000000000009,-76,0.0,Brighton
231,2107,185,174,185,253.0,1685.0,1551.0,1551.0,0.11,0.11,0.11,0.16,0.0,0.05,-11,68.0,Brighton
232,2108,155,192,155,261.0,1994.0,2059.0,2059.0,0.08,0.09,0.08,0.13,0.009999999999999995,0.05,37,106.0,Allston
233,2109,233,194,233,264.0,3010.0,2959.0,2959.0,0.08,0.07,0.08,0.09,-0.009999999999999995,0.009999999999999995,-39,31.0,Allston
234,2110,290,225,290,319.0,1381.0,1404.0,1404.0,0.21,0.16,0.21,0.23,-0.04999999999999999,0.020000000000000018,-65,29.0,Brighton
235,2111,286,228,286,298.0,1937.0,2094.0,2094.0,0.15,0.11,0.15,0.14,-0.039999999999999994,-0.009999999999999981,-58,12.0,Brighton
236,2112,412,288,412,366.0,1832.0,1871.0,1871.0,0.22,0.15,0.22,0.2,-0.07,-0.01999999999999999,-124,-46.0,Brighton
237,2113,734,525,734,537.0,2526.0,2639.0,2639.0,0.29,0.2,0.29,0.2,-0.08999999999999997,-0.08999999999999997,-209,-197.0,Brighton
238,2114,122,109,122,157.0,927.0,964.0,964.0,0.13,0.11,0.13,0.16,-0.020000000000000004,0.03,-13,35.0,Brighton
239,2115,178,166,178,213.0,855.0,861.0,861.0,0.21,0.19,0.21,0.25,-0.01999999999999999,0.04000000000000001,-12,35.0,Brighton
240,2116,409,247,409,327.0,4119.0,4774.0,4774.0,0.1,0.05,0.1,0.07,-0.05,-0.03,-162,-82.0,Brighton
241,2201,451,375,451,429.0,5714.0,6618.0,6618.0,0.08,0.06,0.08,0.06,-0.020000000000000004,-0.020000000000000004,-76,-22.0,Brighton
242,2202,411,407,411,513.0,2094.0,2187.0,2187.0,0.2,0.19,0.2,0.23,-0.010000000000000009,0.03,-4,102.0,Brighton
243,2203,442,412,442,429.0,2089.0,2444.0,2444.0,0.21,0.17,0.21,0.18,-0.03999999999999998,-0.03,-30,-13.0,Allston
244,2204,384,350,384,347.0,1109.0,1342.0,1342.0,0.35,0.26,0.35,0.26,-0.08999999999999997,-0.08999999999999997,-34,-37.0,Brighton
245,2205,226,180,226,213.0,1004.0,1631.0,1631.0,0.23,0.11,0.23,0.13,-0.12000000000000001,-0.1,-46,-13.0,Allston
246,2206,227,182,227,248.0,882.0,1078.0,1078.0,0.26,0.17,0.26,0.23,-0.09,-0.03,-45,21.0,Allston
247,2207,355,364,355,427.0,1493.0,1760.0,1760.0,0.24,0.21,0.24,0.24,-0.03,0.0,9,72.0,Brighton
248,2208,377,242,377,295.0,2253.0,2427.0,2427.0,0.17,0.1,0.17,0.12,-0.07,-0.05000000000000002,-135,-82.0,Brighton
249,2209,304,278,304,284.0,1190.0,1185.0,1185.0,0.26,0.23,0.26,0.24,-0.03,-0.020000000000000018,-26,-20.0,Brighton
250,2210,470,344,470,391.0,1655.0,1904.0,1904.0,0.28,0.18,0.28,0.21,-0.10000000000000003,-0.07000000000000003,-126,-79.0,Brighton
251,2211,316,249,316,265.0,1730.0,2046.0,2046.0,0.18,0.12,0.18,0.13,-0.06,-0.04999999999999999,-67,-51.0,Brighton
252,2212,372,282,372,284.0,1604.0,2052.0,2052.0,0.23,0.14,0.23,0.14,-0.09,-0.09,-90,-88.0,Brighton
253,2213,279,222,279,262.0,958.0,1182.0,1182.0,0.29,0.19,0.29,0.22,-0.09999999999999998,-0.06999999999999998,-57,-17.0,Brighton
