,Ward/Precinct,CC Ballots 2009,CC Ballots 2019,M Ballots 2009,M Ballots 2017,CVAP 2009,CVAP 2017,CVAP 2019,CC Voter Turnout 2009,CC Voter Turnout 2019,M Voter Turnout 2009,M Voter Turnout 2017,CC % Net Change,M % Net Change,CC Net Change,M Net Change,Neighborhood
106,1206,247,164,247,305.0,900.0,1087.0,1087.0,0.27,0.15,0.27,0.28,-0.12000000000000002,0.010000000000000009,-83,58.0,Dorchester
107,1207,600,333,600,637.0,2504.0,3036.0,3036.0,0.24,0.11,0.24,0.21,-0.13,-0.03,-267,37.0,Mattapan
108,1208,186,105,186,193.0,759.0,972.0,972.0,0.25,0.11,0.25,0.2,-0.14,-0.04999999999999999,-81,7.0,Roxbury
109,1209,296,169,296,304.0,1080.0,1341.0,1341.0,0.27,0.13,0.27,0.23,-0.14,-0.04000000000000001,-127,8.0,Roxbury
110,1301,388,199,388,397.0,1108.0,1429.0,1429.0,0.35,0.14,0.35,0.28,-0.20999999999999996,-0.06999999999999995,-189,9.0,Dorchester
111,1302,114,64,114,130.0,487.0,648.0,648.0,0.23,0.1,0.23,0.2,-0.13,-0.03,-50,16.0,Dorchester
112,1303,287,139,287,246.0,1349.0,1413.0,1413.0,0.21,0.1,0.21,0.17,-0.10999999999999999,-0.03999999999999998,-148,-41.0,South Boston
113,1304,242,135,242,240.0,1032.0,1455.0,1455.0,0.23,0.09,0.23,0.16,-0.14,-0.07,-107,-2.0,Roxbury
114,1305,250,136,250,266.0,967.0,1277.0,1277.0,0.26,0.11,0.26,0.21,-0.15000000000000002,-0.05000000000000002,-114,16.0,Dorchester
115,1306,399,211,399,408.0,1142.0,1352.0,1352.0,0.35,0.16,0.35,0.3,-0.18999999999999997,-0.04999999999999999,-188,9.0,Dorchester
116,1307,421,237,421,475.0,776.0,1022.0,1022.0,0.54,0.23,0.54,0.46,-0.31000000000000005,-0.08000000000000002,-184,54.0,Dorchester
117,1308,347,201,347,382.0,1057.0,1462.0,1462.0,0.33,0.14,0.33,0.26,-0.19,-0.07,-146,35.0,Dorchester
118,1309,411,210,411,403.0,1229.0,1587.0,1587.0,0.33,0.13,0.33,0.25,-0.2,-0.08000000000000002,-201,-8.0,Dorchester
119,1310,755,477,755,769.0,1524.0,1784.0,1784.0,0.5,0.27,0.5,0.43,-0.22999999999999998,-0.07,-278,14.0,Dorchester
120,1401,435,238,435,449.0,2482.0,2699.0,2699.0,0.18,0.09,0.18,0.17,-0.09,-0.009999999999999981,-197,14.0,Roxbury
121,1402,577,294,577,592.0,2324.0,2850.0,2850.0,0.25,0.1,0.25,0.21,-0.15,-0.04000000000000001,-283,15.0,Dorchester
122,1403,307,130,307,280.0,1197.0,1249.0,1249.0,0.26,0.1,0.26,0.22,-0.16,-0.04000000000000001,-177,-27.0,Dorchester
