,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
221,0103,1941.0,1101.0,10.0,96.0,68.0,129.0,258.0,244.0,64.0,20.0,3.0,1.0,838.0,37.0,67.0,52.0,101.0,142.0,136.0,51.0,13.0,15.0,1.0
222,0106,2633.0,1441.0,59.0,126.0,180.0,202.0,303.0,127.0,117.0,22.0,1.0,0.0,1190.0,21.0,74.0,70.0,128.0,193.0,174.0,59.0,31.0,7.0,0.0
223,0109,1253.0,737.0,9.0,107.0,56.0,100.0,139.0,124.0,52.0,4.0,0.0,0.0,517.0,18.0,74.0,52.0,71.0,87.0,50.0,31.0,3.0,0.0,0.0
224,0107,2387.0,1230.0,55.0,113.0,129.0,179.0,256.0,115.0,85.0,16.0,1.0,4.0,1156.0,26.0,85.0,90.0,132.0,174.0,163.0,49.0,36.0,6.0,1.0
225,0101,467.0,218.0,0.0,0.0,30.0,27.0,41.0,23.0,14.0,0.0,0.0,0.0,249.0,18.0,14.0,46.0,13.0,48.0,4.0,8.0,14.0,12.0,0.0
226,0114,554.0,308.0,7.0,54.0,29.0,29.0,53.0,27.0,23.0,17.0,0.0,0.0,246.0,5.0,18.0,4.0,15.0,43.0,62.0,30.0,6.0,8.0,0.0
227,0112,931.0,517.0,14.0,92.0,46.0,50.0,93.0,45.0,39.0,29.0,0.0,0.0,415.0,8.0,31.0,4.0,26.0,74.0,104.0,55.0,7.0,16.0,0.0
228,0511,97.0,49.0,0.0,3.0,20.0,5.0,10.0,4.0,0.0,0.0,0.0,0.0,49.0,0.0,9.0,4.0,8.0,13.0,0.0,0.0,0.0,10.0,0.0
229,0505,10.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,0110,1889.0,1070.0,30.0,119.0,114.0,147.0,216.0,129.0,82.0,11.0,0.0,0.0,819.0,19.0,75.0,59.0,97.0,137.0,105.0,44.0,15.0,2.0,0.0
231,0111,814.0,465.0,7.0,71.0,63.0,31.0,60.0,52.0,27.0,8.0,0.0,0.0,349.0,18.0,20.0,22.0,19.0,50.0,93.0,8.0,30.0,0.0,0.0
