,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
114,1413,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
115,1412,16.0,9.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0
116,1410,45.0,29.0,0.0,3.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0
117,1405,16.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
118,1414,6.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,1601,482.0,229.0,7.0,7.0,34.0,13.0,46.0,44.0,19.0,33.0,0.0,0.0,252.0,2.0,3.0,11.0,34.0,30.0,44.0,36.0,16.0,0.0,4.0
120,1701,67.0,37.0,2.0,1.0,0.0,1.0,4.0,14.0,1.0,2.0,6.0,0.0,30.0,2.0,1.0,3.0,0.0,6.0,9.0,0.0,4.0,0.0,1.0
121,1702,173.0,94.0,6.0,0.0,0.0,4.0,13.0,37.0,3.0,5.0,17.0,0.0,79.0,6.0,2.0,9.0,0.0,19.0,20.0,0.0,6.0,0.0,4.0
122,1607,361.0,161.0,4.0,3.0,0.0,2.0,20.0,43.0,21.0,10.0,21.0,0.0,199.0,9.0,4.0,4.0,17.0,19.0,30.0,20.0,27.0,0.0,0.0
123,1605,585.0,283.0,3.0,2.0,39.0,16.0,60.0,51.0,35.0,36.0,5.0,0.0,303.0,2.0,5.0,5.0,56.0,26.0,65.0,41.0,27.0,0.0,0.0
124,1603,204.0,93.0,2.0,5.0,14.0,10.0,5.0,16.0,13.0,20.0,0.0,0.0,110.0,6.0,6.0,4.0,22.0,22.0,3.0,19.0,1.0,0.0,2.0
125,1609,60.0,27.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,3.0,9.0,0.0,33.0,0.0,2.0,5.0,0.0,0.0,4.0,0.0,9.0,6.0,0.0
126,1706,280.0,125.0,7.0,10.0,17.0,8.0,14.0,28.0,5.0,22.0,0.0,0.0,154.0,6.0,4.0,13.0,8.0,30.0,11.0,23.0,4.0,0.0,6.0
127,1709,160.0,73.0,0.0,2.0,10.0,11.0,3.0,9.0,12.0,13.0,0.0,0.0,86.0,5.0,5.0,0.0,28.0,17.0,1.0,13.0,1.0,0.0,0.0
128,1711,81.0,36.0,0.0,0.0,0.0,5.0,7.0,3.0,0.0,0.0,1.0,0.0,45.0,0.0,0.0,0.0,15.0,8.0,2.0,1.0,3.0,1.0,0.0
129,1604,341.0,161.0,2.0,2.0,17.0,8.0,31.0,32.0,21.0,18.0,8.0,0.0,179.0,3.0,3.0,3.0,29.0,15.0,36.0,23.0,19.0,0.0,0.0
130,1606,262.0,115.0,3.0,2.0,1.0,7.0,12.0,29.0,14.0,10.0,14.0,0.0,146.0,6.0,3.0,6.0,13.0,12.0,19.0,16.0,22.0,1.0,0.0
131,1608,96.0,37.0,0.0,0.0,2.0,18.0,0.0,2.0,0.0,10.0,0.0,0.0,59.0,0.0,2.0,13.0,7.0,0.0,0.0,9.0,13.0,3.0,0.0
132,1611,216.0,85.0,0.0,1.0,5.0,41.0,0.0,5.0,0.0,22.0,2.0,0.0,131.0,0.0,3.0,28.0,15.0,0.0,1.0,18.0,30.0,7.0,0.0
133,1705,97.0,46.0,0.0,1.0,7.0,7.0,0.0,6.0,9.0,10.0,0.0,0.0,52.0,4.0,4.0,1.0,15.0,10.0,2.0,9.0,1.0,0.0,0.0
134,1708,222.0,103.0,0.0,3.0,15.0,16.0,3.0,12.0,18.0,20.0,0.0,0.0,120.0,8.0,8.0,0.0,38.0,24.0,1.0,19.0,1.0,0.0,0.0
135,1707,46.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,30.0,0.0,7.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
136,1710,117.0,47.0,0.0,0.0,3.0,4.0,6.0,2.0,11.0,0.0,1.0,0.0,70.0,0.0,8.0,14.0,12.0,6.0,14.0,1.0,2.0,1.0,0.0
137,1712,86.0,36.0,0.0,1.0,3.0,3.0,8.0,2.0,7.0,0.0,0.0,0.0,49.0,0.0,4.0,6.0,10.0,6.0,7.0,3.0,1.0,2.0,0.0
138,1704,318.0,140.0,0.0,1.0,2.0,17.0,31.0,9.0,4.0,0.0,4.0,0.0,178.0,0.0,1.0,2.0,54.0,29.0,8.0,6.0,10.0,7.0,0.0
139,1802,50.0,17.0,0.0,0.0,5.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,34.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
140,1821,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
141,1807,42.0,14.0,0.0,1.0,3.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,2.0,7.0,16.0,3.0,1.0,0.0,0.0,0.0
142,1808,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,9.0,0.0,0.0
