WP,Ward,Precinct,,MARTIN J KEOGH,"JACK F KELLY, III",ANNISSA ESSAIBI GEORGE,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,MICHELLE WU,STEPHEN J MURPHY,JEFFREY MICHAEL ROSS,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities  (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,White plurality (Y/N),Black plurality (Y/N),Hispanic plurality (Y/N),Asian plurality (Y/N),Year
1105,1105,1105,95,60,48,87,138,280,264,113,100,1,1091,1001,523,1424,1825,711,596,15,26,0,377,100,1825,440,505,803,7,26,0,11,33,32.65753425,0.821917808,1.424657534,0,20.65753425,5.479452055,44,38.95890411,N,N,Y,N,2013
1106,1106,1106,96,72,35,120,117,258,306,113,131,7,1159,757,479,1127,1257,777,176,3,62,0,163,76,1257,646,127,399,1,61,0,7,16,14.00159109,0.238663484,4.932378679,0,12.96738266,6.046141607,31.74224344,61.81384248,Y,N,N,N,2013
1107,1107,1107,97,73,63,170,217,436,417,153,205,9,1743,993,684,1584,1955,1096,464,12,51,0,255,77,1955,938,424,487,3,51,0,10,42,23.73401535,0.613810742,2.608695652,0,13.04347826,3.938618926,24.91048593,56.06138107,Y,N,N,N,2013
1108,1108,1108,98,97,57,167,216,372,370,150,194,6,1629,807,609,1550,1733,1185,223,10,153,1,106,55,1733,1081,196,253,3,153,1,13,33,12.8678592,0.577034045,8.828620889,0.057703405,6.116560877,3.173687248,14.59896134,68.37853433,Y,N,N,N,2013
1109,1109,1109,99,64,53,149,99,307,323,112,163,4,1274,650,481,936,997,844,63,1,41,0,23,25,997,790,48,99,0,40,0,3,17,6.318956871,0.100300903,4.112337011,0,2.306920762,2.507522568,9.929789368,84.65396189,Y,N,N,N,2013
1110,1110,1110,100,98,35,149,137,339,344,106,189,3,1400,788,547,1374,1462,1096,145,2,69,0,110,40,1462,998,122,238,1,68,0,13,22,9.917920657,0.136798906,4.719562244,0,7.523939808,2.735978112,16.27906977,74.96580027,Y,N,N,N,2013
1201,1201,1201,101,44,43,115,160,432,279,150,117,30,1370,862,558,1602,1812,137,1380,11,33,0,166,85,1812,74,1328,307,10,32,0,12,49,76.1589404,0.607064018,1.821192053,0,9.161147903,4.690949227,16.94260486,7.560706402,N,Y,N,N,2013
1202,1202,1202,102,35,19,116,191,522,313,138,133,30,1497,1535,758,2126,2361,171,1767,17,17,1,288,100,2361,39,1664,529,9,17,1,45,57,74.841169,0.720033884,0.720033884,0.042354934,12.19822109,4.235493435,22.40576027,7.242693774,N,Y,N,N,2013
1203,1203,1203,103,25,14,76,88,257,158,86,68,18,790,782,393,1039,794,55,604,4,24,1,75,31,794,20,564,151,1,24,1,11,22,76.07052897,0.503778338,3.022670025,0.125944584,9.445843829,3.904282116,19.01763224,6.926952141,N,Y,N,N,2013
1204,1204,1204,104,33,16,61,78,237,141,77,90,15,748,640,347,1082,1235,100,884,6,3,2,178,62,1235,47,826,274,5,3,2,30,48,71.57894737,0.48582996,0.24291498,0.16194332,14.41295547,5.020242915,22.18623482,8.097165992,N,Y,N,N,2013
1205,1205,1205,105,21,12,48,57,187,102,64,58,5,554,666,305,784,860,48,684,10,2,0,86,30,860,15,655,151,6,1,0,12,20,79.53488372,1.162790698,0.23255814,0,10,3.488372093,17.55813953,5.581395349,N,Y,N,N,2013
1206,1206,1206,106,20,9,43,97,214,129,68,43,13,636,612,312,817,858,41,693,6,9,0,65,44,858,21,659,134,5,9,0,10,20,80.76923077,0.699300699,1.048951049,0,7.575757576,5.128205128,15.61771562,4.778554779,N,Y,N,N,2013
1207,1207,1207,107,65,53,110,204,492,273,169,126,23,1515,1689,801,2455,3079,386,2016,22,19,0,507,129,3079,186,1876,914,15,18,0,12,58,65.47580383,0.714517701,0.617083469,0,16.46638519,4.189671971,29.68496265,12.53653784,N,Y,N,N,2013
1208,1208,1208,108,14,8,48,58,157,74,50,36,15,460,484,236,780,950,82,668,8,3,0,146,43,950,33,630,244,8,3,0,10,22,70.31578947,0.842105263,0.315789474,0,15.36842105,4.526315789,25.68421053,8.631578947,N,Y,N,N,2013
1209,1209,1209,109,26,22,89,92,263,170,83,82,18,845,623,367,953,1116,95,802,7,15,1,134,62,1116,23,764,268,4,15,1,9,32,71.86379928,0.627240143,1.344086022,0.089605735,12.00716846,5.555555556,24.01433692,8.512544803,N,Y,N,N,2013
1301,1301,1301,110,95,61,111,178,308,197,159,110,17,1236,680,479,1357,1573,134,955,11,12,0,345,116,1573,41,851,458,8,11,0,130,74,60.71201526,0.699300699,0.76287349,0,21.93261284,7.374443738,29.11633821,8.518753973,N,Y,N,N,2013
1302,1302,1302,111,31,10,36,56,112,66,43,45,8,407,269,169,607,673,82,389,19,10,1,114,58,673,14,351,232,2,8,0,28,38,57.80089153,2.823179792,1.485884101,0.14858841,16.93907875,8.618127786,34.47251114,12.18424963,N,Y,N,N,2013
1303,1303,1303,112,45,34,75,118,123,101,80,46,3,625,639,316,1347,3145,1502,573,16,681,5,279,89,3145,1293,515,547,7,681,5,41,56,18.21939587,0.508744038,21.65341812,0.158982512,8.871224165,2.829888712,17.3926868,47.75834658,Y,N,N,N,2013
1304,1304,1304,113,21,26,67,72,194,129,68,43,5,625,551,294,1005,1261,188,717,8,10,0,238,100,1261,82,668,370,5,10,0,62,64,56.85963521,0.634417129,0.793021412,0,18.8739096,7.930214116,29.34179223,14.90880254,N,Y,N,N,2013
1305,1305,1305,114,33,58,74,81,163,95,59,42,3,608,736,336,889,1352,334,529,5,11,2,346,125,1352,263,483,284,1,11,2,206,102,39.12721893,0.369822485,0.813609467,0.147928994,25.59171598,9.24556213,21.00591716,24.70414201,N,Y,N,N,2013
1306,1306,1306,115,99,77,269,176,231,214,125,75,4,1270,966,559,1396,1615,587,458,7,125,3,334,101,1615,517,420,272,4,125,3,196,78,28.35913313,0.433436533,7.73993808,0.185758514,20.68111455,6.253869969,16.84210526,36.34674923,Y,N,N,N,2013
1307,1307,1307,116,118,117,281,278,202,182,197,94,8,1477,907,596,1382,1775,1010,199,1,431,0,79,55,1775,956,189,131,1,431,0,19,48,11.21126761,0.056338028,24.28169014,0,4.450704225,3.098591549,7.38028169,56.90140845,Y,N,N,N,2013
1308,1308,1308,117,77,80,304,196,188,144,178,58,11,1236,800,509,1199,1511,770,187,3,368,4,113,66,1511,719,172,146,3,366,0,49,56,12.37590999,0.198544011,24.35473197,0.264725347,7.478491066,4.367968233,9.662475182,50.95962938,Y,N,N,N,2013
1309,1309,1309,118,96,95,230,255,267,218,183,105,6,1455,897,588,1304,1683,742,249,7,429,5,185,66,1683,692,228,170,6,428,0,103,56,14.79500891,0.415923945,25.49019608,0.297088532,10.9922757,3.921568627,10.1010101,44.08793821,Y,N,N,N,2013
1310,1310,1310,119,160,469,523,424,367,321,288,118,6,2676,1244,980,1650,1946,1510,122,0,218,2,46,48,1946,1466,116,95,0,218,2,10,39,6.269270298,0,11.2024666,0.102774923,2.363823227,2.46659815,4.881808839,77.5950668,Y,N,N,N,2013
1401,1401,1401,120,52,36,128,182,361,274,140,88,21,1282,1190,618,2329,2866,279,1824,19,37,5,557,145,2866,48,1688,920,9,35,1,93,72,63.64270761,0.662944871,1.290997906,0.174459177,19.43475227,5.05931612,32.10048849,9.734822052,N,Y,N,N,2013
1402,1402,1402,121,60,30,113,219,453,217,167,84,6,1349,1463,703,2391,2695,142,2164,17,10,0,235,127,2695,42,2041,450,11,10,0,62,79,80.29684601,0.630797774,0.371057514,0,8.719851577,4.712430427,16.69758813,5.269016698,N,Y,N,N,2013
1403,1403,1403,122,41,23,75,100,218,154,110,51,8,780,580,340,1228,1549,75,1077,23,18,1,277,78,1549,20,987,459,17,18,1,11,36,69.52872821,1.484828922,1.162040026,0.064557779,17.88250484,5.035506779,29.63202066,4.841833441,N,Y,N,N,2013
1404,1404,1404,123,32,33,73,109,242,171,86,60,7,813,767,395,1404,1654,124,1230,10,15,0,203,72,1654,49,1146,353,8,15,0,39,44,74.36517533,0.604594921,0.906892382,0,12.2732769,4.353083434,21.34220073,7.496977025,N,Y,N,N,2013
1405,1405,1405,124,33,15,55,96,219,108,95,33,8,662,670,333,1063,1439,36,1278,5,11,1,70,38,1439,9,1231,155,2,11,1,2,28,88.81167477,0.347463516,0.764419736,0.069492703,4.864489229,2.640722724,10.77136901,2.501737318,N,Y,N,N,2013
1406,1406,1406,125,33,25,56,114,211,101,85,45,4,674,622,324,1018,1174,75,947,4,6,1,89,52,1174,41,878,211,2,6,0,11,25,80.66439523,0.340715503,0.511073254,0.085178876,7.580919932,4.429301533,17.97274276,6.388415673,N,Y,N,N,2013
1407,1407,1407,126,25,16,57,122,218,125,87,43,9,702,658,340,1186,1388,94,1085,7,10,0,126,66,1388,20,1016,286,7,7,0,11,41,78.17002882,0.504322767,0.720461095,0,9.077809798,4.755043228,20.60518732,6.772334294,N,Y,N,N,2013
1408,1408,1408,127,40,22,59,135,265,137,119,62,9,848,888,434,1091,1494,147,1206,2,12,1,84,42,1494,93,1162,190,2,11,0,5,31,80.72289157,0.133868809,0.803212851,0.066934404,5.62248996,2.81124498,12.71753681,9.83935743,N,Y,N,N,2013
1409,1409,1409,128,40,21,38,84,191,88,68,46,1,577,739,329,1333,1384,102,931,12,17,0,242,80,1384,13,844,459,5,17,0,19,27,67.26878613,0.867052023,1.228323699,0,17.48554913,5.780346821,33.16473988,7.369942197,N,Y,N,N,2013
1410,1410,1410,129,45,23,63,134,224,143,115,66,6,819,837,414,1264,1937,205,1254,12,17,3,350,96,1937,26,1131,661,9,16,3,36,55,64.73928756,0.619514713,0.877645844,0.154878678,18.06917914,4.956117708,34.12493547,10.58337636,N,Y,N,N,2013
1411,1411,1411,130,38,21,49,87,179,74,81,35,2,566,550,279,970,1307,42,1065,3,10,0,121,66,1307,20,992,224,2,10,0,20,39,81.48431523,0.229533282,0.765110941,0,9.257842387,5.049732211,17.13848508,3.213465953,N,Y,N,N,2013
1412,1412,1412,131,16,16,44,73,156,66,52,20,1,444,556,250,722,809,28,680,1,9,0,74,17,809,3,646,121,1,9,0,25,4,84.05438813,0.123609394,1.112484549,0,9.147095179,2.101359703,14.95673671,3.461063041,N,Y,N,N,2013
1413,1413,1413,132,38,13,47,97,198,115,89,43,4,644,668,328,988,1206,38,1024,6,11,0,73,54,1206,18,973,149,1,11,0,17,37,84.90878939,0.497512438,0.912106136,0,6.053067993,4.47761194,12.35489221,3.150912106,N,Y,N,N,2013
1414,1414,1414,133,35,26,60,105,218,112,87,51,4,698,934,408,1138,1350,10,1203,3,5,0,86,43,1350,5,1127,179,2,5,0,3,29,89.11111111,0.222222222,0.37037037,0,6.37037037,3.185185185,13.25925926,0.740740741,N,Y,N,N,2013
1501,1501,1501,134,41,21,100,127,209,145,90,43,12,788,892,420,1525,1938,266,969,9,44,0,507,143,1938,130,874,554,7,44,0,223,106,50,0.464396285,2.270381837,0,26.16099071,7.37874097,28.58617131,13.7254902,N,Y,N,N,2013
1502,1502,1502,135,35,29,63,99,167,89,66,45,5,598,670,317,1013,1270,74,787,5,8,0,297,99,1270,34,749,206,3,8,0,176,94,61.96850394,0.393700787,0.62992126,0,23.38582677,7.795275591,16.22047244,5.826771654,N,Y,N,N,2013
1503,1503,1503,136,23,21,47,81,91,76,54,40,3,436,380,204,651,875,75,418,3,31,0,260,88,875,56,383,164,3,28,0,163,78,47.77142857,0.342857143,3.542857143,0,29.71428571,10.05714286,18.74285714,8.571428571,N,Y,N,N,2013
1504,1504,1504,137,84,65,121,225,293,220,140,86,13,1247,1169,604,1853,2477,366,912,2,389,1,562,245,2477,262,855,397,2,389,0,366,206,36.81873234,0.080742834,15.70448123,0.040371417,22.68873637,9.890997174,16.02745256,14.77593864,N,Y,N,N,2013
1505,1505,1505,138,42,26,69,101,183,113,88,35,4,661,763,356,1208,1661,214,964,13,92,0,261,117,1661,72,878,422,7,92,0,115,75,58.03732691,0.782661048,5.538832029,0,15.71342565,7.043949428,25.4063817,12.88380494,N,Y,N,N,2013
1506,1506,1506,139,71,64,114,164,97,96,107,35,2,750,574,331,766,1038,329,154,1,459,0,57,38,1038,313,144,75,1,459,0,11,35,14.83622351,0.096339114,44.21965318,0,5.49132948,3.66088632,7.225433526,31.6955684,N,N,N,Y,2013
1507,1507,1507,140,30,18,88,121,179,142,75,55,1,709,587,324,1009,1305,165,660,3,22,0,329,126,1305,126,608,222,1,21,0,228,99,50.57471264,0.229885057,1.685823755,0,25.21072797,9.655172414,17.01149425,12.64367816,N,Y,N,N,2013
1508,1508,1508,141,65,41,83,155,137,118,89,54,4,746,546,323,984,1319,208,562,6,302,2,169,70,1319,133,531,236,6,300,2,56,55,42.60803639,0.454890068,22.89613343,0.151630023,12.81273692,5.307050796,17.89234268,15.76952237,N,Y,N,N,2013
1509,1509,1509,142,69,69,99,174,202,177,116,72,10,988,652,410,1080,1362,266,472,5,353,1,200,65,1362,239,457,181,3,351,0,90,41,34.65491924,0.367107195,25.91776799,0.073421439,14.68428781,4.772393539,13.28928047,19.53010279,N,Y,N,N,2013
1601,1601,1601,143,82,62,130,160,165,149,130,53,4,935,581,379,1096,1581,388,444,5,566,0,125,53,1581,327,419,192,4,561,0,35,43,28.08349146,0.316255534,35.8001265,0,7.906388362,3.352308665,12.14421252,24.54142948,N,N,N,Y,2013
1602,1602,1602,144,104,119,117,188,137,101,123,39,3,931,653,396,796,961,580,123,2,187,0,49,20,961,546,115,76,1,187,0,24,12,12.79916753,0.208116545,19.45889698,0,5.098855359,2.081165453,7.90842872,60.35379813,Y,N,N,N,2013
1603,1603,1603,145,90,89,167,187,266,193,133,64,4,1193,847,510,1366,1745,341,736,5,475,0,109,79,1745,313,709,122,2,475,0,58,66,42.17765043,0.286532951,27.22063037,0,6.246418338,4.52722063,6.991404011,19.54154728,N,Y,N,N,2013
1604,1604,1604,146,93,79,161,219,228,165,179,65,5,1194,814,502,1259,2177,685,688,9,481,0,211,103,2177,624,657,210,5,477,0,120,84,31.60312356,0.413412954,22.09462563,0,9.692237023,4.73128158,9.646302251,31.46531925,N,Y,N,N,2013
1605,1605,1605,147,217,131,210,306,242,171,249,64,5,1595,1001,649,1389,1213,723,186,4,178,0,85,37,1213,688,167,126,2,178,0,24,28,15.33388293,0.329760923,14.67436109,0,7.007419621,3.050288541,10.38746908,59.60428689,Y,N,N,N,2013
1606,1606,1606,148,118,76,260,248,397,246,180,96,14,1635,1161,699,1779,2277,580,881,4,577,1,146,88,2277,502,816,260,3,577,1,57,61,38.69126043,0.175669741,25.34036012,0.043917435,6.411945542,3.8647343,11.41853316,25.47211243,N,Y,N,N,2013
1607,1607,1607,149,217,220,346,451,230,155,282,65,3,1969,1063,758,1226,1361,1032,184,3,93,2,36,11,1361,1006,170,61,2,91,2,19,10,13.51947098,0.220426157,6.833210874,0.146950771,2.645113887,0.808229243,4.48199853,75.82659809,Y,N,N,N,2013
1608,1608,1608,150,200,199,274,350,336,257,256,102,7,1981,1099,770,1347,1548,922,358,7,162,0,42,57,1548,901,331,93,7,161,0,10,45,23.12661499,0.452196382,10.46511628,0,2.713178295,3.682170543,6.007751938,59.56072351,Y,N,N,N,2013
1609,1609,1609,151,372,338,420,597,250,168,385,64,0,2594,1246,960,1432,1655,1514,55,3,51,0,15,17,1655,1490,54,45,0,51,0,2,13,3.32326284,0.181268882,3.081570997,0,0.906344411,1.027190332,2.719033233,91.48036254,Y,N,N,N,2013
1610,1610,1610,152,205,190,297,423,207,148,258,69,10,1807,961,692,1280,1559,1191,184,1,116,2,32,33,1559,1158,174,70,1,116,1,10,29,11.80243746,0.064143682,7.440667094,0.128287364,2.052597819,2.116741501,4.490057729,76.39512508,Y,N,N,N,2013
1611,1611,1611,153,266,212,286,445,299,291,307,128,5,2239,1021,815,1388,1575,1084,283,5,140,0,33,30,1575,1049,272,78,5,135,0,14,22,17.96825397,0.317460317,8.888888889,0,2.095238095,1.904761905,4.952380952,68.82539683,Y,N,N,N,2013
1612,1612,1612,154,307,401,360,599,237,143,409,70,0,2526,1138,916,1241,1289,1208,46,4,16,0,9,6,1289,1197,45,15,4,16,0,6,6,3.568657874,0.310318076,1.241272304,0,0.698215671,0.465477114,1.163692785,93.71605896,Y,N,N,N,2013
1701,1701,1701,155,33,14,77,99,207,123,81,69,8,711,701,353,1159,1313,132,961,16,4,0,132,68,1313,44,927,243,4,4,0,32,59,73.19116527,1.218583397,0.304645849,0,10.05331302,5.178979436,18.50723534,10.05331302,N,Y,N,N,2013
1702,1702,1702,156,36,19,56,82,153,112,58,39,9,564,540,276,793,983,85,617,6,93,2,124,56,983,55,563,176,1,91,0,51,46,62.76703967,0.610376399,9.460834181,0.2034588,12.61444557,5.696846389,17.90437436,8.646998983,N,Y,N,N,2013
1703,1703,1703,157,58,53,173,221,445,275,151,121,10,1507,1093,650,1743,1996,338,1383,2,40,3,151,79,1996,267,1330,273,1,40,0,35,50,69.28857715,0.100200401,2.004008016,0.150300601,7.565130261,3.957915832,13.67735471,16.93386774,N,Y,N,N,2013
1704,1704,1704,158,134,86,198,269,531,293,268,129,6,1914,1390,826,1803,2105,514,1236,10,160,0,102,83,2105,492,1190,145,10,158,0,45,65,58.71733967,0.475059382,7.600950119,0,4.845605701,3.942992874,6.888361045,24.41805226,N,Y,N,N,2013
1705,1705,1705,159,16,8,38,57,141,66,50,35,6,417,495,228,874,981,48,777,9,17,1,86,43,981,20,718,189,3,17,1,6,27,79.20489297,0.917431193,1.732925586,0.101936799,8.76656473,4.383282365,19.26605505,4.892966361,N,Y,N,N,2013
1706,1706,1706,160,51,41,148,129,292,192,113,94,0,1060,824,471,1265,1526,386,790,10,130,1,137,72,1526,329,745,220,8,130,0,36,58,51.76933159,0.655307995,8.519003932,0.065530799,8.977719528,4.718217562,14.41677588,25.2948886,N,Y,N,N,2013
1707,1707,1707,161,15,21,36,61,136,58,68,28,6,429,443,218,668,803,44,684,4,10,0,28,33,803,40,660,59,3,10,0,12,19,85.18057285,0.498132005,1.245330012,0,3.486924035,4.109589041,7.347447073,5.479452055,N,Y,N,N,2013
1708,1708,1708,162,47,30,99,128,258,140,111,68,3,884,744,407,1100,1261,100,1002,9,10,0,91,49,1261,59,958,191,2,10,0,14,27,79.46074544,0.71371927,0.793021412,0,7.216494845,3.885804917,15.14670896,7.930214116,N,Y,N,N,2013
1709,1709,1709,163,54,48,123,117,309,222,97,113,4,1087,693,445,900,1032,430,463,3,55,0,49,32,1032,387,444,97,3,55,0,18,28,44.86434109,0.290697674,5.329457364,0,4.748062016,3.100775194,9.399224806,41.66666667,N,Y,N,N,2013
1710,1710,1710,164,52,35,91,158,342,136,152,77,4,1047,1037,521,1577,1842,111,1537,5,13,0,116,60,1842,68,1471,197,4,13,0,37,52,83.44191097,0.271444083,0.705754615,0,6.297502714,3.25732899,10.69489685,6.026058632,N,Y,N,N,2013
1711,1711,1711,165,25,22,55,44,153,85,42,39,1,466,342,202,569,708,103,486,1,41,0,54,23,708,86,468,66,1,41,0,31,15,68.6440678,0.141242938,5.790960452,0,7.627118644,3.248587571,9.322033898,14.5480226,N,Y,N,N,2013
1712,1712,1712,166,75,47,118,169,284,180,164,84,5,1126,562,422,895,1011,132,750,2,45,0,45,37,1011,120,729,76,2,42,0,16,26,74.18397626,0.197823937,4.451038576,0,4.451038576,3.659742829,7.517309594,13.05637982,N,Y,N,N,2013
1713,1713,1713,167,167,140,258,335,376,309,247,140,6,1978,974,738,1531,1535,840,458,2,121,0,52,62,1535,812,440,96,2,120,0,14,51,29.83713355,0.13029316,7.882736156,0,3.38762215,4.039087948,6.254071661,54.72312704,Y,N,N,N,2013
1714,1714,1714,168,98,41,135,187,281,204,167,78,14,1205,695,475,1077,1412,429,821,0,70,3,45,44,1412,397,792,106,0,70,0,17,30,58.14447592,0,4.957507082,0.212464589,3.186968839,3.116147309,7.507082153,30.38243626,N,Y,N,N,2013
1801,1801,1801,169,107,68,136,260,461,254,238,137,20,1681,1143,706,1970,2382,221,1849,20,28,0,174,90,2382,166,1748,358,9,28,0,22,51,77.62384551,0.839630563,1.175482788,0,7.304785894,3.778337531,15.02938707,9.277917716,N,Y,N,N,2013
1802,1802,1802,170,50,34,87,184,369,182,163,77,6,1152,1096,562,1417,1772,46,1598,8,17,1,51,51,1772,22,1544,131,4,16,0,12,43,90.18058691,0.451467269,0.959367946,0.056433409,2.878103837,2.878103837,7.392776524,2.595936795,N,Y,N,N,2013
1803,1803,1803,171,72,40,115,191,433,231,167,128,6,1383,1173,639,1645,2048,98,1776,19,18,2,68,67,2048,51,1727,178,15,17,2,7,51,86.71875,0.927734375,0.87890625,0.09765625,3.3203125,3.271484375,8.69140625,4.78515625,N,Y,N,N,2013
1804,1804,1804,172,55,45,107,153,376,205,142,80,23,1186,1190,594,1605,2024,96,1764,5,9,0,95,55,2024,70,1711,168,5,9,0,21,40,87.1541502,0.247035573,0.444664032,0,4.693675889,2.717391304,8.300395257,4.743083004,N,Y,N,N,2013
1805,1805,1805,173,84,47,112,176,409,230,191,117,13,1379,1485,716,1665,1923,104,1681,24,4,0,56,54,1923,82,1630,147,10,4,0,13,37,87.41549662,1.248049922,0.20800832,0,2.912116485,2.808112324,7.644305772,5.408216329,N,Y,N,N,2013
1806,1806,1806,174,136,90,178,301,527,339,285,146,6,2008,1208,804,1828,1999,171,1672,8,13,0,69,66,1999,110,1632,184,7,13,0,6,47,83.64182091,0.4002001,0.650325163,0,3.451725863,3.301650825,9.204602301,8.554277139,N,Y,N,N,2013
1807,1807,1807,175,115,60,99,199,248,235,197,86,7,1246,1066,578,1406,1688,621,653,18,62,0,277,57,1688,410,584,587,8,59,0,17,23,38.68483412,1.066350711,3.672985782,0,16.40995261,3.376777251,34.77488152,36.78909953,N,Y,N,N,2013
1808,1808,1808,176,223,107,168,314,491,375,379,146,7,2210,1758,992,2545,3041,859,1642,15,58,2,356,109,3041,566,1548,791,5,57,2,16,56,53.99539625,0.493258796,1.907267346,0.06576784,11.70667544,3.584347254,26.01118053,28.24728708,N,Y,N,N,2013
1809,1809,1809,177,190,101,130,239,324,301,263,114,9,1671,1101,693,1444,1606,960,372,7,41,1,160,65,1606,847,345,318,6,40,1,18,31,23.16313823,0.435865504,2.552926526,0.062266501,9.9626401,4.04732254,19.8007472,59.7758406,Y,N,N,N,2013
1810,1810,1810,178,263,148,219,336,431,502,353,166,7,2425,1459,971,2015,2337,1576,371,13,89,0,212,76,2337,1364,351,470,5,87,0,25,35,15.87505349,0.556268721,3.808301241,0,9.071459136,3.25203252,20.11125374,67.4368849,Y,N,N,N,2013
1811,1811,1811,179,118,68,107,166,211,227,154,95,3,1149,883,508,1328,1410,415,707,9,29,0,194,56,1410,298,664,390,4,28,0,7,19,50.14184397,0.638297872,2.056737589,0,13.75886525,3.971631206,27.65957447,29.43262411,N,Y,N,N,2013
1812,1812,1812,180,221,67,152,258,278,303,323,134,0,1736,1084,705,1466,1777,951,600,11,40,1,114,60,1777,803,561,342,8,38,1,3,21,33.76477209,0.619020822,2.250984806,0.05627462,6.415306697,3.376477209,19.24592009,53.51716376,Y,N,N,N,2013
1813,1813,1813,181,63,14,56,122,146,117,135,57,5,715,625,335,905,1147,381,578,3,33,0,116,36,1147,286,546,246,2,33,0,13,21,50.39232781,0.261551874,2.877070619,0,10.11333915,3.138622493,21.44725371,33.21708806,N,Y,N,N,2013
1814,1814,1814,182,89,48,41,111,131,130,155,60,4,769,679,362,946,1284,345,692,5,23,0,169,50,1284,222,647,349,2,20,0,17,27,53.894081,0.3894081,1.791277259,0,13.16199377,3.894080997,27.18068536,26.86915888,N,Y,N,N,2013
1815,1815,1815,183,140,50,115,180,283,221,216,105,5,1315,1017,583,1378,1723,301,1195,6,20,0,151,50,1723,215,1131,330,5,20,0,4,18,69.35577481,0.348229832,1.160766106,0,8.763784098,2.901915264,19.15264074,17.46952989,N,Y,N,N,2013
1816,1816,1816,184,308,141,181,502,321,362,553,143,6,2517,1191,927,1556,1733,1194,380,8,39,5,73,34,1733,1118,355,191,2,38,0,7,22,21.92729371,0.461627236,2.250432776,0.288517023,4.212348529,1.961915753,11.02135026,68.89786497,Y,N,N,N,2013
1817,1817,1817,185,216,91,103,262,226,253,372,96,4,1623,1297,730,1499,1650,689,665,10,44,1,171,70,1650,576,616,374,4,44,1,7,28,40.3030303,0.606060606,2.666666667,0.060606061,10.36363636,4.242424242,22.66666667,41.75757576,Y,N,N,N,2013
1818,1818,1818,186,179,114,135,302,320,279,362,129,9,1829,1503,833,1894,2356,1007,985,6,17,4,253,84,2356,827,913,537,4,17,0,16,42,41.80814941,0.25466893,0.721561969,0.169779287,10.7385399,3.565365025,22.79286927,42.74193548,Y,N,N,N,2013
1819,1819,1819,187,245,98,233,353,369,393,401,131,9,2232,1524,939,2263,2594,1046,1180,8,70,3,199,88,2594,864,1125,467,3,68,0,17,50,45.48959136,0.308404009,2.698535081,0.115651503,7.67154973,3.392444102,18.00308404,40.32382421,N,Y,N,N,2013
1820,1820,1820,188,432,240,220,482,321,369,515,159,4,2742,1542,1071,1989,2279,1486,518,5,42,1,169,58,2279,1417,490,254,4,42,1,38,33,22.72926722,0.219394471,1.842913559,0.043878894,7.415533129,2.544975867,11.14523914,65.20403686,Y,N,N,N,2013
1821,1821,1821,189,91,62,162,193,466,265,240,104,8,1591,1237,707,1858,2119,111,1810,11,2,0,123,62,2119,61,1748,237,7,1,0,20,45,85.41764983,0.519112789,0.094384143,0,5.804624823,2.925908447,11.184521,5.238319962,N,Y,N,N,2013
1822,1822,1822,190,314,110,204,303,332,337,422,117,4,2143,1277,855,1608,1753,1115,385,4,32,2,162,53,1753,945,355,387,1,28,2,10,25,21.96235026,0.228180262,1.825442099,0.114090131,9.241300627,3.023388477,22.07644039,63.60524815,Y,N,N,N,2013
1823,1823,1823,191,76,38,46,120,132,100,108,55,7,682,894,394,1078,1195,255,743,6,11,0,148,32,1195,165,696,305,0,11,0,8,10,62.17573222,0.50209205,0.920502092,0,12.38493724,2.677824268,25.52301255,21.33891213,N,Y,N,N,2013
1901,1901,1901,192,103,65,140,143,369,389,111,162,0,1482,798,570,1362,1990,1588,118,17,69,0,112,86,1990,1438,104,327,4,67,0,10,40,5.929648241,0.854271357,3.467336683,0,5.628140704,4.32160804,16.4321608,79.79899497,Y,N,N,N,2013
1902,1902,1902,193,191,114,218,342,465,570,391,286,6,2583,1237,955,1549,1878,1545,87,7,177,0,15,47,1878,1497,83,82,6,175,0,0,35,4.632587859,0.372736954,9.424920128,0,0.798722045,2.502662407,4.366347178,82.26837061,Y,N,N,N,2013
1903,1903,1903,194,91,57,124,159,339,401,144,217,5,1537,703,560,1080,1308,1121,61,4,65,3,19,35,1308,1080,59,66,0,64,3,6,30,4.663608563,0.305810398,4.96941896,0.229357798,1.452599388,2.675840979,5.04587156,85.70336391,Y,N,N,N,2013
1904,1904,1904,195,121,60,179,174,483,498,161,211,6,1893,1127,755,1546,1234,1038,61,3,41,0,48,43,1234,980,57,114,2,41,0,5,35,4.943273906,0.243111831,3.322528363,0,3.889789303,3.484602917,9.238249595,84.11669368,Y,N,N,N,2013
