,Ward/Precinct,MICHAEL F FLAHERTY,ALEJANDRA NICOLE STGUILLEN,MICHELLE WU,JULIA MEJIA,ERIN J MURPHY,ALTHEA GARRISON,DAVID HALBERT,ANNISSA ESSAIBI GEORGE,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
95,1105,103,138,192,167,21,58,84,128,1,892,188,270,1630,1338.0,1881.5397751419996,0.394,0.292,0.0,0.03,0.213
96,1106,74,167,226,195,23,35,90,142,0,952,160,278,1208,1443.0,2012.0593815398065,0.52,0.18,0.0,0.035,0.208
97,1107,79,200,261,183,23,56,131,174,2,1109,211,330,1668,1864.0,2492.338262088369,0.578,0.179,0.002,0.044,0.147
98,1108,92,270,349,232,39,63,162,211,4,1422,182,401,1893,2388.0,3292.15206261316,0.59,0.244,0.002,0.043,0.083
99,1109,76,177,214,143,24,34,97,140,0,905,147,263,1005,955.0,1262.5026605145829,0.763,0.103,0.001,0.043,0.052
100,1110,75,219,275,186,25,40,102,177,0,1099,145,311,1380,1042.0,1405.3966467834018,0.691,0.149,0.001,0.044,0.077
101,1201,107,77,191,115,29,115,58,128,4,824,468,323,1735,2041.0,2932.895959098337,0.076,0.657,0.04,0.013,0.144
102,1202,143,92,203,138,16,122,62,149,1,926,358,321,2173,2217.0,3537.4016928953592,0.141,0.661,0.0,0.003,0.127
103,1203,65,48,99,69,8,71,35,64,1,460,280,185,944,923.0,1268.2539544852552,0.058,0.671,0.076,0.011,0.143
104,1204,67,47,109,66,8,83,27,70,4,481,227,177,1187,1161.0,1932.913943830132,0.067,0.584,0.001,0.005,0.225
105,1205,74,41,82,65,16,68,32,62,15,455,237,173,705,730.0,1047.5369147886622,0.083,0.674,0.055,0.008,0.125
106,1206,73,33,94,51,9,60,35,70,1,426,230,164,926,1087.0,1745.804768492163,0.119,0.647,0.0,0.004,0.155
107,1207,176,87,175,150,37,114,55,143,5,942,390,333,2568,3036.0,4860.092574231919,0.16,0.558,0.003,0.005,0.164
108,1208,41,31,58,55,9,35,12,48,0,289,131,105,858,972.0,1579.0655181599634,0.149,0.681,0.0,0.0,0.08
109,1209,65,46,103,81,9,79,22,80,4,489,187,169,1030,1341.0,2181.7674252285537,0.133,0.63,0.0,0.002,0.144
110,1301,98,64,104,101,25,90,33,97,6,618,178,199,1497,1429.0,2603.985211324779,0.076,0.696,0.0,0.018,0.13
111,1302,34,14,38,34,11,28,10,29,3,201,55,64,590,648.0,1169.875184713453,0.074,0.685,0.0,0.019,0.138
112,1303,65,40,59,58,34,32,32,61,1,382,174,139,1439,1413.0,2491.506956481057,0.392,0.137,0.009,0.258,0.183
113,1304,62,29,68,62,9,52,18,74,6,380,160,135,1075,1455.0,2396.138560818312,0.109,0.588,0.0,0.016,0.224
114,1305,55,33,71,61,24,48,27,69,0,388,156,136,1063,1277.0,1928.66719045616,0.257,0.43,0.002,0.06,0.193
115,1306,107,50,114,63,58,50,32,150,4,628,216,211,1410,1352.0,2047.3631510353869,0.365,0.368,0.004,0.103,0.09
116,1307,144,71,112,77,109,46,38,146,2,745,203,237,1474,1022.0,1297.6597914897472,0.625,0.078,0.001,0.196,0.037
117,1308,95,54,103,56,89,30,39,137,2,605,199,201,1374,1462.0,1906.1480270508823,0.563,0.075,0.001,0.249,0.034
118,1309,97,59,116,58,77,50,43,113,5,618,222,210,1355,1587.0,2267.8860377214637,0.436,0.243,0.002,0.168,0.075
119,1310,251,94,223,78,231,119,74,336,5,1411,497,477,1708,1784.0,2531.951247321404,0.503,0.152,0.004,0.236,0.073
120,1401,123,58,125,120,17,76,43,125,1,688,264,238,2632,2699.0,4807.386849052671,0.132,0.641,0.001,0.004,0.156
121,1402,142,56,150,121,23,110,42,131,5,780,396,294,2547,2850.0,4859.115727067318,0.119,0.718,0.004,0.007,0.114
122,1403,70,32,80,58,10,42,16,67,0,375,145,130,1285,1249.0,2220.050407163876,0.085,0.651,0.0,0.014,0.168
123,1404,58,28,65,51,15,51,14,64,0,346,194,135,1555,1716.0,2872.149905588792,0.146,0.701,0.0,0.002,0.077
124,1405,73,43,88,51,24,42,35,77,0,433,103,134,1118,1064.0,1978.524857773896,0.082,0.861,0.0,0.008,0.025
125,1406,62,29,60,54,12,49,16,63,0,345,119,116,1110,1094.0,1896.192548180827,0.073,0.658,0.0,0.017,0.2
126,1407,50,32,65,57,9,40,15,61,5,334,142,119,1181,1360.0,2401.906613933588,0.117,0.744,0.009,0.007,0.112
127,1408,89,34,113,79,18,60,30,83,1,507,205,178,1178,1166.0,1806.8962644095384,0.049,0.852,0.0,0.001,0.045
128,1409,42,24,41,36,13,34,14,40,3,247,145,98,1342,1300.0,2285.6511861212557,0.116,0.747,0.009,0.007,0.107
129,1410,89,28,72,45,19,51,25,60,0,389,219,152,1386,2165.0,3587.3237716544286,0.103,0.792,0.003,0.013,0.039
130,1411,67,32,61,45,15,42,26,65,4,357,127,121,1259,1504.0,2482.768625308237,0.097,0.795,0.003,0.012,0.04
131,1412,52,20,51,36,7,34,13,50,0,263,33,74,731,765.0,1258.4152131417864,0.104,0.804,0.002,0.012,0.034
132,1413,59,27,73,50,19,62,21,76,0,387,65,113,1079,1147.0,1860.5370421882076,0.108,0.835,0.0,0.011,0.023
133,1414,68,30,78,73,15,53,38,69,0,424,196,155,1253,1504.0,2478.820016350959,0.035,0.875,0.0,0.002,0.04
134,1501,52,32,64,69,8,34,16,60,5,340,176,129,1554,1784.0,3041.603130334118,0.125,0.577,0.003,0.026,0.208
135,1502,32,16,43,36,11,29,9,42,0,218,98,79,1054,891.0,1592.2411098078296,0.066,0.666,0.006,0.04,0.168
136,1503,32,12,28,26,6,19,9,25,0,157,55,53,743,693.0,1184.8052244704404,0.112,0.555,0.005,0.133,0.153
137,1504,87,44,80,85,32,67,32,84,0,511,253,191,1978,1930.0,3300.9697704537334,0.197,0.483,0.0,0.113,0.149
138,1505,56,29,69,77,19,55,33,65,1,404,192,149,1348,1326.0,2211.165407302975,0.144,0.643,0.005,0.104,0.073
139,1506,95,27,78,43,51,29,26,74,1,424,184,152,790,915.0,1342.2989547360403,0.334,0.29,0.001,0.297,0.067
140,1507,33,36,62,58,18,33,21,56,0,317,171,122,1115,810.0,1505.3334275278762,0.103,0.62,0.003,0.126,0.106
141,1508,85,28,72,56,31,42,17,56,1,388,128,129,993,1083.0,1674.4988186009082,0.197,0.551,0.005,0.164,0.062
142,1509,96,47,96,64,42,45,45,64,3,502,110,153,1117,1246.0,2155.8633991454435,0.149,0.527,0.002,0.196,0.096
143,1601,63,41,85,60,58,40,30,88,3,468,148,154,1162,1145.0,1642.8543125510694,0.293,0.311,0.002,0.293,0.079
144,1602,98,37,72,40,87,51,18,80,2,485,159,161,914,2887.0,4102.93551697797,0.343,0.205,0.003,0.363,0.078
145,1603,99,62,123,85,59,43,46,124,0,641,219,215,1479,1181.0,1827.304348598728,0.266,0.542,0.0,0.112,0.047
146,1604,97,58,112,63,97,47,39,113,1,627,173,200,1328,1093.0,1556.6163706524808,0.366,0.289,0.001,0.219,0.068
147,1605,130,47,132,57,167,63,38,135,0,769,303,268,1487,1390.0,1989.4028051743824,0.341,0.253,0.002,0.294,0.076
148,1606,130,68,159,111,121,62,55,153,3,862,314,294,1931,1556.0,2168.228168290588,0.436,0.317,0.0,0.12,0.051
149,1607,212,39,137,45,252,85,26,211,5,1012,388,350,1246,2035.0,2863.6934626005877,0.412,0.324,0.0,0.126,0.057
150,1608,221,76,187,75,277,67,48,232,6,1189,475,416,1421,841.0,1093.0603112153117,0.622,0.244,0.0,0.088,0.013
151,1609,305,34,114,31,340,121,17,242,4,1208,656,466,1543,896.0,1164.1488259958612,0.904,0.026,0.0,0.052,0.002
152,1610,161,30,84,22,174,62,22,147,1,703,325,257,1338,1107.0,1365.41624215168,0.824,0.07,0.0,0.081,0.005
153,1611,229,65,162,73,213,113,45,221,0,1121,443,391,1475,1963.0,2550.0279172231567,0.648,0.224,0.0,0.085,0.012
154,1612,404,29,115,25,386,161,24,294,13,1451,685,534,1195,1789.0,2325.846199534423,0.904,0.025,0.0,0.052,0.002
155,1701,53,26,66,52,15,50,21,57,2,342,110,113,1252,1408.0,2308.3605266654663,0.147,0.735,0.004,0.029,0.055
156,1702,46,32,62,48,19,41,23,68,0,339,97,109,849,1003.0,1575.7236846452554,0.172,0.632,0.006,0.11,0.056
157,1703,139,87,195,144,56,96,68,184,1,970,290,315,1832,1977.0,3129.034371888787,0.182,0.657,0.004,0.078,0.056
158,1704,191,60,203,105,80,122,82,181,4,1028,380,352,1909,2487.0,3821.404384612846,0.235,0.556,0.006,0.083,0.07
159,1705,32,20,48,38,8,28,16,50,1,241,147,97,909,996.0,1605.4675183111272,0.209,0.657,0.002,0.061,0.042
160,1706,72,73,127,110,31,54,49,120,3,639,249,222,1315,1169.0,1719.8940950508008,0.277,0.463,0.0,0.163,0.062
161,1707,39,29,50,57,4,35,23,34,3,274,102,94,770,1100.0,1745.0156318935667,0.05,0.833,0.0,0.026,0.027
162,1708,72,40,86,90,25,56,28,81,0,478,130,152,1288,1608.0,2537.711948808655,0.255,0.575,0.0,0.088,0.045
163,1709,89,93,161,94,56,50,73,151,0,767,257,256,957,1157.0,1824.263370777512,0.254,0.574,0.0,0.088,0.047
164,1710,79,39,85,77,16,61,23,87,6,473,199,168,1702,1770.0,2794.479089769663,0.099,0.758,0.0,0.042,0.039
165,1711,43,29,60,36,14,24,40,55,0,301,107,102,685,632.0,986.9357665298973,0.229,0.562,0.001,0.082,0.071
166,1712,77,40,88,51,39,41,22,99,4,461,139,150,958,955.0,1455.5858823175054,0.161,0.671,0.01,0.059,0.049
167,1713,169,90,171,100,118,95,47,188,3,981,215,299,1280,1968.0,2610.7638132541024,0.54,0.31,0.006,0.088,0.025
168,1714,149,75,199,110,80,77,52,171,0,913,247,290,1331,1241.0,1771.9930425405018,0.265,0.531,0.027,0.086,0.064
169,1801,194,123,214,163,49,112,77,232,5,1169,215,346,2220,2882.0,4433.767931713371,0.122,0.764,0.007,0.042,0.039
170,1802,103,57,120,93,38,61,34,114,1,621,167,197,1524,1706.0,3033.186442080201,0.072,0.857,0.0,0.017,0.028
171,1803,138,73,184,123,43,118,58,152,1,890,166,264,1717,1902.0,3439.6337635968266,0.062,0.876,0.0,0.004,0.018
172,1804,138,73,129,120,23,64,37,125,3,712,324,259,1751,1901.0,3048.4444048853984,0.066,0.856,0.0,0.016,0.021
173,1805,173,71,172,129,38,89,39,118,1,830,426,314,1759,1395.0,2193.596050371483,0.119,0.737,0.006,0.004,0.095
174,1806,223,82,248,166,55,145,62,165,4,1150,266,354,1979,1577.0,2479.946384705355,0.119,0.737,0.006,0.004,0.095
175,1807,129,112,185,101,49,57,45,149,0,827,281,277,1524,2229.0,3334.141980897061,0.374,0.456,0.006,0.013,0.105
176,1808,194,95,214,137,51,124,54,174,0,1043,497,385,2705,3475.0,5449.2961570295765,0.156,0.682,0.005,0.005,0.108
177,1809,138,150,257,113,65,63,88,157,0,1031,353,346,1529,1844.0,2503.7730854659767,0.545,0.313,0.001,0.015,0.065
178,1810,230,270,476,209,125,112,155,310,0,1887,505,598,2160,2299.0,3200.884083235852,0.633,0.188,0.009,0.029,0.083
179,1811,85,92,161,110,40,63,49,115,1,716,228,236,1452,1597.0,2513.737534171609,0.331,0.529,0.0,0.021,0.075
180,1812,164,95,216,103,97,69,48,167,2,961,323,321,1594,1845.0,2558.652843971231,0.483,0.386,0.007,0.0,0.057
181,1813,81,44,89,67,32,38,34,76,2,463,233,174,956,1060.0,1615.9768213122768,0.233,0.551,0.0,0.005,0.152
182,1814,69,48,81,59,28,37,15,51,0,388,232,155,1102,1131.0,1526.354737803032,0.496,0.367,0.0,0.004,0.089
183,1815,124,65,143,99,35,56,46,137,4,709,359,267,1534,1736.0,2645.634245673397,0.231,0.551,0.0,0.006,0.153
184,1816,409,90,300,118,336,175,66,277,4,1775,813,647,1643,2473.0,3550.36357791749,0.422,0.359,0.0,0.042,0.122
185,1817,193,68,174,113,130,79,28,151,4,940,512,363,1621,1760.0,2525.156220738227,0.43,0.349,0.0,0.045,0.121
186,1818,221,94,190,121,108,88,52,159,0,1033,587,405,2015,2404.0,3573.366036154325,0.329,0.458,0.0,0.025,0.13
187,1819,260,133,292,137,130,97,55,226,5,1335,541,469,2700,2922.0,4386.244259833385,0.401,0.468,0.0,0.032,0.064
188,1820,402,85,260,109,255,140,42,265,1,1559,833,598,2123,2466.0,3669.1188392263584,0.435,0.374,0.0,0.055,0.086
189,1821,159,58,168,125,37,102,43,154,4,850,262,278,2034,1998.0,3284.9137375490213,0.05,0.884,0.0,0.002,0.01
190,1822,240,116,284,137,175,100,66,239,3,1360,524,471,1733,2208.0,2859.5158620453976,0.592,0.299,0.0,0.004,0.066
191,1823,85,74,117,110,32,52,47,63,4,584,316,225,1494,1080.0,1766.6377038430644,0.366,0.495,0.0,0.049,0.051
192,1901,73,258,306,256,27,34,130,198,5,1287,185,368,1398,1336.0,1646.6656814592168,0.722,0.078,0.0,0.04,0.115
193,1902,170,198,294,143,77,78,88,219,4,1271,337,402,1524,1949.0,2486.289006198807,0.858,0.047,0.001,0.062,0.003
194,1903,72,175,222,168,21,29,93,143,0,923,129,263,1122,1461.0,1806.1463811485137,0.808,0.061,0.001,0.046,0.039
195,1904,109,319,380,283,38,57,164,237,2,1589,215,451,1614,1757.0,2220.213606239725,0.716,0.079,0.002,0.053,0.103
196,1905,112,256,315,200,44,51,155,197,11,1341,215,389,1395,1300.0,1631.2093647141362,0.831,0.051,0.001,0.049,0.018
197,1906,144,315,423,262,49,88,161,261,2,1705,227,483,1752,1941.0,2380.969328875416,0.833,0.055,0.002,0.045,0.017
198,1907,115,283,343,223,41,44,132,238,0,1419,209,407,1823,3057.0,4465.2777251991465,0.561,0.311,0.002,0.033,0.065
199,1908,61,187,218,154,30,32,96,143,1,922,130,263,870,828.0,1154.388255693984,0.817,0.036,0.0,0.067,0.025
200,1909,60,138,186,101,21,28,84,118,0,736,100,209,816,878.0,1183.05728254138,0.797,0.073,0.0,0.049,0.038
201,1910,140,226,350,237,74,64,129,232,0,1452,352,451,1710,2173.0,3045.9275563958267,0.556,0.283,0.007,0.027,0.083
202,1911,91,133,186,167,30,44,90,125,1,867,185,263,1652,1288.0,1854.5808250746447,0.57,0.301,0.002,0.034,0.066
203,1912,145,165,252,147,45,58,50,199,0,1061,247,327,1190,969.0,1374.6125264921548,0.525,0.336,0.008,0.027,0.073
204,1913,91,107,192,108,40,39,62,122,0,761,203,241,1147,1294.0,1863.9557987188991,0.481,0.363,0.009,0.031,0.092
